record,translation_backend,grader,raw_faith,adj_faith,raw_fluent,adj_fluent,hallucinated,preamble,refusal,notes
full_chunk_0001,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Boilerplate library metadata + blank/flyleaf pages; English placeholder faithfully represents non-textual content
full_chunk_0001,minimax,minimax-m2.7,4,4.4,5,4.5,False,False,False,"Translation is mostly faithful, though ""loving fathers"" in plural may not match singular ""patrem"" in Latin."
full_chunk_0001,minimax-v2,minimax-m2.7,4,4.4,5,4.5,False,False,False,Translation is fluent and accurate; source Latin is partially OCR-damaged but translation appears faithful to the dedication
full_chunk_0002,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Non-textual placeholder for fully illegible OCR source; faithful by convention.
full_chunk_0002,minimax,minimax-m2.7,4,4.4,4,4.7,False,True,False,Good handling of difficult OCR text; translation captures monastic themes accurately
full_chunk_0002,minimax-v2,minimax-m2.7,1,1.7,2,3.5,False,True,False,"Not a translation—only describes OCR difficulties, attempts reconstruction, admits failure without providing actual English prose"
full_chunk_0002,opus-sweep,minimax-m2.7,5,4.3,4,4.7,False,False,False,Excellent translation of difficult early print; monastic terminology precise and contextually appropriate.
full_chunk_0003,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,"Accurate throughout; 'teaches?' conjecture and [unclear] at end are honest flags, not invention"
full_chunk_0003,minimax,minimax-m2.7,3,3.5,3,3.7,True,False,False,Opening renderings of garbled Latin appear interpretive; 'Sufficientia' not clearly present in source
full_chunk_0003,minimax-v2,minimax-m2.7,4,4.4,3,3.7,False,False,False,Generally accurate; 'victims' for victima is interpretive; ends mid-sentence where Latin continues
full_chunk_0004,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate throughout; 'lower spirit' for 'inferioris spiritus' slightly loose but defensible; no invented content
full_chunk_0004,minimax,minimax-m2.7,3,3.5,3,3.7,False,False,False,Translation is approximate summary rather than full rendering; ends mid-thought leaving Latin text untranslated.
full_chunk_0004,minimax-v2,minimax-m2.7,3,3.5,4,4.7,False,False,False,Translation is reasonably faithful despite severe OCR damage; ends abruptly mid-sentence as source does
