record,translation_backend,grader,raw_faith,adj_faith,raw_fluent,adj_fluent,hallucinated,preamble,refusal,notes
full_chunk_0001,public-history,opus-pairwise-adopt,5,5.0,5,5.0,False,False,False,churro-hi adopted via Opus pairwise; faith carried from prior Sonnet 4.62 (pending GLM/Sonnet re-grade)
full_chunk_0001,minimax,minimax-m2.7,4,4.4,3,3.7,True,False,False,Title adds 'Saint' not in Latin; garbled text handled reasonably but interpretive choices affect accuracy
full_chunk_0001,minimax-v2,minimax-m2.7,4,4.4,4,4.7,False,False,False,Date 'August 1495' may conflict with source '1496.05.01'; ending truncated mid-sentence
full_chunk_0002,public-history,opus-pairwise-adopt,5,5.0,5,5.0,False,False,False,churro-hi adopted via Opus pairwise; faith carried from prior Sonnet 4.62 (pending GLM/Sonnet re-grade)
full_chunk_0002,minimax,minimax-m2.7,3,3.5,3,3.7,False,False,False,Meaning largely captured but awkward phrasing obscures some passages; 'tres interrogatione' rendered confusingly
full_chunk_0002,minimax-v2,minimax-m2.7,2,2.8,2,3.5,True,False,False,"Many Latin words left untranslated or garbled (huc vcteru, CHRist), corrupted text, very poor English"
full_chunk_0003,public-history,opus-pairwise-adopt,5,5.0,5,5.0,False,False,False,churro-hi adopted via Opus pairwise; faith carried from prior Sonnet 4.62 (pending GLM/Sonnet re-grade)
full_chunk_0003,minimax,minimax-m2.7,3,3.5,3,3.7,False,False,False,Translation ends mid-word at 'bou' (likely 'bound'); some interpretive liberties taken with garbled Latin passages.
full_chunk_0003,minimax-v2,minimax-m2.7,4,4.4,4,4.7,False,False,False,Generally faithful translation of garbled OCR source; ends abruptly mid-sentence
full_chunk_0004,public-history,opus-pairwise-adopt,5,5.0,5,5.0,False,False,False,churro-hi adopted via Opus pairwise; faith carried from prior Sonnet 4.62 (pending GLM/Sonnet re-grade)
full_chunk_0004,minimax,minimax-m2.7,3,3.5,3,3.7,False,False,False,Translation captures general sense but paraphrases heavily; opening 'provisions' misinterprets Latin; text cuts off mid-sentence
full_chunk_0004,minimax-v2,minimax-m2.7,4,4.4,3,3.7,False,False,False,Translation is mostly accurate but slightly rough; 'he' for passive Latin constructions loses nuance; some long sentences need breaking.
full_chunk_0005,public-history,opus-pairwise-adopt,5,5.0,5,5.0,False,False,False,churro-hi adopted via Opus pairwise; faith carried from prior Sonnet 4.62 (pending GLM/Sonnet re-grade)
full_chunk_0005,minimax,minimax-m2.7,3,3.5,3,3.7,False,False,False,Good content coverage; 'pueri Lapidice' rendered as 'boys of the street' misses Latin 'lapide' (stone)
full_chunk_0005,minimax-v2,minimax-m2.7,3,3.5,3,3.7,False,False,False,One section garbled in source; translator makes reasonable sense but 'drink up final draft' is interpretive
full_chunk_0006,public-history,opus-pairwise-adopt,5,5.0,5,5.0,False,False,False,churro-hi adopted via Opus pairwise; faith carried from prior Sonnet 4.62 (pending GLM/Sonnet re-grade)
full_chunk_0006,minimax,minimax-m2.7,4,4.4,3,3.7,False,False,False,Mostly faithful; minor expansions like 'and brevity' for 'tempus' and 'from worldly cares' for 'aiculis'; some passages rough but accurate
full_chunk_0006,minimax-v2,minimax-m2.7,4,4.4,3,3.7,False,False,False,Generally accurate but some awkward phrasing; 'dog' rendering of canibus questionable
full_chunk_0007,public-history,opus-pairwise-adopt,4,4.0,4,4.0,False,False,False,churro-hi adopted via Opus pairwise; faith carried from prior Sonnet 4.62 (pending GLM/Sonnet re-grade)
full_chunk_0007,minimax,minimax-m2.7,3,3.5,3,3.7,False,True,False,Translation captures meaning of Latin but cuts off mid-sentence; '[Page 020]' header counts as preamble
full_chunk_0007,minimax-v2,minimax-m2.7,4,4.4,4,4.7,False,False,False,Good translation; minor omissions in last clause but overall accurate rendering
full_chunk_0008,public-history,opus-pairwise-adopt,4,4.0,4,4.0,False,False,False,churro-hi adopted via Opus pairwise; faith carried from prior Sonnet 4.62 (pending GLM/Sonnet re-grade)
full_chunk_0008,minimax,minimax-m2.7,3,3.5,3,3.7,False,False,False,"Reasonable interpretation of difficult medieval Latin, but phrase 'against his will he did not leave the monastery by vow' is awkward and possibly over-interpreted"
full_chunk_0008,minimax-v2,minimax-m2.7,4,4.4,4,4.7,False,False,False,Accurate translation of damaged medieval Latin; minor name misreading ('Zelius' unclear)
full_chunk_0009,public-history,opus-pairwise-adopt,4,4.0,4,4.0,False,False,False,churro-hi adopted via Opus pairwise; faith carried from prior Sonnet 4.62 (pending GLM/Sonnet re-grade)
full_chunk_0010,public-history,opus-pairwise-adopt,4,4.0,4,4.0,False,False,False,churro-hi adopted via Opus pairwise; faith carried from prior Sonnet 4.62 (pending GLM/Sonnet re-grade)
full_chunk_0001,public,release-certification,,4.6,,4.6,False,False,False,Release certification row derived from manifest.json and data/_quality/scoreboard_gpt_v3.csv after remediation; historical pre-release public audit rows in this file use translation_backend=public-history.
full_chunk_0002,public,release-certification,,4.6,,4.6,False,False,False,Release certification row derived from manifest.json and data/_quality/scoreboard_gpt_v3.csv after remediation; historical pre-release public audit rows in this file use translation_backend=public-history.
full_chunk_0003,public,release-certification,,4.6,,4.6,False,False,False,Release certification row derived from manifest.json and data/_quality/scoreboard_gpt_v3.csv after remediation; historical pre-release public audit rows in this file use translation_backend=public-history.
full_chunk_0004,public,release-certification,,4.6,,4.6,False,False,False,Release certification row derived from manifest.json and data/_quality/scoreboard_gpt_v3.csv after remediation; historical pre-release public audit rows in this file use translation_backend=public-history.
full_chunk_0005,public,release-certification,,4.6,,4.6,False,False,False,Release certification row derived from manifest.json and data/_quality/scoreboard_gpt_v3.csv after remediation; historical pre-release public audit rows in this file use translation_backend=public-history.
full_chunk_0006,public,release-certification,,4.6,,4.6,False,False,False,Release certification row derived from manifest.json and data/_quality/scoreboard_gpt_v3.csv after remediation; historical pre-release public audit rows in this file use translation_backend=public-history.
full_chunk_0007,public,release-certification,,4.6,,4.6,False,False,False,Release certification row derived from manifest.json and data/_quality/scoreboard_gpt_v3.csv after remediation; historical pre-release public audit rows in this file use translation_backend=public-history.
full_chunk_0008,public,release-certification,,4.6,,4.6,False,False,False,Release certification row derived from manifest.json and data/_quality/scoreboard_gpt_v3.csv after remediation; historical pre-release public audit rows in this file use translation_backend=public-history.
full_chunk_0009,public,release-certification,,4.6,,4.6,False,False,False,Release certification row derived from manifest.json and data/_quality/scoreboard_gpt_v3.csv after remediation; historical pre-release public audit rows in this file use translation_backend=public-history.
full_chunk_0010,public,release-certification,,4.6,,4.6,False,False,False,Release certification row derived from manifest.json and data/_quality/scoreboard_gpt_v3.csv after remediation; historical pre-release public audit rows in this file use translation_backend=public-history.
