record,translation_backend,grader,raw_faith,adj_faith,raw_fluent,adj_fluent,hallucinated,preamble,refusal,notes
full_chunk_0001,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,"Title, dedicatee, poem, and closing motto all faithfully rendered; ruler scale is a non-textual placeholder, correctly ignored."
full_chunk_0001,minimax,minimax-m2.7,4,4.4,4,4.7,False,False,False,Translation mostly accurate; OCR artifacts in source make some passages difficult to verify fully.
full_chunk_0001,minimax-v2,minimax-m2.7,4,4.4,4,4.7,False,False,False,Generally faithful; 'Cistercian reform' is interpretive; 'snares' for 'plumes' is plausible emendation
full_chunk_0002,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,Accurate throughout; [unclear] markers honest; 'iunctum' rendered '[everything?]' is fair conjecture; no invented content
full_chunk_0002,minimax,minimax-m2.7,3,3.5,4,4.7,False,False,False,Translation follows garbled OCR Latin reasonably; 'clarity' for 'f y clanta3' is plausible but uncertain
full_chunk_0002,minimax-v2,minimax-m2.7,2,2.8,2,3.5,True,False,False,Contains Chinese '坏的习俗' not in source; text cuts off mid-sentence at end
full_chunk_0003,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,"Complete and accurate throughout; all names, dates, places, and content faithfully rendered; [unclear] markers appropriately placed"
full_chunk_0003,minimax,minimax-m2.7,3,3.5,3,3.7,False,False,False,Translation ends abruptly mid-word; some passages awkward or unclear due to text corruption
full_chunk_0003,minimax-v2,minimax-m2.7,4,4.4,3,3.7,False,False,False,Ends abruptly mid-sentence; otherwise accurate translation of OCR'd medieval Latin
full_chunk_0004,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate and complete rendering; 'semesmel' rendered 'once' correctly; opening [unclear] honestly flags damaged text
full_chunk_0004,minimax,minimax-m2.7,3,3.5,4,4.7,False,False,False,Translation is truncated mid-word; source OCR is severely corrupted making reconstruction difficult
full_chunk_0004,minimax-v2,minimax-m2.7,4,4.4,3,3.7,False,False,False,Mostly accurate translation; minor interpretive choices and awkward phrasing near end.
full_chunk_0005,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate throughout; [unclear] markers for genuinely missing/damaged text; no invented content
full_chunk_0005,minimax,minimax-m2.7,3,3.5,3,3.7,False,False,False,Translation captures meaning but ends abruptly mid-sentence; some awkward phrasing and imprecise renderings
full_chunk_0005,minimax-v2,minimax-m2.7,4,4.4,4,4.7,False,False,False,Generally accurate translation; 'conuertere' rendered as imperative fits context; minor interpretive choices
full_chunk_0006,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate throughout; repeated section heading reflects source structure; [unclear] for damaged margin is honest.
full_chunk_0006,minimax,minimax-m2.7,3,3.5,4,4.7,False,True,False,Translator reasonably interprets OCR damage but adds explanatory note preamble; some interpretive guesses unavoidable with corrupted source.
full_chunk_0006,minimax-v2,minimax-m2.7,3,3.5,3,3.7,False,False,False,Generally accurate but OCR corruption makes fidelity hard to assess fully; some awkward phrasing like 'yoke of the cross of the inferior region'
full_chunk_0007,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate and complete translation; all rhetorical and doctrinal content faithfully rendered; text ends mid-sentence matching Latin truncation
full_chunk_0007,minimax,minimax-m2.7,3,3.5,3,3.7,True,False,False,Phrase 'to a fifth monk' appears invented; OCR text is badly corrupted and some passages are freely interpreted
full_chunk_0007,minimax-v2,minimax-m2.7,4,4.4,4,4.7,False,False,False,Good interpretive translation of fragmentary OCR text; captures theological argument on abbatial authority well.
full_chunk_0008,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,"Accurate and complete throughout; all clauses rendered faithfully including Simon/Ephraim, Sarabaites, and pastoral imagery."
full_chunk_0008,minimax,minimax-m2.7,2,2.8,2,3.5,True,False,False,Heavy reliance on '...' for unclear passages; second half is largely garbled speculation rather than translation.
full_chunk_0008,minimax-v2,minimax-m2.7,3,3.5,3,3.7,False,False,False,Partial translation cuts off mid-sentence; interpretive rendering of corrupted Latin text
full_chunk_0009,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,"Accurate throughout; binding damage at end rendered as [unclear], honest handling of lacunae."
full_chunk_0009,minimax,minimax-m2.7,2,2.8,3,3.7,False,False,False,Source OCR-corrupted; translation incomplete and many corrupted passages left untranslated
