record,translation_backend,grader,raw_faith,adj_faith,raw_fluent,adj_fluent,hallucinated,preamble,refusal,notes
full_chunk_0001,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate throughout; 'Peapolitani' left [unclear] appropriately; table-of-contents nonsense faithfully omitted/implicit
full_chunk_0001,minimax,claude-opus-4-7,5,5.0,5,5.0,False,False,False,
full_chunk_0001,minimax-v2,minimax-m2.7,1,1.7,3,3.7,True,False,True,Model refuses to translate and falsely characterizes Latin as cipher/spirit list when actual content is a dedicatory epistle to Maximilian
full_chunk_0002,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,"Complete and accurate. Dates, names, titles all match. [unclear] gap for illegible line is honest."
full_chunk_0002,minimax,claude-opus-4-7,4,4.0,5,5.0,False,False,False,Minor errors: 'thirty-third above a thousand and two hundred' should be 1483; 'transferred to canonry' misreads Seligenstadt.
full_chunk_0002,minimax-v2,minimax-m2.7,3,3.5,4,4.7,False,False,False,Birth year mistranslated as 1262 instead of 1462; 1262 would make Trithemius 254 years old at death
full_chunk_0003,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,"Accurate throughout; 'Laues' silently corrected to 'Praises'; all titles, recipients, and counts match"
full_chunk_0003,minimax,claude-opus-4-7,4,4.0,4,4.0,False,False,False,"Minor errors: 'Opus penthici' as 'Penance' (penthicum=lament), 'horrio Treverensi' mistranslated as 'terrible Trier region', 'De computo' as 'sleep'."
full_chunk_0003,minimax-v2,minimax-m2.7,4,4.4,3,3.7,False,False,False,Mostly accurate bibliographic list; some proper names rendered slightly differently; translation trails off mid-sentence matching source
full_chunk_0004,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,Accurate overall; 'quadrintesimo tricesimotertio' rendered as 433rd (correct). Minor omissions in Epistolae section where [unclear] marks gap.
full_chunk_0004,minimax,claude-opus-4-7,5,5.0,4,4.0,False,False,False,Minor: 'de peculio monialium' rendered loosely as just 'physician'; '1506' rendered as 1511; otherwise faithful.
full_chunk_0004,minimax-v2,minimax-m2.7,4,4.4,4,4.7,False,False,False,Generally accurate translation with minor word-choice variations; OCR artifacts in Latin handled appropriately.
full_chunk_0005,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,"Accurate throughout; bracketed terms for obscure words are honest flags, not inventions"
full_chunk_0005,minimax,claude-opus-4-7,4,4.0,5,5.0,False,False,False,"Minor errors: 'Bouillum' rendered 'de Boulongne'; 'Bingiorum' as 'Bambergers'; date/addressee garbled (Nicolaus is addressee, not Trithemius)."
full_chunk_0005,minimax-v2,minimax-m2.7,4,4.4,4,4.7,False,False,False,Translation cuts off mid-sentence; Latin continues with tenth item on St Joachim. OCR artifacts in source cause minor rendering issues.
full_chunk_0006,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,'tertius' (63rd) rendered as 60th; 'artrologiam' left as artrology; bubones/diapyrata kept as untranslated placeholders; otherwise accurate
full_chunk_0006,minimax,claude-opus-4-7,3,3.0,3,3.0,True,False,False,"Translation incomplete (cuts off mid-sentence); several distortions (e.g. 'bacuceorum'Ã¢â€ â€™'wicked', 'picam'/dove confusion)."
full_chunk_0006,minimax-v2,minimax-m2.7,3,3.5,2,3.5,False,False,False,Awkward phrasing throughout; 'except for not without' is garbled English; 'the goods of a good master' is unclear
full_chunk_0007,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate throughout; 'Beda' rendered as 'Bede' is standard; [unclear] marks genuine ambiguity; final 'glorious.' duplication faithfully reproduced
full_chunk_0007,minimax,claude-opus-4-7,3,3.0,3,3.0,False,False,False,Misreads 'bubones' (owls) as 'bonds' throughout; 'Tus Magnus' should be Carolus Magnus; GalliamÃ¢â€ â€™Galicia error.
full_chunk_0007,minimax-v2,minimax-m2.7,3,3.5,3,3.7,False,False,False,Translation is mostly accurate but some uncertain passages like 'Tus'→'Titus' are guesswork; Latin itself is garbled/OCR-damaged
full_chunk_0008,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate throughout; 'diui Martini praefulis' rendered well; minor omissions in damaged text handled cleanly
full_chunk_0008,minimax,claude-opus-4-7,4,4.0,4,4.0,False,False,False,Minor distortions: 'noftro xuo' rendered 'by our labor' (should be 'in our age'); Pythagoras quaternary clause inverted.
full_chunk_0008,minimax-v2,minimax-m2.7,3,3.5,3,3.7,False,False,False,Ends mid-sentence at 'of prudence' without indicating truncation; some inversions like 'secret keeps owl' for 'owl guards secret'
full_chunk_0009,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate throughout; [unclear] markers honestly flag corrupt/illegible text in Bouillus sentence; no invented content
full_chunk_0009,minimax,claude-opus-4-7,4,4.0,4,4.0,False,False,False,Minor errors: 'Grandauensis' is Ghent not Grand-En-Brie; 'Autelianensem' is OrlÃƒÂ©ans not Autun; 'exhistuere' rendered 'roared'.
