record,translation_backend,grader,raw_faith,adj_faith,raw_fluent,adj_fluent,hallucinated,preamble,refusal,notes
full_chunk_0001,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,"Accurate throughout; all key proper nouns, arguments, and qualifications rendered correctly; [unclear] at lacuna is honest"
full_chunk_0001,minimax,minimax-m2.7,3,3.5,4,4.7,False,False,False,Generally accurate translation of OCR-degraded Latin; some interpretive choices like 'dear parent' for unclear 'ci paretts'
full_chunk_0001,claude-cli,minimax-m2.7,4,4.4,4,4.7,False,False,False,Generally accurate translation with appropriate bracketed notes for illegible portions; abrupt ending due to source truncation.
full_chunk_0001,minimax-v2,minimax-m2.7,2,2.8,2,3.5,True,False,False,"Extensive garbled text: Latin fragments left untranslated ('Choo?ba', 'garrictes', 'drariG'), invented strings, choppy broken English throughout"
full_chunk_0002,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate and complete; [unclear] marks nicator (obscure insult/name); gaps handled honestly; no invented content
full_chunk_0002,minimax,minimax-m2.7,2,2.8,3,3.7,False,False,False,"Latin is heavily corrupted OCR; translation is interpretive and rough, text ends mid-sentence"
full_chunk_0002,claude-cli,minimax-m2.7,4,4.4,4,4.7,False,False,False,Translation captures the theological argument well; minor interpretive choices like 'scrupulously turn over' for OCR-corrupted Latin.
full_chunk_0002,minimax-v2,minimax-m2.7,3,3.5,3,3.7,False,False,False,Generally accurate but some phrases paraphrased; 'paradise/martyr' passage unclear; some Latin terms lost in translation
full_chunk_0003,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,"Accurate and complete rendering; all arguments, rhetorical questions, and conclusions faithfully translated."
full_chunk_0003,minimax,minimax-m2.7,2,2.8,2,3.5,False,False,False,Severely corrupted OCR Latin; translation is fragmented with many incomplete sentences and abrupt endings
full_chunk_0003,claude-cli,minimax-m2.7,3,3.5,3,3.7,False,False,False,"Translation captures overall meaning but has awkward phrasing, incomplete sentences, and some interpretive choices due to garbled source."
full_chunk_0003,minimax-v2,minimax-m2.7,3,3.5,3,3.7,False,False,False,Heavily OCR-damaged Latin source; translator used [unclear] for unparseable sections but preserved core theological argument.
full_chunk_0004,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,"Accurate throughout; 'os suum...non ayit' rendered as '[open?]' conjecture, acceptable; minor paraphrase in final clause"
full_chunk_0004,minimax,minimax-m2.7,3,3.5,4,4.7,False,True,False,Heavily OCR-damaged source; translation acknowledges incompleteness with preamble and ellipses throughout
full_chunk_0004,claude-cli,minimax-m2.7,3,3.5,3,3.7,False,False,False,Translation captures general sense but has many gaps marked with ellipsis; some passages are fragmentary or conjectural
full_chunk_0004,minimax-v2,minimax-m2.7,1,1.7,2,3.5,True,True,False,Not a translation; model provided analysis and speculation about OCR text rather than actual English translation
full_chunk_0005,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,"'Tertullian' rendered as 'Ciceronian' — Latin reads 'tertullianā eloquentiam'; minor slip, rest accurate"
full_chunk_0005,minimax,minimax-m2.7,4,4.4,3,3.7,False,False,False,Good capture of theological content despite garbled OCR source; minor awkwardness in phrasing
full_chunk_0005,claude-cli,minimax-m2.7,4,4.4,4,4.7,False,False,False,Accurate translation of difficult manuscript; handles unclear Latin readings well
full_chunk_0005,minimax-v2,minimax-m2.7,3,3.5,3,3.7,False,False,False,Translation handles main content but has one key error: 'genitrix of Anne' misrepresents Anne as child rather than Mary's mother
full_chunk_0006,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate and complete throughout; minor Latin contractions resolved correctly; no invented content
full_chunk_0006,minimax,minimax-m2.7,3,3.5,3,3.7,False,False,False,OCR artifacts in Latin; 'cum laude' left as Latin in English; 'palm of purity' is interpretive guess
full_chunk_0006,claude-cli,minimax-m2.7,3,3.5,3,3.7,False,False,False,Translation captures main content but has [unclear] markers and ends mid-sentence; some interpretive choices questionable
full_chunk_0006,minimax-v2,minimax-m2.7,4,4.4,4,4.7,False,False,False,Generally accurate translation of the Immaculate Conception debate; some garbled OCR reflected in slightly interpretive phrasing
full_chunk_0007,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,Very close throughout; 'Misi matrem haberemns' rendered as [unclear] rather than attempted; minor drift in 'amor' as 'its love'
full_chunk_0007,minimax,minimax-m2.7,1,1.7,1,3.5,False,True,False,Not a translation; only contains commentary/analysis of the OCR'd Latin instead of English rendering
full_chunk_0007,claude-cli,minimax-m2.7,3,3.5,3,3.7,False,False,False,Translation covers content but has gaps at start/end; some interpretive choices for corrupted Latin
full_chunk_0007,minimax-v2,minimax-m2.7,3,3.5,5,4.5,False,False,False,Translation is fluent and coherent despite extreme OCR corruption in source; content appears plausible given topic but unverifiable against garbled Latin.
full_chunk_0008,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,[unclear] used honestly for gaps; 'nō aāre' rendered loosely; 'de nka' left as [unclear] appropriately; minor omissions only
full_chunk_0008,minimax,minimax-m2.7,3,3.5,3,3.7,False,False,False,Appropriately identifies damaged text; transliterates garbled names with reasonable accuracy
full_chunk_0008,claude-cli,minimax-m2.7,3,3.5,4,4.7,False,False,False,"Source is OCR garbled text; translator appropriately used [unclear] for illegible portions, names partially recovered"
