position	cipher	decoded	evidence_status
1	g	i	inferred-operation
2	a	c	inferred-operation
3	f	h	inferred-operation
4	z	a	inferred-operation
5	g	i	inferred-operation
6	b	d	inferred-operation
7	c	e	inferred-operation
8	p	r	inferred-operation
9	g	i	inferred-operation
10	a	c	inferred-operation
11	f	h	inferred-operation
12	h	k	inferred-operation
13	m	o	inferred-operation
14	k	m	inferred-operation
15	s	v	inferred-operation
16	m	o	inferred-operation
17	l	n	inferred-operation
18	q	s	inferred-operation
19	r	t	inferred-operation
20	s	v	inferred-operation
21	i	l	inferred-operation
22	b	d	inferred-operation
23	x	z	inferred-operation
24	l	n	inferred-operation
25	v	y	inferred-operation
26	s	v	inferred-operation
27	s	v	inferred-operation
28	k	m	inferred-operation
29	g	i	inferred-operation
30	r	t	inferred-operation
31	g	i	inferred-operation
32	q	s	inferred-operation
33	b	d	inferred-operation
34	s	v	inferred-operation
35	e	g	inferred-operation
36	q	s	inferred-operation
37	e	g	inferred-operation
38	t	x	inferred-operation
39	p	r	inferred-operation
40	m	o	inferred-operation
41	g	i	inferred-operation
42	r	t	inferred-operation
