record,translation_backend,grader,raw_faith,adj_faith,raw_fluent,adj_fluent,hallucinated,preamble,refusal,notes
full_chunk_0001,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Non-textual placeholder for a copyright/terms-of-use page; honest acknowledgment of illegibility.
full_chunk_0001,minimax,minimax-m2.7,4,4.4,3,3.7,False,False,False,Translation cuts off mid-sentence at 'in th' leaving final paragraph incomplete
full_chunk_0001,minimax-v2,minimax-m2.7,4,4.4,4,4.7,False,False,False,German source truncated at end; translation faithful but missing final example content
full_chunk_0002,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Bibliographic/boilerplate page; English renders the author name accurately.
full_chunk_0002,minimax,minimax-m2.7,4,4.4,4,4.7,False,False,False,Epigram's final couplet loses the sense of placing him among the learned; 'as often as' is awkward
full_chunk_0002,minimax-v2,minimax-m2.7,4,4.4,4,4.7,False,False,False,Good handling of fragmented OCR source; educated guesses on damaged text are reasonable
full_chunk_0003,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,"Title, colophon, Brant epigram, index header/errata note, and all index entries accurately rendered; expansions appropriate"
full_chunk_0003,minimax,minimax-m2.7,4,4.4,3,3.7,False,False,False,"List format; abbreviations like fis, 41$ left as unclear; name forms like Tartagin/Tartaglia and Aloysius reasonable."
full_chunk_0003,minimax-v2,minimax-m2.7,4,4.4,3,3.7,False,False,False,"Mostly accurate; minor transliteration errors (Ascelpinus, Aristides, etc.); [unclear] tags appropriately indicate OCR damage"
full_chunk_0004,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,Very accurate; 'Antonius S.eremitae & abbas' rendered awkwardly; 'arsenius archiepifcopꝰ Monembasien̄ 27' rendered [unclear] rather than named—minor omission only
full_chunk_0004,minimax,minimax-m2.7,5,4.3,4,4.7,False,False,False,"Accurate list translation of ecclesiastical writers with names, titles, locations, and numbers faithfully rendered."
full_chunk_0004,minimax-v2,minimax-m2.7,3,3.5,4,4.7,False,False,False,"Selective translation; many entries omitted (e.g., 'beryllus', 'boo Cardinalis', 'Boethius') and some cuts visible"
full_chunk_0005,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,"Minor omissions (Steuchus page# missing, Ruthenia unclear→[unclear]); Bovillus/Bouillus, Bertramus/Thessalonica slight variants; overall accurate"
full_chunk_0005,minimax,minimax-m2.7,4,4.4,4,4.7,False,False,False,"Accurate translation of list entries; minor OCR artifacts handled reasonably (e.g., 'Teuto'Ã¢â€ â€™'German', 'Flandrus'Ã¢â€ â€™'Fleming')"
full_chunk_0005,minimax-v2,minimax-m2.7,3,3.5,4,4.7,True,False,False,Franciscus Philelphus appears 3x in translation but once in source; some entries added or duplicated
full_chunk_0006,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate index transcription; [unclear] markers for damaged/ambiguous text; no fabricated content
full_chunk_0006,minimax,minimax-m2.7,4,4.4,4,4.7,False,False,False,"Accurate translation of corrupted index; many place names reasonably inferred, some tagged as [unknown] where source unclear"
full_chunk_0006,minimax-v2,minimax-m2.7,3,3.5,3,3.7,False,False,False,Catalog entries mostly accurate; many [unclear] markers for illegible text; some numbers differ between source and translation.
full_chunk_0007,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,Nearly complete; two-column OCR splits cause one dropped number (95 near Corinthius entry); [unclear] used correctly throughout
full_chunk_0007,minimax,minimax-m2.7,1,1.7,2,3.5,True,True,False,"Extensive fabrication: invented names (Thebanus of Bergamo, Herman the Shepherd, Hugh of Saint-Amand) not in Latin source"
full_chunk_0007,minimax-v2,minimax-m2.7,2,2.8,2,3.5,False,False,False,"Rough romanization only; Latin terms like episcopus, abbas, Carthu, Teuto left untranslated; OCR artifacts persist"
full_chunk_0007,opus-sweep,minimax-m2.7,2,2.8,3,3.7,True,False,False,"Translation extends well beyond Latin source; ~15+ entries (Idatius, Ignatius, etc.) not in provided Latin"
full_chunk_0007,opus-sweep,minimax-m2.7,4,4.4,3,3.7,False,False,False,Translation is largely accurate; expands abbreviated forms like Teuto to German reasonably; uses [unclear] appropriately for OCR noise
full_chunk_0008,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,Minor issues: 'Haringus' entry missing page#; 'hermannus Petra 901' rendered as [301?]; 'hieronymus Paduanus 599' as [399?]; H-section ordering shuffled but all entries present
full_chunk_0008,minimax,minimax-m2.7,3,3.5,3,3.7,False,False,False,Mostly accurate but 'archdeacon' should be 'archbishop' (archi-episcopus); ends abruptly with many entries missing
full_chunk_0008,minimax-v2,minimax-m2.7,3,3.5,3,3.7,False,False,False,Mostly faithful list translation; some entries omitted or reordered; page numbers occasionally differ
full_chunk_0009,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,Mostly accurate; 'Bavonensis' bracketed as conjecture; 'Blomendal' rendered as Franciscan vs Latin 'Minor' (Franciscan=correct); minor reordering
full_chunk_0009,minimax,minimax-m2.7,2,2.8,4,4.7,False,False,False,"Translation stops after 8 entries out of 70+, leaving most of the Latin source untranslated"
full_chunk_0009,minimax-v2,minimax-m2.7,4,4.4,3,3.7,False,False,False,One omission at start; mostly faithful with appropriate [unclear] markers for corrupted OCR source text
full_chunk_0010,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,"Mostly accurate index. 'Gervasii Venetian 289' left unclear; 'monachus Castellensis 270' diocese note present; minor omissions (Zacharias, Ivo page nos) handled."
full_chunk_0010,minimax,minimax-m2.7,4,4.4,3,3.7,False,False,False,"Translation ends abruptly; Petrus Blomeuena entry truncated, last few entries missing."
full_chunk_0010,minimax-v2,minimax-m2.7,2,2.8,2,3.5,True,False,False,Large section from 'paulus Belmissenus' onward is untranslated Latin; inconsistent casing throughout; 'Hilarius' appears without Latin source
full_chunk_0011,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,Marcellus ep Ancyra 474 omitted; Augustinenfis 404 misattributed to Marinus Sanutus; else accurate
full_chunk_0011,minimax,minimax-m2.7,2,2.8,3,3.7,False,False,False,Translation incomplete; stops mid-catalogue at 'Rosfredus' while Latin continues for dozens of entries
full_chunk_0011,minimax,claude-opus-4-7,4,4.0,4,4.0,False,False,False,Index entries rendered accurately with reasonable [unclear] marks; truncated before completing list.
full_chunk_0011,minimax-v2,minimax-m2.7,2,2.8,3,3.7,True,False,False,Jinus Marius 177 for canus 186 is fabricated; multiple page number discrepancies; Latin abbreviations not consistently expanded
full_chunk_0012,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,"OCR column-merge causes ~3 page/attribution errors (Aliacus pg, Bembo pg 149 vs 260, noua ciuitatis shifted to Bruniquellius); bulk faithful"
full_chunk_0012,minimax,minimax-m2.7,3,3.5,3,3.7,False,False,False,Essentially a transliteration; incomplete (cuts off mid-entry); uses [unclear] appropriately for illegible text
full_chunk_0012,minimax-v2,minimax-m2.7,3,3.5,4,4.7,False,False,False,"Mostly accurate list rendering; some name transliterations are uncertain, e.g., Argetinas/Amyglenfis unclear"
full_chunk_0013,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,Mostly accurate index; 'Richard of Armagh' doubled at 204 (Latin has 204/251 split); minor name normalizations acceptable
full_chunk_0013,minimax,minimax-m2.7,4,4.4,5,4.5,False,False,False,Competent translation of Trithemius's defense of secular learning's role in theology; clear structure
full_chunk_0013,minimax-v2,minimax-m2.7,4,4.4,4,4.7,False,False,False,Solid translation; 'Sigibert' for 'Sigebertus' is minor variant; 'censors' for 'censores' slightly odd
full_chunk_0014,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,Accurate index & letter; 'Cumae' for Cummenensis is conjecture but flagged; minor omissions in damaged gaps handled honestly
full_chunk_0014,minimax,minimax-m2.7,4,4.4,3,3.7,False,False,False,Translation cuts off mid-sentence; otherwise faithful to Latin with minor phrasing choices
full_chunk_0014,minimax-v2,minimax-m2.7,5,4.3,4,4.7,False,False,False,Accurate translation; minor clunkiness in 'praiseworthy' as modifier but meaning is sound throughout.
full_chunk_0015,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate throughout; [unclear] flags correctly mark OCR lacunae/split lines; 'untrained men' for crudis defensible
full_chunk_0015,minimax,minimax-m2.7,4,4.4,4,4.7,False,False,False,Solid translation of Renaissance dedicatory epistle and prologue; formal register well maintained; no obvious errors
full_chunk_0015,minimax-v2,minimax-m2.7,3,3.5,3,3.7,False,False,False,Translation struggles with OCR-garbled blackletter passages; some interpretive renderings
full_chunk_0016,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Complete and accurate rendering; bracketed flags honest; all names/dates/content present in Latin.
full_chunk_0016,minimax,minimax-m2.7,4,4.4,4,4.7,False,False,False,Translation is accurate and fluid; minor imprecision in 'illustrious men' for illustrium virorum.
full_chunk_0016,minimax-v2,minimax-m2.7,4,4.4,4,4.7,False,False,False,Generally accurate translation; slight awkwardness in 'illustrious men—in which' parsing of Latin relative clause
full_chunk_0017,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,"Complete and accurate rendering; all content, names, dates (1493/Frederick III), Jerome citation, and rhetorical structure faithfully reproduced."
full_chunk_0017,minimax,minimax-m2.7,4,4.4,5,4.5,False,False,False,Well-executed catalog of Dionysius and Seneca's works; translation reads naturally and appears faithful to typical content of Trithemius's De Scriptoribus Ecclesiasticis; note that Latin source was not visible for verification.
full_chunk_0017,minimax-v2,minimax-m2.7,4,4.4,4,4.7,False,False,False,Generally accurate translation of catalog entries; minor interpretive choices in 'compolite' and 'divinum discipulum'
full_chunk_0018,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,"Accurate throughout; trailing [unclear] marks an OCR cut-off, not invention; no added names/dates"
full_chunk_0018,minimax,minimax-m2.7,3,3.5,3,3.7,False,False,False,Translation truncated mid-word; some titles like 'virtutibus' omitted or mistranslated as 'these things we testify'
full_chunk_0018,minimax-v2,minimax-m2.7,4,4.4,4,4.7,False,False,False,"Translation accurate overall; some work titles are abbreviated or interpretive, e.g., De ratione animalium rendered as On the Reason of Animals."
full_chunk_0019,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,'Photin(us) Stoici' rendered as 'Sotion the Stoic'—name differs; repeats faithfully handled; [unclear] flags honest; structure accurate
full_chunk_0019,minimax,minimax-m2.7,3,3.5,4,4.7,False,False,False,Date for Papias erroneous: Latin '100' misrendered as '120'; otherwise faithful
full_chunk_0019,minimax-v2,minimax-m2.7,4,4.4,4,4.7,False,False,False,Generally accurate; minor omissions in 'heavenly' realm for 'care nc' and 'heaven' for 'terram'.
full_chunk_0020,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate throughout; 'li.4' for iniuria rendered as 'four books' correct; [unclear] for truncated 'De gie' entries appropriate
full_chunk_0020,minimax,minimax-m2.7,3,3.5,4,4.7,False,False,False,Ignofianos rendered as Gnostics seems dubious; Ad Papa et Roanos missing Pope; text cuts off mid-sentence
full_chunk_0020,minimax-v2,minimax-m2.7,4,4.4,5,4.5,False,False,False,Minor omission: 'et Lucio Vero' (and Lucius Verus) missing after Antoninus Verus for Dionysius
full_chunk_0021,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,Accurate overall; 'Psaltes praenotatus' rendered 'Pre-noted Psalter' is awkward but not wrong; marginal glosses included faithfully
full_chunk_0021,minimax,minimax-m2.7,2,2.8,4,4.7,False,False,False,"Wrong year for Clement: 'anno domini 100' mistranslated; Clement fl. 150-213 AD, not 100"
full_chunk_0021,minimax-v2,minimax-m2.7,4,4.4,4,4.7,False,False,False,Generally accurate translation; minor date discrepancy for Clemens (180 vs 100) may reflect different source tradition.
full_chunk_0022,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,'dist. Sancta Romana' rendered as 'distinction 15' — no '15' in Latin; otherwise accurate and complete
full_chunk_0022,minimax,minimax-m2.7,3,3.5,2,3.5,False,False,False,Rough translation with bracketed uncertainty markers; phrases like 'It feels the condition [of things]' are unclear; text ends mid-sentence
full_chunk_0022,minimax-v2,minimax-m2.7,3,3.5,4,4.7,False,False,False,Title-incipit mismatch: 'De pallio' rendered as duplicate 'Adversus Praxeam'; Latin cuts off mid-sentence but translation follows
full_chunk_0023,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,'Ignosianos'→'Gnosians' plausible conjecture; 'prouocaret'='summoned' slightly free but acceptable; minor omissions only
full_chunk_0023,minimax,minimax-m2.7,3,3.5,3,3.7,False,False,False,Translation is mostly accurate but awkward in places; some phrases like 'No one who has erred was the first without example' are stilted; incipits rendered as titles
full_chunk_0023,minimax-v2,minimax-m2.7,4,4.4,3,3.7,False,False,False,Generally accurate; 'lumina' as 'lights' is slightly odd; catalog of works is substantially correct with proper incipits
full_chunk_0024,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate throughout; gaps/damage honestly marked [unclear]; Gortyna conjecture flagged; no invented content
full_chunk_0024,minimax,minimax-m2.7,3,3.5,5,4.5,False,False,False,Latin source appears empty/cut off; translation content seems fluent but cannot verify accuracy against missing source
full_chunk_0024,minimax-v2,minimax-m2.7,3,3.5,4,4.7,False,False,False,Missing final Gregory entry; 'Tos' not corrected to 'Titus'; otherwise accurate
full_chunk_0025,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,Accurate throughout; minor omissions in OCR-damaged numerals (lib.i etc.) honestly marked [unclear]; no invented content
full_chunk_0025,minimax,minimax-m2.7,4,4.4,4,4.7,False,False,False,Catalog of Dionysius of Alexandria's works well rendered; list items faithful to Latin titles
full_chunk_0025,minimax,claude-opus-4-7,4,4.0,4,4.0,False,False,False,"Solid rendering of Cyprian/Pontius/Dionysius entries; minor title mistranslations (e.g. 'De bono patientiae' split, 'pietate' as 'public welfare')."
full_chunk_0025,minimax-v2,minimax-m2.7,4,4.4,4,4.7,False,False,False,Translation ends abruptly; 'Philumenae' for 'Philip i epistolae' is OCR-driven error; minor title variants
full_chunk_0026,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,Mostly accurate; 'li.t' for Contra Iudaeos rendered [unclear] correctly; minor paraphrase but no inventions
full_chunk_0026,minimax,minimax-m2.7,4,4.4,3,3.7,False,False,False,Translation ends mid-sentence matching Latin truncation; minor awkwardness in 'most eloquent'
full_chunk_0026,minimax-v2,minimax-m2.7,2,2.8,3,3.7,False,False,False,Major error: conflates Athanasius of Alexandria with Laodicea's bishop into one person; the Latin clearly has two separate figures
full_chunk_0027,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,Accurate throughout; 'Ammonius' entry slightly reordered but content preserved; 'sacrifici literis personasset' rendered loosely as 'sacred offering'
full_chunk_0027,minimax,minimax-m2.7,4,4.4,4,4.7,False,False,False,Accurate translation with minor omissions (some Latin phrases left untranslated near end) but overall faithful
full_chunk_0027,minimax-v2,minimax-m2.7,3,3.5,3,3.7,False,False,False,Translation ends mid-sentence and is truncated; missing all content after John Climachus section including ABBAS SPANHEIMENSIS works and Ildefonsus of Toledo
full_chunk_0028,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,Mostly accurate; 'Eryllus' rendered 'Beryllus'/Bostra correct; 'librarium parent numerum' loosely rendered; minor lacunae at page end
full_chunk_0028,minimax,minimax-m2.7,3,3.5,2,3.5,False,False,False,"Work titles translated too literally resulting in fragmentary, nonsensical English constructions like 'to me thinking' and 'how little I am such'"
full_chunk_0028,minimax,minimax-m2.7,3,3.5,2,3.5,False,False,False,Translation is literal and awkward; titles like 'to me thinking and considering' and 'how little I am such' are unidiomatic. Text cuts off mid-word at end.
full_chunk_0028,minimax-v2,minimax-m2.7,3,3.5,3,3.7,False,False,False,Several works rendered as incomplete fragments due to source OCR damage; year 420 appears misread
full_chunk_0029,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,"Accurate throughout; all titles, names, dates, and details match Latin; [unclear] at cut-off is honest flag"
full_chunk_0029,minimax,minimax-m2.7,3,3.5,3,3.7,True,False,False,Date discrepancy: '550' should be 255 given Decius/Valerian martyrdom context; 'On Christians' wrong for De X.virginibus
full_chunk_0029,minimax-v2,minimax-m2.7,2,2.8,3,3.7,False,False,False,"Translation misattributes authorship; discusses Eusebius, Eustathius, Athanasius out of order from Latin source"
full_chunk_0029,opus-sweep,minimax-m2.7,4,4.4,3,3.7,False,False,False,Generally faithful; [unclear] marker appropriately used; slight awkwardness in 'dweller of the desert'
