record,translation_backend,grader,raw_faith,adj_faith,raw_fluent,adj_fluent,hallucinated,preamble,refusal,notes
full_chunk_0001,public-history,opus-pairwise-adopt,5,5.0,5,5.0,False,False,False,churro-hi adopted via Opus pairwise; faith carried from prior Sonnet 4.52 (pending GLM/Sonnet re-grade)
full_chunk_0001,minimax,minimax-m2.7,3,3.5,4,4.7,False,False,False,Generally accurate but significant portions omitted; translation condenses lengthy passages
full_chunk_0001,minimax-v2,minimax-m2.7,2,2.8,1,3.5,False,False,False,Translation fails to render Latin into English; mostly passes Latin through with [unclear] tags
full_chunk_0002,public-history,opus-pairwise-adopt,5,5.0,5,5.0,False,False,False,REMOVED 2026-07-10: segment 2 was a degenerate OCR hallucination (fabricated 1568 Dutch legal doc); the prior grade was scored against the hallucinated text. Chunk file is now a removal marker.
full_chunk_0002,minimax,minimax-m2.7,3,3.5,3,3.7,False,False,False,Many sections paraphrased or left incomplete; significant portions missing in final third
full_chunk_0002,minimax-v2,minimax-m2.7,3,3.5,4,4.7,True,False,False,Translation interprets garbled Latin with semantic reconstructions; minor additions like 'in this life' and expansions of phrases like 'salutare potentie tempus' go beyond the source.
full_chunk_0003,public-history,opus-pairwise-adopt,5,5.0,5,5.0,False,False,False,churro-hi adopted via Opus pairwise; faith carried from prior Sonnet 4.52 (pending GLM/Sonnet re-grade)
full_chunk_0003,minimax,minimax-m2.7,4,4.4,4,4.7,False,False,False,Solid translation capturing theological content; minor paraphrasing of medieval Latin
full_chunk_0003,minimax-v2,minimax-m2.7,4,4.4,4,4.7,False,False,False,Good overall accuracy; 'crown of virtue' for 'corona sancta' is interpretive; ends mid-sentence like Latin source
full_chunk_0004,public-history,opus-pairwise-adopt,5,5.0,5,5.0,False,False,False,churro-hi adopted via Opus pairwise; faith carried from prior Sonnet 4.52 (pending GLM/Sonnet re-grade)
full_chunk_0004,minimax,minimax-m2.7,3,3.5,3,3.7,False,False,False,Translation captures the contrast well but 'drew' would be more accurate than 'draws' for imperfect tense; 'weeping' reasonable for gemitus
full_chunk_0004,minimax-v2,minimax-m2.7,3,3.5,4,4.7,False,False,False,Translation handles corrupted OCR Latin reasonably but some phrasing is loose and interpretive
full_chunk_0005,public-history,opus-pairwise-adopt,5,5.0,5,5.0,False,False,False,churro-hi adopted via Opus pairwise; faith carried from prior Sonnet 4.52 (pending GLM/Sonnet re-grade)
full_chunk_0005,minimax,minimax-m2.7,3,3.5,3,3.7,False,False,False,Translation captures overall sense but omits final clause; 'miser' reference unclear in both
full_chunk_0005,minimax-v2,minimax-m2.7,4,4.4,3,3.7,False,False,False,Generally accurate; awkward phrasing like 'grain of abuse condemns' and abrupt ending with 'pilgrim upon ear' cut off
full_chunk_0006,public-history,opus-pairwise-adopt,5,5.0,5,5.0,False,False,False,churro-hi adopted via Opus pairwise; faith carried from prior Sonnet 4.52 (pending GLM/Sonnet re-grade)
full_chunk_0006,minimax,minimax-m2.7,3,3.5,4,4.7,False,False,False,Translation is generally faithful but contains minor renderings like 'testamentary script' and 'hands of the executor' that obscure Latin terminology
full_chunk_0006,minimax-v2,minimax-m2.7,4,4.4,4,4.7,False,False,False,Translation ends abruptly mid-sentence at 'whom you deliver to' — the Latin continues further.
