record,translation_backend,grader,raw_faith,adj_faith,raw_fluent,adj_fluent,hallucinated,preamble,refusal,notes
full_chunk_0001,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,"Accurate throughout; 'Regeludorum' rendered [unclear], minor OCR gaps handled honestly"
full_chunk_0001,minimax,minimax-m2.7,3,3.5,3,3.7,False,False,False,Translation mostly accurate; minor awkward phrasing like 'you will know its virtue to be'
full_chunk_0001,minimax-v2,minimax-m2.7,1,1.7,1,3.5,False,True,True,Model refuses to translate and provides only a note claiming specialist handling required instead of actual Latin-to-English translation.
full_chunk_0002,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,"Complete, accurate rendering; 'supercilii curvatris' → 'curved eyebrows' reasonable; terminal [unclear] honestly marks truncation"
full_chunk_0002,minimax,minimax-m2.7,4,4.4,4,4.7,False,False,False,Good translation of corrupted OCR Latin; minor imprecision in 'planctatum' and 'corniolo' terms
full_chunk_0002,minimax-v2,minimax-m2.7,3,3.5,3,3.7,False,False,False,Translation ends mid-sentence; 'auream' rendered as 'bread' seems questionable; otherwise accurate
full_chunk_0003,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate throughout; 'lapidem in argento annulo in aequali pondere' rendered correctly; no invented content
full_chunk_0003,minimax,minimax-m2.7,4,4.4,3,3.7,False,False,False,"Translation is mostly accurate but ends mid-sentence, missing the last phrase about the plough and bulls"
full_chunk_0003,minimax-v2,minimax-m2.7,4,4.4,4,4.7,False,False,False,Translation cuts off mid-sentence; missing 'securitatem' and final property of the plow/bull figure
full_chunk_0004,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate throughout; [unclear] markers used appropriately for OCR gaps; Ionis→Jupiter reasonable conjecture
full_chunk_0004,minimax,minimax-m2.7,2,2.8,3,3.7,False,True,False,Translation is incomplete; cuts off mid-sentence and omits most sigils (Aquarius through horseman).
full_chunk_0004,minimax-v2,minimax-m2.7,4,4.4,4,4.7,False,False,False,Generally accurate; minor notes on 'diadochoc' as 'diadem' may be a reading error for stone name
full_chunk_0005,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,Solid translation; OCR sic-repetition correctly ignored; 'fer alia' rendered as 'wild beast' (feralia/fera) is reasonable conjecture
full_chunk_0005,minimax,minimax-m2.7,4,4.4,4,4.7,False,False,False,"Generally accurate translation of magical sigil texts, readable English, chunk cuts off mid-sentence"
