record,translation_backend,grader,raw_faith,adj_faith,raw_fluent,adj_fluent,hallucinated,preamble,refusal,notes
full_chunk_0001,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,True,False,'laetis angelis'→'holy angels' (OCR shows laetis≠sanctis); date 1534 vs OCR's 1533; both flagged as cruxes
full_chunk_0001,minimax,minimax-m2.7,3,3.5,5,4.5,True,True,False,Date discrepancy (1533 vs 1534); preface on page 008 appears to translate Latin not present in source
full_chunk_0001,minimax-v2,minimax-m2.7,1,1.7,3,3.7,True,True,True,Refusal: refuses to translate readable Latin title; falsely claims source is cipher_table requiring specialist handling
full_chunk_0001,codex-sweep,minimax-m2.7,1,1.7,5,4.5,True,False,True,"Misidentifies source as cipher tables; Latin is bibliographic record and title page, not cipher content"
full_chunk_0002,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate and complete throughout; Wisd 9 & Paul quotes correctly placed; no unsupported assertions
full_chunk_0002,minimax,minimax-m2.7,3,3.5,4,4.7,False,False,False,Translation ends abruptly mid-word; Latin final line not rendered; minor omissions in 'coram' address to Majesty
full_chunk_0002,minimax-v2,minimax-m2.7,4,4.4,4,4.7,False,False,False,"Bracketed additions like '[intellect]' are editorial aids, not errors; truncation at 'immovab' is source omission, not translator fault"
full_chunk_0003,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate and complete; Dionysian apophatic list fully rendered; [unclear] at truncation is honest.
full_chunk_0003,minimax,minimax-m2.7,3,3.5,3,3.7,False,False,False,Translation ends abruptly mid-sentence; some phrases awkward and imprecise
full_chunk_0003,minimax-v2,minimax-m2.7,3,3.5,4,4.7,False,False,False,"Translation is generally accurate but adds 'perhaps' to 'the whole universe declares all things', inappropriately softening the Latin's definite statement"
full_chunk_0004,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Complete and accurate; Cusanus identified correctly as fellow Mosellan; 1 Cor 13:12 rendered faithfully; no spurious additions
full_chunk_0004,minimax,minimax-m2.7,4,4.4,4,4.7,False,False,False,Good translation of philosophical content; minor interpretive additions like 'indeed' for emphasis
full_chunk_0004,minimax-v2,minimax-m2.7,4,4.4,4,4.7,False,False,False,Good overall but 'perfexa' rendered as 'perfect' misses scribal correction for 'per fidem'; minor omissions near end
full_chunk_0005,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate and complete; 'Christophilus' rendered as 'holy Apostle' (Heb 11 marginal note confirms Paul/author); no invented content
full_chunk_0005,minimax,minimax-m2.7,4,4.4,3,3.7,False,False,False,Generally accurate translation; biblical citation 'Marcis' rendered as Mark 16:16 differs from standard but follows source; minor awkwardness in phrasing
