record,translation_backend,grader,raw_faith,adj_faith,raw_fluent,adj_fluent,hallucinated,preamble,refusal,notes
full_chunk_0001,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate throughout; table of contents and epistle faithfully rendered; 'Kalends of July' correct for 'Kalendis Iulias'
full_chunk_0001,minimax,minimax-m2.7,3,3.5,4,4.7,True,False,False,"TOC includes items not in Latin source (e.g., De celebratione festi); 'virtutes' added without Latin basis"
full_chunk_0001,claude-cli,minimax-m2.7,4,4.4,3,3.7,False,False,False,Accurate translation; page 004 English cuts off mid-sentence where Latin also ends
full_chunk_0001,minimax-v2,minimax-m2.7,3,3.5,4,4.7,False,False,False,Page 002 entirely missing; last paragraph abruptly cut off; table of contents abbreviations not fully resolved
full_chunk_0002,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate and complete; all content faithfully rendered; 'calamnam' (pen/reed) correctly interpreted
full_chunk_0002,minimax,minimax-m2.7,4,4.4,4,4.7,False,True,False,Starts with 'Here begins' preamble; otherwise faithful rendering of damaged OCR Latin
full_chunk_0002,claude-cli,minimax-m2.7,4,4.4,4,4.7,False,False,False,Solid translation; bracketed textual note is appropriate; minor interpretive choices like 'mistress' are acceptable
full_chunk_0002,minimax-v2,minimax-m2.7,4,4.4,3,3.7,False,True,False,Translation ends mid-sentence; preamble adds 'Here begins' typical of manuscript openings
full_chunk_0003,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Complete and accurate rendering; minor expansions natural for Latin abbreviations; no invented content
full_chunk_0003,minimax,minimax-m2.7,2,2.8,4,4.7,True,False,False,Heavy interpretive additions likely; source OCR garbled but translation reads too coherent
full_chunk_0003,claude-cli,minimax-m2.7,3,3.5,3,3.7,False,False,False,Translation captures general sense but some interpretive choices; Latin abbreviations may have obscured details.
full_chunk_0003,minimax-v2,minimax-m2.7,3,3.5,4,4.7,True,False,False,Translation omits 'peccatrices' (sinners) from 'qui iustificas impii et peccatrices' and adds 'vanquish our enemies' not in source
full_chunk_0004,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate and complete rendering; all content including invocation matches Latin closely.
full_chunk_0004,minimax,minimax-m2.7,2,2.8,3,3.7,False,False,False,Many lacunae from abbreviated/unreadable Latin marked with ellipses; translation is fragmentary with incomplete sentences throughout
full_chunk_0004,claude-cli,minimax-m2.7,3,3.5,4,4.7,False,False,False,Generally accurate but takes interpretive liberties with corrupt passages; '[unclear]' tags appropriately used
full_chunk_0004,minimax-v2,minimax-m2.7,4,4.4,4,4.7,False,False,False,Solid translation; 'I give the help of heart and work' is slightly loose for 'in corde et opere'
full_chunk_0005,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,'serophantes' flagged as conjecture; 'bonia memetiꝑo' rendered idiomatically; minor omissions in grace/will clause but overall accurate
full_chunk_0005,minimax,minimax-m2.7,3,3.5,3,3.7,True,False,False,Partial translation; many garbled Latin passages omitted or glossed; some added content not in source
full_chunk_0005,claude-cli,minimax-m2.7,4,4.4,3,3.7,False,False,False,"Source OCR badly corrupted; translation reasonably reconstructs sense from mangled text, mostly accurate but some passages dubious"
full_chunk_0005,minimax-v2,minimax-m2.7,4,4.4,3,3.7,False,False,False,Corrupt OCR Latin well-handled; some interpretive choices like spiritual Mother are reasonable but could be refined.
full_chunk_0006,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,Solid throughout; 'mater genitrices' rendered loosely; small gap in 'prima omnium generi' clause; [unclear] markers honest
full_chunk_0006,minimax,minimax-m2.7,2,2.8,2,3.5,True,False,False,Multiple dubious translations: 'shadow of both Rest' likely wrong; 'after the queen' obscure; 'daughter of God' for St. Anne is problematic; several awkward/incoherent phrases throughout
full_chunk_0006,claude-cli,minimax-m2.7,3,3.5,3,3.7,False,False,False,Captures general sense but many [unclear] passages; occasional interpretive choices deviate from Latin
full_chunk_0006,minimax-v2,minimax-m2.7,4,4.4,3,3.7,False,False,False,Fragmentary page-start 'from the earth' unclear but defensible; OCR corruption handled reasonably throughout
full_chunk_0007,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,"Accurate and complete rendering of the Latin; all theological arguments, examples, and closing comparison faithfully conveyed."
full_chunk_0007,minimax,minimax-m2.7,2,2.8,3,3.7,False,False,False,Handles corrupted OCR Latin reasonably but awkward phrasing and interpretive choices throughout
full_chunk_0007,claude-cli,minimax-m2.7,3,3.5,3,3.7,False,False,False,Multiple [unclear] markers show honest uncertainty; some passages mistranslated or condensed; 'puffed-up Apuleius' seems speculative
full_chunk_0007,minimax-v2,minimax-m2.7,3,3.5,3,3.7,False,False,False,Translation is adequate but paraphrases rather than translates literally; some passages omitted indicated by ellipses
full_chunk_0008,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate throughout; final truncated line correctly marked [unclear] for illegible OCR; no inventions.
full_chunk_0008,minimax,minimax-m2.7,4,4.4,4,4.7,False,False,False,Good translation overall; 'thee' used for Anna where Latin is indirect address seems slightly off
