record,translation_backend,grader,raw_faith,adj_faith,raw_fluent,adj_fluent,hallucinated,preamble,refusal,notes
full_chunk_0001,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,"Title page, Greek interpolation marked [unclear], dedication and preface all accurately rendered; no invented content"
full_chunk_0001,minimax,minimax-m2.7,3,3.5,3,3.7,False,False,False,Translation incomplete; stops mid-sentence with 'find no one more fitting' while Latin continues with more text
full_chunk_0001,minimax-v2,minimax-m2.7,1,1.7,1,3.5,True,True,True,Refusal to translate; falsely claims Latin is steganographia spirit list when it is Trithemius's chronicle dedication and title page
full_chunk_0002,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,Accurate throughout; Greek passage left as [unclear] not invented; minor paraphrase at 'hammered out'; slight awkwardness at final lacunae handled honestly
full_chunk_0002,minimax,minimax-m2.7,3,3.5,2,3.5,False,False,False,Awkward phrasing throughout; 'vanam et ipse Trithemius' mistranslated as 'Trithemius himself' following Nauclerus; sentence structure often broken
full_chunk_0002,minimax-v2,minimax-m2.7,1,1.7,3,3.7,True,True,True,Refusal to translate; falsely claims text is steganographia cipher when it is a standard early modern Latin dedication/preface
full_chunk_0003,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate throughout; 'pridie Kal. Iun.' = May 31 correct; gaps/unclear markers honest; verse rendered in faithful prose
full_chunk_0003,minimax,minimax-m2.7,3,3.5,3,3.7,False,False,False,Generally accurate but ends mid-sentence; 'vigilant lamp of works' is interpretive for 'vigiles operum lucerne'
full_chunk_0003,minimax-v2,minimax-m2.7,3,3.5,4,4.7,True,False,False,INSIGNIS means 'illustrious' not 'insignificant'; 'Adrian the theologian' appears to be a hallucination
full_chunk_0004,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate throughout; [unclear] flags gap in Latin; marginal headers & cut-off lines faithfully rendered
full_chunk_0004,minimax,minimax-m2.7,4,4.4,4,4.7,False,False,False,Generally accurate translation of the three kinds of histories; ends mid-sentence at chunk boundary.
full_chunk_0004,minimax-v2,minimax-m2.7,4,4.4,4,4.7,False,False,False,Good translation of medieval historiographical treatise; handles damaged OCR passages reasonably
full_chunk_0005,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,Accurate throughout; 'selemium' rendered as 'solemn' (likely misread); 'Carmeli-' truncated as [unclear]; minor omissions at end
full_chunk_0005,minimax,minimax-m2.7,4,4.4,4,4.7,False,False,False,Good translation; adds 'father of Louis' (inferred from context) and smoothes 'patre' to 'father of'
full_chunk_0005,minimax-v2,minimax-m2.7,3,3.5,4,4.7,True,False,False,Added 'after the death of Charles the Great' not in Latin; Notting as bishop of Vercelli omitted
full_chunk_0006,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate throughout; [unclear] markers honest; marginal glosses faithfully rendered; minor OCR artifacts in Latin don't mislead translation
full_chunk_0006,minimax,minimax-m2.7,3,3.5,3,3.7,False,False,False,Good narrative coverage but five [unclear] markers indicate gaps; OCR corruption in source complicates assessment
full_chunk_0006,minimax-v2,minimax-m2.7,4,4.4,4,4.7,False,False,False,Solid medieval translation with two [unclear] markers for damaged passages; narrative fully captured
full_chunk_0007,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,Honest [unclear] flags for corrupt OCR passages; 'tricesimus'/'seruores' garble handled well; minor paraphrase but no invention
full_chunk_0007,minimax,minimax-m2.7,3,3.5,4,4.7,True,False,False,Translation omits opening 'providentia' and simplifies corrupted passages; adds 'heavenly' to Aurelius not in Latin
full_chunk_0007,minimax-v2,minimax-m2.7,4,4.4,4,4.7,False,False,False,Translation captures the blind man's healing narrative accurately; minor imprecision in some word choices like 'encountered'
full_chunk_0008,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,Accurate throughout; minor gaps marked [unclear]; 'Rabanus Maurus' expansion minor but harmless; 40 monks detail omitted
full_chunk_0008,minimax,minimax-m2.7,2,2.8,3,3.7,False,False,False,Translation uses frequent ellipses indicating omitted Latin; incomplete sentences and abrupt ending; substantial content missing
full_chunk_0008,minimax-v2,minimax-m2.7,4,4.4,4,4.7,False,False,False,Good translation; 'Herger' for 'Orgarij' is a plausible variant; minor interpretive choices in 'ratio' and some phraseology
full_chunk_0009,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,Accurate throughout; [unclear] marks gaps honestly; minor omission of 'frater' relationship of Bruno to Lindbert
full_chunk_0009,minimax,minimax-m2.7,4,4.4,4,4.7,False,False,False,Mostly accurate translation; source has OCR damage explaining gaps; ending truncated mid-word
full_chunk_0009,minimax-v2,minimax-m2.7,4,4.4,4,4.7,False,False,False,"Good overall translation; minor inaccuracies with names (Hildgrim, Erlafrid) and a missing indiction reference"
full_chunk_0010,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,Accurate throughout; minor omissions in garbled OCR passages; [unclear] markers honest; no invented content
full_chunk_0010,minimax,minimax-m2.7,4,4.4,4,4.7,False,False,False,Good overall; minor interpretive choices like 'advocacy' for censitas and slight reordering of final clause.
full_chunk_0010,minimax-v2,minimax-m2.7,4,4.4,4,4.7,False,False,False,Solid translation; year 832 may be inferred from damaged source; minor place names left as transliterated originals
full_chunk_0011,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Non-textual placeholder; no Latin to contradict. Correct handling of illegible source.
full_chunk_0011,minimax,minimax-m2.7,2,2.8,3,3.7,False,False,False,Many [unclear] markers due to damaged OCR source; translation paraphrases where Latin is garbled
full_chunk_0011,minimax-v2,minimax-m2.7,3,3.5,3,3.7,False,False,False,Many lacunae due to poor OCR; translation captures gist but many approximate renderings
full_chunk_0012,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,Accurate throughout; marginal text rendered as italics; gaps marked [unclear]; no invented content
