record,translation_backend,grader,raw_faith,adj_faith,raw_fluent,adj_fluent,hallucinated,preamble,refusal,notes
full_chunk_0001,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate and complete rendering of the Latin letter; title heading and all epistolary content faithfully translated.
full_chunk_0001,minimax,minimax-m2.7,4,4.4,3,3.7,False,False,False,Translation mostly accurate but cuts off mid-sentence at end; some passages like 'elegant petition' are slightly off tone
full_chunk_0001,minimax-v2,minimax-m2.7,3,3.5,3,3.7,False,False,False,Author misidentified on p.004 as Rupertus Sycamber instead of Joannes Trithemius Spanheimensis abbatie; [unclear] used appropriately for illegible OCR text
full_chunk_0002,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,[unclear] markers honest; 'Crutzen' rendered as 'Crutzen' (acceptable); 'tymnulo' silently elided; otherwise accurate
full_chunk_0002,minimax,minimax-m2.7,3,3.5,3,3.7,False,False,False,Handles severely corrupted OCR Latin reasonably; chapter list faithfully translated but some phrases slightly awkward
full_chunk_0002,minimax-v2,minimax-m2.7,4,4.4,4,4.7,False,False,False,"Solid translation of damaged OCR source; chapter list accurate, epistle intro well-handled"
full_chunk_0003,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,"Accurate and complete; [unclear] markers at two genuinely difficult passages; date, names, monastery all correct"
full_chunk_0003,minimax,minimax-m2.7,3,3.5,4,4.7,False,False,False,Translation ends mid-sentence; 'Saint Martin' appears to be inferential reading of corrupt Latin text.
full_chunk_0003,minimax-v2,minimax-m2.7,3,3.5,3,3.7,True,False,False,First sentence garbled; 'abundantly fruitful' misreads Latin; 'most excellent praises' adds unearned superlative
full_chunk_0004,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate throughout; Latin abbreviations expanded correctly; chapter heading and colophon rendered precisely.
full_chunk_0004,minimax,minimax-m2.7,4,4.4,4,4.7,False,False,False,Mostly accurate; 'sons of thundercloud' appears to be misreading for 'sons of the prophets' (filii prophetarum)
full_chunk_0004,minimax-v2,minimax-m2.7,2,2.8,3,3.7,False,True,False,"Wrong order: source is about Carmelite order, not Friars Minor (Franciscans)"
full_chunk_0005,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate throughout; final sentence trails off matching Latin's abrupt continuation; no fabrications
full_chunk_0005,minimax,minimax-m2.7,2,2.8,3,3.7,True,False,False,Inuidia/bos hatred becomes 'breasts'; fragment ends mid-sentence; 'and it is not permitted' trails off without complement
