record,translation_backend,grader,raw_faith,adj_faith,raw_fluent,adj_fluent,hallucinated,preamble,refusal,notes
full_chunk_0001,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,Accurate throughout; minor omission of Cyrillic/numeric anomaly lines; [unclear] gaps honest; item III renumbered IV correctly as V
full_chunk_0001,minimax-v2,minimax-m2.7,4,4.4,5,4.5,False,False,False,Good translation; 'glory of the Church and of France' slightly interpretive as France not explicit in Latin.
full_chunk_0002,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,Accurate overall; 'Franciae' rendered as 'France' not 'Germany or France'; 'Stauronefum' as 'Kreuznach' is reasonable gloss; minor lacunae marked [unclear]
full_chunk_0002,minimax,minimax-m2.7,3,3.5,3,3.7,False,False,False,"Translation incomplete, cuts off mid-sentence near end; garbled OCR Latin reasonably interpreted"
full_chunk_0002,minimax-v2,minimax-m2.7,1,1.7,2,3.5,True,False,True,Refusal falsely claiming Latin is steganographia spirit-list cipher; actual content is dedication letter with verses
full_chunk_0003,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,"Very faithful; OCR corruptions (Eumus/fumus, finistrae/sinistrae) correctly resolved; catchword/sig [unclear] markers appropriate"
full_chunk_0003,minimax,minimax-m2.7,2,2.8,3,3.7,False,False,False,"Indiction decima mistranslated as fourteenth regnal year; translation ends abruptly mid-sentence, omitting final works"
full_chunk_0003,minimax-v2,minimax-m2.7,3,3.5,3,3.7,False,False,False,Tuitiensem = Tholey not Echternach; 'laudes scriptorum manualium' split into two entries incorrectly
full_chunk_0004,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,"Accurate throughout; [unclear] flags honest gaps; 'Dumetis→Deventer' is reasonable conjecture, not invention"
full_chunk_0004,minimax,minimax-m2.7,5,4.3,5,4.5,False,False,False,Accurate translation; corrupted Latin rendered faithfully without emendation assumptions
full_chunk_0004,minimax-v2,minimax-m2.7,4,4.4,4,4.7,False,False,False,Translation is accurate overall; minor interpretive choices like 'realm' for 'region' and 'gold pieces' for 'lorenorum' are reasonable.
full_chunk_0005,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate throughout; [unclear] and [conjecture?] flags honest; 'broaduci' OCR artifact correctly flagged; minor Latin name variants acceptable
full_chunk_0005,minimax,minimax-m2.7,3,3.5,3,3.7,False,False,False,Translation appears truncated; stops mid-sentence while Latin continues. Minor term choices (cursus left as-is) acceptable.
full_chunk_0005,minimax-v2,minimax-m2.7,4,4.4,4,4.7,False,False,False,"Skips numbering 14th sequence; minor interpretive choices in Latin titles, but overall accurate and fluent"
full_chunk_0006,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,"Accurate overall; 'Symeren'→Simmern, 'Cautemus'→[Let us sing?] flagged honestly; minor OCR sequence gap (17th/18th missing) faithfully preserved"
full_chunk_0006,minimax,minimax-m2.7,4,4.4,4,4.7,False,False,False,Good translation overall; 'consulo' rendered as 'deign to learn' is questionable; ends mid-sentence matching source truncation
full_chunk_0006,minimax-v2,minimax-m2.7,4,4.4,4,4.7,False,False,False,Good overall accuracy; 'quantum' rendered as 'all the' is interpretive rather than literal; text cuts off mid-sentence
full_chunk_0007,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate throughout; 'Walter of Châtillon' correctly interprets 'Galteri Insulani'; all verses faithfully rendered.
full_chunk_0007,minimax,minimax-m2.7,3,3.5,3,3.7,False,False,False,Generally accurate but beginning is loose; some garbled Latin sections handled reasonably
full_chunk_0007,minimax-v2,minimax-m2.7,4,4.4,4,4.7,False,False,False,"Good overall translation of this OCR-damaged text; 'Aduum 19' rendered as 'Acts 19', Würzburg for Herbipolim, and handles difficult passages well"
full_chunk_0008,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,Accurate throughout; [unclear] markers honest; minor omissions in damaged passages; 'Paulus Orosius' split correctly handled
full_chunk_0008,minimax,minimax-m2.7,4,4.4,3,3.7,False,False,False,Generally faithful; some OCR artifacts in Latin make full verification difficult; translation ends mid-sentence where source cuts off
full_chunk_0008,minimax-v2,minimax-m2.7,4,4.4,3,3.7,False,False,False,Generally accurate translation; minor awkwardness in 'frequently pilgrims' and 'Gentleman' for 'Carui'; cuts off mid-sentence
full_chunk_0009,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,Minor omissions in dose/weights rendered as [unclear]; 'peccatore' oddly rendered; poem faithful; no invented content
full_chunk_0009,minimax,minimax-m2.7,3,3.5,3,3.7,False,False,False,Mistranslation: 'onze ans' rendered as 'eleven years had passed' instead of 'eleven years old'; ending cut off
full_chunk_0009,minimax-v2,minimax-m2.7,3,3.5,2,3.5,False,False,False,Overall meaning conveyed but awkward phrasing; 'voulu Laiffer em arriere' rendered illogically as wanting to leave portrait in background
full_chunk_0010,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate throughout; [purity?] and [unclear] honestly flagged; marginal notes rendered faithfully
full_chunk_0010,minimax,minimax-m2.7,3,3.5,3,3.7,True,True,False,Contains added meta-text [French commentary begins] and [page break] not in source; some interpretive renderings.
full_chunk_0010,minimax-v2,minimax-m2.7,3,3.5,3,3.7,False,False,False,"Translation is truncated mid-sentence; source OCR is garbled French, not Latin"
full_chunk_0011,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,"Accurate throughout; marginal notes, death year, all proper names, and [unclear] gap all correctly handled"
full_chunk_0011,minimax,minimax-m2.7,4,4.4,4,4.7,False,False,False,Good faithful translation; minor awkwardness in 'this madness of life' for vitce laiciuia
full_chunk_0011,minimax-v2,minimax-m2.7,4,4.4,4,4.7,False,False,False,Accurate translation; 'obscene songs' for 'cantilenas odiosas' is good; translation cuts off mid-sentence at Samael's start.
full_chunk_0012,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,Accurate throughout; minor OCR gaps bridged well; 'IMPTIRT ZIИАНОІ' title garble rendered as [unclear]; trailing sentence cut matches Latin truncation
full_chunk_0012,minimax,minimax-m2.7,4,4.4,3,3.7,False,False,False,Generally faithful but 'Thur' untranslated; minor spacing/OCR issues in source handled reasonably well
full_chunk_0012,minimax-v2,minimax-m2.7,4,4.4,3,3.7,False,False,False,Minor semantic drift: 'invaded his associates' misreads 'super socios' as associates rather than subjects
full_chunk_0013,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,"Accurate throughout; all dates, names, and details match Latin precisely; section numbering gap (III→V) preserved correctly"
full_chunk_0013,minimax,minimax-m2.7,2,2.8,4,4.7,False,False,False,"Translation skips entire opening section (golden age, Abraham, Prometheus, etc.) and ends mid-sentence"
full_chunk_0013,minimax-v2,minimax-m2.7,1,1.7,3,3.7,False,False,False,"Translation severely truncated, cuts off mid-sentence at 'adorn', missing vast majority of Latin text"
full_chunk_0013,codex-sweep,minimax-m2.7,3,3.5,3,3.7,False,False,False,Minor error: 'Minerus' should be 'Minerva'; some OCR artifacts left unresolved
full_chunk_0014,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,Mostly accurate; Latin '5892'/'5897' misread as 3892/3897 but translator used 3897 consistently; minor OCR variants handled well
full_chunk_0014,minimax,minimax-m2.7,4,4.4,4,4.7,False,False,False,"Good translation of corrupted OCR text; ends mid-sentence due to source cut-off, not translation error"
full_chunk_0014,minimax-v2,minimax-m2.7,4,4.4,4,4.7,False,False,False,"Accurate translation; biblical names, historical figures, and dates rendered correctly"
full_chunk_0015,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Non-textual placeholder; no Latin to evaluate against.
full_chunk_0015,minimax,minimax-m2.7,4,4.4,4,4.7,False,False,False,"Accurate translation with minor interpretive choices; 'Cunanna' for 'Cumae', 'Oriel' for 'Orihel' (angelic name), and 'archive' for 'archeryp' (possibly archē, 'beginning/principle')"
full_chunk_0015,minimax-v2,minimax-m2.7,2,2.8,4,4.7,False,False,False,Major error: '4260' in source became '426' in translation; also 'Teutonic Germans' for 'Teutonic' is imprecise
full_chunk_0016,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,"Accurate throughout; marginal labels, all named persons, dates, and Sibyl episode rendered correctly"
full_chunk_0016,minimax,minimax-m2.7,4,4.4,4,4.7,False,False,False,"Solid translation; OCR damage in source explains some uncertain readings, no significant errors"
full_chunk_0016,minimax-v2,minimax-m2.7,3,3.5,4,4.7,False,False,False,proeliis mistranslated as mixed; Saturni Oriphiel conflated; some added phrasing
full_chunk_0017,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,"Accurate throughout; repeated XVI header correct; bracketed [assumed] is honest conjecture, not hallucination"
full_chunk_0017,minimax,minimax-m2.7,2,2.8,2,3.5,False,True,False,"Translation cuts off mid-sentence at 'Archer'; '56—' and '[Würzburg]' are unresolved placeholders, not translation"
full_chunk_0017,minimax-v2,minimax-m2.7,4,4.4,4,4.7,False,False,False,Generally faithful translation with good sense; 'city was captured' for 'urbs capta' slightly interpretive but defensible
full_chunk_0018,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate and complete; [unclear] used honestly for lacuna; all names/dates/content match Latin
full_chunk_0018,minimax,minimax-m2.7,4,4.4,3,3.7,False,True,False,Mostly accurate translation; minor phrasing awkwardness; ends mid-sentence but Latin source also appears incomplete
full_chunk_0018,minimax-v2,minimax-m2.7,4,4.4,4,4.7,False,False,False,Generally accurate and fluent translation of the Trithemius chronicle; minor awkwardness in 'of Christians 1002' and some name variants.
full_chunk_0019,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Non-textual placeholder; no Latin to check against; honest acknowledgment of illegible source.
full_chunk_0019,minimax,minimax-m2.7,2,2.8,3,3.7,True,False,False,Translation repeats a large paragraph about Henry's election twice; likely a copy-paste error
full_chunk_0019,minimax-v2,minimax-m2.7,3,3.5,3,3.7,False,False,False,Translation truncated mid-sentence; awkward phrasing in plague and mendicant order sentences; OCR garbling in Latin source creates uncertain proper nouns
full_chunk_0020,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,[354?] conjecture correct (Latin has 454); 'Westphalians?' flagged; two unclear names in Frederick passage; otherwise accurate
full_chunk_0020,minimax,minimax-m2.7,3,3.5,3,3.7,False,False,False,Translation ends mid-sentence; 'Auitriz' mistranslated as 'Auvriz'; minor tense inconsistency with 'wage/waged'
full_chunk_0020,minimax-v2,minimax-m2.7,3,3.5,4,4.7,False,False,False,Mostly accurate translation of damaged/OCR source with numerous ellipsis gaps; handles unclear text reasonably
full_chunk_0021,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,"Non-textual placeholder; no Latin to assess, English correctly defers to source image."
full_chunk_0021,minimax,minimax-m2.7,3,3.5,3,3.7,False,False,False,Source Latin severely OCR-damaged; translation makes reasonable guesses but some passages are interpretive.
full_chunk_0021,minimax-v2,minimax-m2.7,3,3.5,4,4.7,False,False,False,"OCR corruption in Latin makes exact translation difficult; some interpretive renderings (e.g., 'vid eatur' as 'favorable') go beyond the text"
full_chunk_0022,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,Accurate throughout; bracketed conjectures/unclear markers honest; 'annis 56' implausible but flagged not asserted; 'Henry VIII' title added but flagged
full_chunk_0022,minimax,minimax-m2.7,3,3.5,3,3.7,True,False,False,Year count wrong: Latin 954 becomes 5954; some names approximated (Westphalia?) and text cuts off
full_chunk_0022,minimax-v2,minimax-m2.7,4,4.4,4,4.7,False,False,False,Faithful translation of complex medieval Latin with OCR artifacts; handles Esaromer/Antenor genealogy properly
full_chunk_0023,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate throughout; 'Ducatum de Spetis' rendered [Despot?] honestly flagged; Caesar/1508 date correctly noted; no invented content
full_chunk_0023,minimax,minimax-m2.7,3,3.5,4,4.7,False,False,False,"Translation ends prematurely, omitting several lines about Trojan name changes and Sicambri period"
full_chunk_0023,minimax-v2,minimax-m2.7,1,1.7,1,3.5,True,True,True,Refuses to translate legitimate Latin historical prose; invents false steganographia claim
full_chunk_0024,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,"Accurate throughout; 'Biberanorum' rendered as 'Bibras' family—plausible reading variant, not fabrication."
full_chunk_0024,minimax,minimax-m2.7,4,4.4,3,3.7,False,False,False,Generally accurate; some interpretive choices like 'in the name of the Romans' for praesul Romanorum
full_chunk_0024,minimax-v2,minimax-m2.7,1,1.7,1,3.5,True,False,True,Translation is a refusal claiming steganographia/cipher; Latin is actually a chronicle of Frankish origins and kings
full_chunk_0025,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,Accurate throughout; bracketed guesses for Westgali/Cinonotes/Valensis/Cauricis are honest; minor paraphrase in nonnulli/omnino clause
full_chunk_0025,minimax,minimax-m2.7,4,4.4,4,4.7,False,False,False,Translation largely accurate; translator reasonably fills gaps with context notes; minor interpretative choices at 'post fratres' and 'praeter ordinem'.
full_chunk_0025,minimax-v2,minimax-m2.7,4,4.4,4,4.7,False,False,False,Generally faithful translation of corrupted OCR Latin; truncated ending cuts mid-sentence.
full_chunk_0026,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,'Losanum' rendered as '[Toulouse?]' is honest conjecture; all else accurate and complete
full_chunk_0026,minimax,minimax-m2.7,3,3.5,2,3.5,True,False,False,"'Sedes' means settlements, not 'seats'; '[they should accept]' is unsupported conjecture; 'best seats' is an odd rendering of land grants"
