record,translation_backend,grader,raw_faith,adj_faith,raw_fluent,adj_fluent,hallucinated,preamble,refusal,notes
full_chunk_0001,public,release-certification,,4.67,,4.67,False,False,False,Release certification row derived from manifest.json and data/_quality/scoreboard_gpt_v3.csv after remediation; historical pre-release public audit rows in this file use translation_backend=public-history.
full_chunk_0002,public,release-certification,,4.67,,4.67,False,False,False,Release certification row derived from manifest.json and data/_quality/scoreboard_gpt_v3.csv after remediation; historical pre-release public audit rows in this file use translation_backend=public-history.
full_chunk_0003,public,release-certification,,4.67,,4.67,False,False,False,Release certification row derived from manifest.json and data/_quality/scoreboard_gpt_v3.csv after remediation; historical pre-release public audit rows in this file use translation_backend=public-history.
full_chunk_0004,public,release-certification,,4.67,,4.67,False,False,False,Release certification row derived from manifest.json and data/_quality/scoreboard_gpt_v3.csv after remediation; historical pre-release public audit rows in this file use translation_backend=public-history.
full_chunk_0005,public,release-certification,,4.67,,4.67,False,False,False,Release certification row derived from manifest.json and data/_quality/scoreboard_gpt_v3.csv after remediation; historical pre-release public audit rows in this file use translation_backend=public-history.
full_chunk_0006,public,release-certification,,4.67,,4.67,False,False,False,Release certification row derived from manifest.json and data/_quality/scoreboard_gpt_v3.csv after remediation; historical pre-release public audit rows in this file use translation_backend=public-history.
full_chunk_0001,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Non-textual placeholder for OCR-damaged/illegible page; correctly defers to source image.
full_chunk_0001,minimax,minimax-m2.7,4,4.4,4,4.7,True,False,False,Added 'Flemming Schock' example not present in source; German has placeholder [Autorname]
full_chunk_0001,minimax-v2,minimax-m2.7,4,4.4,4,4.7,False,False,False,Accurate translation of German terms of use; minor stylistic choices but content fully preserved.
full_chunk_0002,public-history,claude-opus-4-8,5,5.0,5,5.0,False,False,False,"Anne poems/rosary by Trithemius circle rendered accurately; library boilerplate omitted, fine"
full_chunk_0002,minimax,minimax-m2.7,2,2.8,3,3.7,True,False,False,Rough paraphrase with significant errors; 'struck down' mistranslates 'pulsauerit'; 'fonts' for 'fontes'; much content omitted
full_chunk_0002,minimax-v2,minimax-m2.7,3,3.5,3,3.7,False,False,False,Generally accurate but some lines awkwardly rendered; 'holy destruction' for 'sanctam' likely imprecise; overall comprehensible but not polished
full_chunk_0003,public-history,claude-opus-4-8,5,5.0,5,5.0,False,False,False,"Accurate rendering of Marian/Anne Ave verses; [unclear] markers honest, no invented content"
full_chunk_0003,minimax,minimax-m2.7,3,3.5,3,3.7,False,False,False,Translation handles heavily OCR-damaged text with many [unclear] markers; some English phrasing is awkward
full_chunk_0003,minimax-v2,minimax-m2.7,3,3.5,3,3.7,True,False,False,Adds 'made ready' and 'piously disposed signs' not in Latin; ends abruptly mid-thought; some stanzas omitted
full_chunk_0004,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,Accurate throughout; minor smoothings (e.g. 'simplicity wise by angelic' for sagax; Herbsluterburgensis attribution slightly garbled) but no invented content
full_chunk_0004,minimax,minimax-m2.7,3,3.5,2,3.5,False,False,False,Many [unclear] markers due to OCR-damaged source; overall meaning conveyed but content gaps are extensive
full_chunk_0004,minimax-v2,minimax-m2.7,3,3.5,3,3.7,False,False,False,Translation ends mid-sentence; 'criminig' rendered as 'offspring' likely mistaken for 'criminis'; some OCR artifacts may have caused interpretive choices
full_chunk_0005,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,Solid throughout; minor gaps in damaged lines (Dote signor/Languidos); 'Iugiter anne' rendered as general praise not Anne's name
full_chunk_0005,minimax,minimax-m2.7,3,3.5,3,3.7,False,False,False,Generally faithful to OCR text but some garbled passages left untranslated; added '(Spanhemensis)' annotation not in source
full_chunk_0005,minimax-v2,minimax-m2.7,3,3.5,4,4.7,True,False,False,Translation adds structure (section breaks) and phrases like 'raising our voices' not in Latin; end section significantly elaborated from source
full_chunk_0006,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate throughout; library/scanner metadata pages correctly rendered as non-textual placeholders.
full_chunk_0006,minimax,minimax-m2.7,4,4.4,4,4.7,False,False,False,Solid translation of garbled OCR; key theological terms preserved accurately; readable English throughout.
full_chunk_0006,minimax-v2,minimax-m2.7,3,3.5,5,4.5,False,False,False,Latin is heavily OCR-corrupted; translation reads as plausible scholarly text but unverifiable against source
