record,translation_backend,grader,raw_faith,adj_faith,raw_fluent,adj_fluent,hallucinated,preamble,refusal,notes
full_chunk_0001,public-history,opus-pairwise-adopt,5,5.0,5,5.0,False,False,False,churro-hi adopted via Opus pairwise; faith carried from prior Sonnet 4.71 (pending GLM/Sonnet re-grade)
full_chunk_0001,minimax,minimax-m2.7,2,2.8,4,4.7,False,False,False,"Translation incomplete; page 006 epistle content mostly omitted, only heading given"
full_chunk_0001,minimax-v2,minimax-m2.7,1,1.7,1,3.5,True,False,False,Severely garbled text mixing unparsed Latin fragments with broken English; contains nonsense like 'meliori焱 converseris' and 'bac vita'
full_chunk_0001,opus-sweep,minimax-m2.7,3,3.5,3,3.7,False,False,False,Multiple [unclear] markers where Latin text is damaged or illegible; ending appears truncated.
full_chunk_0001,opus-sweep,minimax-m2.7,3,3.5,4,4.7,False,False,False,"Mostly accurate but 6+ [unclear] markers and page 007 cuts off mid-sentence, indicating OCR damage gaps"
full_chunk_0002,public-history,opus-pairwise-adopt,5,5.0,5,5.0,False,False,False,churro-hi adopted via Opus pairwise; faith carried from prior Sonnet 4.71 (pending GLM/Sonnet re-grade)
full_chunk_0002,minimax,minimax-m2.7,4,4.4,3,3.7,False,True,False,Translation is interpretive; 'the following would have been a speech' added as preamble not in Latin
full_chunk_0002,minimax-v2,minimax-m2.7,2,2.8,2,3.5,False,False,False,Translation leaves Latin in English output ('exsurgentem'); garbled passages ('materiaco;' 'catingit micbt fatco2') indicate source corruption; awkward phrasing throughout
full_chunk_0002,opus-sweep,minimax-m2.7,4,4.4,4,4.7,False,False,False,Good translation handling corrupted OCR source; minor interpretive liberties with 'heretics' rendering
full_chunk_0002,opus-sweep,minimax-m2.7,4,4.4,5,4.5,False,True,False,Excellent translation with ellipses for omitted passages; reads naturally with scholarly polish
full_chunk_0003,public-history,opus-pairwise-adopt,5,5.0,5,5.0,False,False,False,churro-hi adopted via Opus pairwise; faith carried from prior Sonnet 4.71 (pending GLM/Sonnet re-grade)
