record,translation_backend,grader,raw_faith,adj_faith,raw_fluent,adj_fluent,hallucinated,preamble,refusal,notes
full_chunk_0001,public-history,opus-pairwise-adopt,5,5.0,5,5.0,False,False,False,churro-hi adopted via Opus pairwise; faith carried from prior Sonnet 4.58 (pending GLM/Sonnet re-grade)
full_chunk_0001,minimax,minimax-m2.7,1,1.7,1,3.5,False,False,False,No English translation provided; Latin text reproduced verbatim without translation to English
full_chunk_0001,claude-cli,minimax-m2.7,4,4.4,4,4.7,False,False,False,Handles OCR-damaged Latin well; blank and damaged pages correctly marked; table of contents and dedicatory letter accurately translated
full_chunk_0001,minimax-v2,minimax-m2.7,4,4.4,4,4.7,False,False,False,Accurate translation of table of contents and letter opening; OCR noise on pages 002-004 appropriately omitted
full_chunk_0002,public-history,opus-pairwise-adopt,5,5.0,5,5.0,False,False,False,churro-hi adopted via Opus pairwise; faith carried from prior Sonnet 4.58 (pending GLM/Sonnet re-grade)
full_chunk_0002,minimax,minimax-m2.7,1,1.7,2,3.5,True,True,False,Not a translation but commentary; preamble with external knowledge not in source; many Latin passages left untranslated or barely glossed
full_chunk_0002,claude-cli,minimax-m2.7,3,3.5,3,3.7,False,False,False,[unclear] placeholder inserted where OCR made Latin illegible; otherwise faithful to source
full_chunk_0002,minimax-v2,minimax-m2.7,3,3.5,3,3.7,False,False,False,Captures general sense but 'origin of the genitrix Anne' is awkward; some uncertain passages rendered as best guesses
full_chunk_0003,public-history,opus-pairwise-adopt,5,5.0,5,5.0,False,False,False,churro-hi adopted via Opus pairwise; faith carried from prior Sonnet 4.58 (pending GLM/Sonnet re-grade)
full_chunk_0003,minimax,minimax-m2.7,3,3.5,3,3.7,True,False,False,Translation makes reasonable sense of corrupted OCR text; 'in Israel' is unjustifiedÃ¢â‚¬â€original appears garbled
full_chunk_0003,claude-cli,minimax-m2.7,4,4.4,4,4.7,False,False,False,Generally accurate; 'imperium' rendered as 'empire' captures sense; minor punctuation/flow issues in places
full_chunk_0003,minimax-v2,minimax-m2.7,3,3.5,3,3.7,True,False,False," '[German or corrupted text]' note is misleading - garbled OCR, not German; 'commander' mistranslates 'imperatorem'"
full_chunk_0004,public-history,opus-pairwise-adopt,5,5.0,5,5.0,False,False,False,churro-hi adopted via Opus pairwise; faith carried from prior Sonnet 4.58 (pending GLM/Sonnet re-grade)
full_chunk_0004,minimax,minimax-m2.7,4,4.4,4,4.7,False,False,False,"Good overall translation; minor infidelities include 'crowd' for 'invidia' (envy) and 'critic' for 'censura' (censure), plus editorial page markers added"
full_chunk_0004,claude-cli,minimax-m2.7,4,4.4,4,4.7,False,False,False,Generally accurate; adds interpretive phrasing like 'in your mercy' and 'sits beside your throne'
full_chunk_0004,minimax-v2,minimax-m2.7,3,3.5,4,4.7,False,False,False,"Translation is largely accurate but Latin source is severely corrupted/OCR-damaged, some interpretive choices made"
full_chunk_0005,public-history,opus-pairwise-adopt,5,5.0,5,5.0,False,False,False,churro-hi adopted via Opus pairwise; faith carried from prior Sonnet 4.58 (pending GLM/Sonnet re-grade)
full_chunk_0005,minimax,minimax-m2.7,4,4.4,4,4.7,False,False,False,Reasonable translation of garbled OCR Latin; captures theological themes of Mary as intercessor and patron.
full_chunk_0005,claude-cli,minimax-m2.7,2,2.8,3,3.7,False,False,False,Several mistranslations; 'filiam non baberez tis' rendered as 'you would not have a daughter' appears incorrect
full_chunk_0005,minimax-v2,minimax-m2.7,3,3.5,3,3.7,False,False,False,Translation captures general sense but conflates Mary and Anne in places; repetitive phrasing on Page 012
full_chunk_0006,public-history,opus-pairwise-adopt,5,5.0,5,5.0,False,False,False,churro-hi adopted via Opus pairwise; faith carried from prior Sonnet 4.58 (pending GLM/Sonnet re-grade)
full_chunk_0006,minimax,minimax-m2.7,3,3.5,3,3.7,False,False,False,Ends mid-sentence; many [unclear] gaps from OCR; mostly accurate where Latin is legible
