record,translation_backend,grader,raw_faith,adj_faith,raw_fluent,adj_fluent,hallucinated,preamble,refusal,notes
full_chunk_0001,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,Solid rendering; 'aetae sua IV' (54th year) correctly inferred; minor omissions in epitaph/title but no inventions
full_chunk_0001,minimax,claude-opus-4-7,4,4.0,4,4.0,False,False,False,"Minor distortions in poem (e.g., 'non latuisse nimis' rendered loosely); title page omissions handled with [unclear]."
full_chunk_0001,claude-cli,minimax-m2.7,4,4.4,4,4.7,False,False,False,Accurate translation with appropriate [unclear] markers for OCR-damaged text; verse rendered well
full_chunk_0001,minimax-v2,minimax-m2.7,2,2.8,3,3.7,True,False,False,Page 005 has significant content loss and invented details; French/Italian terms partially left untranslated
full_chunk_0002,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,"Accurate throughout; all names, dates, titles, and biographical details correctly rendered."
full_chunk_0002,minimax,claude-opus-4-7,4,4.0,4,4.0,True,True,False,Starts with '# Translation' header (preamble); invents '1511' date and 'Heisenberg' surname; otherwise reasonable.
full_chunk_0002,claude-cli,minimax-m2.7,4,4.4,4,4.7,False,False,False,Good translation; OCR garbling handled reasonably; 'prayers' for 'orationes' slightly odd but defensible
full_chunk_0002,minimax-v2,minimax-m2.7,3,3.5,3,3.7,False,False,False,Translation is mostly adequate; 'supra quadringentefimum atque milefimum' rendered awkwardly as 'above the four hundredth and thousandth'
full_chunk_0003,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,"Accurate throughout; all titles, names, dates, quantities rendered correctly; Kreuznach/Cruciniacum correct"
full_chunk_0003,minimax,claude-opus-4-7,3,3.0,4,4.0,True,False,False,"Misreads dates (1282 for 1482), wrong abbot (Dalburg vs Colenhusen), invents 'erotema' for 'visitatione', and other identifications."
full_chunk_0003,claude-cli,minimax-m2.7,4,4.4,4,4.7,False,False,False,Generally accurate translation; [unclear] markers appropriately indicate problematic source text; minor editorial bracketed insertions.
full_chunk_0003,minimax-v2,minimax-m2.7,2,2.8,3,3.7,False,False,False,Year 1483 rendered as 'eighty-third above four hundred and one thousand' which is nonsensical; some works misattributed or miscounted
full_chunk_0004,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,Solid throughout; 'Jesu caelorum Regis' rendered loosely; 'Bingioru Duce' as 'Duke of the people of Bingen' is strained but not fabricated
full_chunk_0004,minimax,claude-opus-4-7,4,4.0,5,5.0,False,False,False,'septem intelligentiis moventibus orbes' mistranslated as 'seven spheres that move the intellects' (reversed).
full_chunk_0004,claude-cli,minimax-m2.7,4,4.4,4,4.7,False,False,False,"Accurate translation; '[three]' is an educated inference from OCR damage, otherwise faithful"
full_chunk_0004,minimax-v2,minimax-m2.7,4,4.4,4,4.7,False,False,False,Good overall; translation cuts off mid-word at 'sorc' missing final syllable. Minor: 'slender' for exilis loses emphasis on scantiness.
full_chunk_0005,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate throughout; 'Duraclusiams' rendered correctly; no invented content; 'Vice-' truncation handled cleanly
full_chunk_0005,minimax,claude-opus-4-7,3,3.0,3,3.0,True,False,False,Several errors: 'Cursus' mistranslated 'Curse'; 'octava' rendered 'fourth'; closing sentence inverts sense (dolere non possum = 'I cannot but grieve').
full_chunk_0005,claude-cli,minimax-m2.7,4,4.4,5,4.5,False,False,False,Minor: Steganographia heading appears to be editorial addition rather than translation of Latin
full_chunk_0005,minimax-v2,minimax-m2.7,4,4.4,4,4.7,False,False,False,Mostly accurate; ending 'devout posterity will see and marvel' loosely renders Latin 'cui' which may be OCR-derived
full_chunk_0006,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,"Complete and accurate rendering; all key arguments, examples, and names (Moses, Jerome, Greeks, Egyptians) faithfully translated."
