record,translation_backend,grader,raw_faith,adj_faith,raw_fluent,adj_fluent,hallucinated,preamble,refusal,notes
full_chunk_0001,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,"Accurate throughout; title, epigram, privilege clause all rendered faithfully; no unsupported assertions."
full_chunk_0001,minimax,minimax-m2.7,3,3.5,3,3.7,False,False,False,"Mostly accurate but ends abruptly mid-thought at 'most'; some OCR-source issues (Phorzheim, Asgo)"
full_chunk_0001,minimax-v2,minimax-m2.7,4,4.4,4,4.7,False,False,False,Good coverage; 'Poppelsdorf' for 'Peapolim' is interpretive; translation extends beyond visible Latin on p.006
full_chunk_0002,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Header + gloss line translated accurately; 'periculum' correctly rendered 'danger' throughout; [unclear] honest gap
full_chunk_0002,minimax,minimax-m2.7,3,3.5,4,4.7,False,False,False,Translation is largely accurate but 'vita' appears mistranslated; text seems OCR-damaged affecting some passages
full_chunk_0002,minimax-v2,minimax-m2.7,2,2.8,3,3.7,False,False,False,"Multiple translation errors: 'ein' should be 'duos' (two), not 'some'; 'nefcio quot' poorly rendered; truncated Latin at end without ellipsis; 'ab hoie' not translated"
full_chunk_0003,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate throughout; 'Landschadius' correctly rendered; final [unclear] honestly flags truncation at 'A ij' catchword
full_chunk_0003,minimax,minimax-m2.7,4,4.4,3,3.7,False,False,False,Translation captures sense well but omits some Latin segments like Septuaginta interpretation and Hebrew claim about flood
full_chunk_0003,minimax-v2,minimax-m2.7,5,4.3,4,4.7,False,False,False,"Excellent translation; captures chronology, names, and technical terms accurately; footnote on dating discrepancies preserved"
full_chunk_0004,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,Solid rendering; 'Ottonosco nemore' correctly as Odenwald; 'Conciliator' kept; minor smoothing of syntax throughout
full_chunk_0004,minimax,minimax-m2.7,3,3.5,4,4.7,False,False,False,"Numbers 354 and 374 appear corrupted; Latin has 354 years in order 7, 374 in order 9, but translation flips them"
full_chunk_0004,minimax-v2,minimax-m2.7,4,4.4,4,4.7,False,False,False,Accurate translation but cuts off mid-sentence at end; 'Nauitor' becomes 'Nereus' with no clear Latin justification
full_chunk_0005,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,"Accurate throughout; all dates, names, durations, and concepts rendered correctly."
full_chunk_0005,minimax,minimax-m2.7,4,4.4,4,4.7,False,False,False,"Translation accurate but ends abruptly mid-sentence; omits final Latin lines about Saul, David, Solomon, and Gabriel"
full_chunk_0005,minimax-v2,minimax-m2.7,5,4.3,4,4.7,False,False,False,Handles corrupted Latin well; restores legible classical names like Bacchus and Harmogyrus from garbled Dachus/omogyrus
full_chunk_0006,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,"Accurate throughout; all numbers, names, dates, and content match; [unclear] flag honest for truncated final sentence"
full_chunk_0006,minimax,minimax-m2.7,3,3.5,3,3.7,False,False,False,Ends prematurely; 'ab anfere' (by the goose) missing; some corrupted text not flagged
full_chunk_0006,minimax-v2,minimax-m2.7,4,4.4,4,4.7,False,False,False,Minor OCR artifact '3$' correctly resolved as 34; 'fex' read as six; mostly accurate with natural English prose.
full_chunk_0007,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate throughout; 'Lisanias' for 'lisania' plausible reading; [unclear] honestly flags truncated Latin ending
full_chunk_0007,minimax,minimax-m2.7,1,1.7,1,3.5,False,False,False,Not a translation but a partial Latin transliteration/abbreviation expansion leaving much untranslated
full_chunk_0007,minimax-v2,minimax-m2.7,3,3.5,4,4.7,False,False,False,OCR degradation in Latin source causes some garbled text; translation handles it reasonably but loses precision on dates and proper nouns
full_chunk_0008,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,"Accurate throughout; all names, dates, figures rendered correctly; [unclear] at truncated end is honest"
full_chunk_0008,minimax,minimax-m2.7,3,3.5,3,3.7,False,False,False,Source text severely corrupted; translator honestly marked [unclear] where parsing failed; translation captures general historical narrative
full_chunk_0008,minimax-v2,minimax-m2.7,3,3.5,3,3.7,False,False,False,Frequent [unclear] markers show difficulty with corrupted Latin; Mainz for Moo(tia is interpretive
full_chunk_0009,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,'son of David' (fili dauid regis) omitted; 'Ananiah' rendered vaguely; minor smoothing but no invented content
full_chunk_0009,minimax,minimax-m2.7,4,4.4,4,4.7,False,True,False,Accurate overall but cuts off mid-sentence; preamble '# Translation' should not appear
full_chunk_0009,minimax-v2,minimax-m2.7,4,4.4,3,3.7,False,False,False,Accurate overall; 'sedata' rendered as 'taken' slightly loose; 'Samael' and year calculations are from source text
full_chunk_0010,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,Accurate throughout; 'five months' renders 'mensibus quingã' correctly; [unclear] markers honest; no invented content
full_chunk_0010,minimax,minimax-m2.7,2,2.8,2,3.5,True,True,False,Massive preamble and commentary commentary throughout; translation incomplete and cuts off mid-sentence; 'Swabian League' for 'fuitensium' is likely incorrect interpretation
full_chunk_0010,minimax-v2,minimax-m2.7,4,4.4,4,4.7,False,False,False,Generally accurate; 'near Worms' should be 'near Göllheim'; some minor OCR artifacts in place names
