record,translation_backend,grader,raw_faith,adj_faith,raw_fluent,adj_fluent,hallucinated,preamble,refusal,notes
full_chunk_0001,public-history,opus-pairwise-adopt,5,5.0,5,5.0,False,False,False,churro-hi adopted via Opus pairwise; faith carried from prior Sonnet 4.78 (pending GLM/Sonnet re-grade)
full_chunk_0001,minimax,minimax-m2.7,3,3.5,4,4.7,False,True,False,Translation is mostly good but 'prima' (first) was rendered as 'twentieth' day in English without clear source support
full_chunk_0001,claude-cli,minimax-m2.7,4,4.4,4,4.7,False,False,False,Appropriate handling of OCR damage with placeholders; translation is readable and faithful though some interpretive liberties taken on damaged text.
full_chunk_0001,minimax-v2,minimax-m2.7,3,3.5,3,3.7,False,False,False,Appropriate handling of severely OCR-damaged source; marks unclear passages honestly
full_chunk_0002,public-history,opus-pairwise-adopt,5,5.0,5,5.0,False,False,False,churro-hi adopted via Opus pairwise; faith carried from prior Sonnet 4.78 (pending GLM/Sonnet re-grade)
full_chunk_0002,minimax,minimax-m2.7,1,1.7,3,3.7,True,False,False,"Translation is entirely fabricated; source discusses Jerusalem/Jericho, priests, justice sold, Pope/bishops, not Hydriel water spirits at all"
full_chunk_0002,claude-cli,minimax-m2.7,4,4.4,5,4.5,False,False,False,Solid translation of Good Samaritan allegory; reads smoothly but OCR damage makes some word-level verification difficult.
full_chunk_0002,minimax-v2,minimax-m2.7,3,3.5,4,4.7,True,False,False,Translation expands Latin significantly near end; 'dens of thieves' and final exclamation appear interpretive rather than literal
full_chunk_0003,public-history,opus-pairwise-adopt,5,5.0,5,5.0,False,False,False,churro-hi adopted via Opus pairwise; faith carried from prior Sonnet 4.78 (pending GLM/Sonnet re-grade)
full_chunk_0003,minimax,minimax-m2.7,3,3.5,3,3.7,False,True,False,Translation honestly acknowledges OCR damage and marks unclear passages with brackets; many ellipses indicate missing content
full_chunk_0003,claude-cli,minimax-m2.7,3,3.5,3,3.7,False,False,False,OCR corruption causes many unclear passages; translation attempts meaning but misses significant content
full_chunk_0003,minimax-v2,minimax-m2.7,3,3.5,3,3.7,False,False,False,Translation captures general sense but has multiple [unclear] markers and truncates mid-sentence at end
full_chunk_0004,public-history,opus-pairwise-adopt,5,5.0,5,5.0,False,False,False,churro-hi adopted via Opus pairwise; faith carried from prior Sonnet 4.78 (pending GLM/Sonnet re-grade)
full_chunk_0004,minimax,minimax-m2.7,2,2.8,3,3.7,False,False,False,"Translation is heavily truncated, missing entire sections on monks, laypeople resisting clergy, and stripping tithes/holdings; key message about laypeople opposing bishops is absent"
full_chunk_0004,claude-cli,minimax-m2.7,4,4.4,4,4.7,False,False,False,"Good sense translation of corrupted OCR; captures meaning well, uses [unclear] where needed"
full_chunk_0004,minimax-v2,minimax-m2.7,1,1.7,3,3.7,True,True,False,"Not a translation—only OCR analysis with speculative reconstructions, no actual Latin-to-English rendering"
full_chunk_0005,public-history,opus-pairwise-adopt,5,5.0,5,5.0,False,False,False,churro-hi adopted via Opus pairwise; faith carried from prior Sonnet 4.78 (pending GLM/Sonnet re-grade)
full_chunk_0005,minimax,minimax-m2.7,3,3.5,4,4.7,True,False,False,Translation ends mid-sentence; 'If you had known' is invented; some OCR garbles guessed freely
full_chunk_0005,claude-cli,minimax-m2.7,3,3.5,3,3.7,False,False,False,Severe OCR corruption makes full accuracy impossible; translation sensibly marks [unclear] sections and skips some passages
full_chunk_0005,minimax-v2,minimax-m2.7,1,1.7,1,3.5,True,True,False,"Not a translation; output is OCR processing commentary and methodology log, not English prose translation of the Latin"
full_chunk_0006,public-history,opus-pairwise-adopt,5,5.0,5,5.0,False,False,False,churro-hi adopted via Opus pairwise; faith carried from prior Sonnet 4.78 (pending GLM/Sonnet re-grade)
full_chunk_0006,minimax,minimax-m2.7,3,3.5,3,3.7,False,False,False,Translation captures general sense but many phrases are uncertain guesses due to severely corrupted Latin source text
full_chunk_0006,claude-cli,minimax-m2.7,3,3.5,4,4.7,False,False,False,Translation captures general meaning well but many specific renderings are interpretive guesses due to severely corrupted OCR Latin source
full_chunk_0006,minimax-v2,minimax-m2.7,2,2.8,3,3.7,True,False,False,Significant errors: 'pellibus caprinis' (goatskins) rendered as 'most distinguished'; 'Benedicti' likely read as 'Bacchus'; multiple garbled readings
full_chunk_0007,public-history,opus-pairwise-adopt,5,5.0,5,5.0,False,False,False,churro-hi adopted via Opus pairwise; faith carried from prior Sonnet 4.78 (pending GLM/Sonnet re-grade)
full_chunk_0007,minimax,minimax-m2.7,3,3.5,3,3.7,False,False,False,Translation is generally accurate but many proper names are incomplete or uncertain due to source corruption
full_chunk_0007,claude-cli,minimax-m2.7,2,2.8,3,3.7,False,False,False,Rough translation of corrupted manuscript with many [unclear] gaps; captures general sense but misses details
