record,translation_backend,grader,raw_faith,adj_faith,raw_fluent,adj_fluent,hallucinated,preamble,refusal,notes
full_chunk_0001,public-history,opus-pairwise-adopt,5,5.0,5,5.0,False,False,False,churro-hi adopted via Opus pairwise; faith carried from prior Sonnet 4.92 (pending GLM/Sonnet re-grade)
full_chunk_0001,minimax,minimax-m2.7,2,2.8,3,3.7,False,True,False,Translation adds theological interpretations and philosophical expansions not directly in Latin; ends mid-sentence
full_chunk_0001,minimax-v2,minimax-m2.7,4,4.4,5,4.5,False,False,False,Title 'Prayer of the Lord of Sponheim' added; rest accurate and well-rendered
full_chunk_0002,public-history,opus-pairwise-adopt,5,5.0,5,5.0,False,False,False,churro-hi adopted via Opus pairwise; faith carried from prior Sonnet 4.92 (pending GLM/Sonnet re-grade)
full_chunk_0002,minimax,minimax-m2.7,4,4.4,4,4.7,False,False,False,Sound translation of devotional Latin; minor interpretive expansions but substance accurately conveyed
full_chunk_0002,minimax-v2,minimax-m2.7,3,3.5,4,4.7,False,False,False,Translation ends mid-sentence; significant Latin content about Christ's passion and battle not translated
full_chunk_0003,public-history,opus-pairwise-adopt,5,5.0,5,5.0,False,False,False,churro-hi adopted via Opus pairwise; faith carried from prior Sonnet 4.92 (pending GLM/Sonnet re-grade)
full_chunk_0003,minimax,minimax-m2.7,4,4.4,4,4.7,False,False,False,Good overall fidelity to the Latin despite OCR corruption; minor awkwardness in 'no less than what was received by me'
full_chunk_0003,minimax-v2,minimax-m2.7,4,4.4,4,4.7,False,False,False,Solid translation; slight interpretive choices like 'idleness' for 'octofue' but overall accurate
full_chunk_0004,public-history,opus-pairwise-adopt,5,5.0,5,5.0,False,False,False,churro-hi adopted via Opus pairwise; faith carried from prior Sonnet 4.92 (pending GLM/Sonnet re-grade)
full_chunk_0004,minimax,minimax-m2.7,4,4.4,3,3.7,False,False,False,Generally accurate but some interpretive choices; awkward phrasing in 'require no lengthy mode for purgation of passions'
full_chunk_0004,minimax-v2,minimax-m2.7,3,3.5,3,3.7,False,False,False,Generally accurate but rough due to corrupted Latin source; some renderings like 'heart that has been kindled' are interpretive
full_chunk_0005,public-history,opus-pairwise-adopt,5,5.0,5,5.0,False,False,False,churro-hi adopted via Opus pairwise; faith carried from prior Sonnet 4.92 (pending GLM/Sonnet re-grade)
full_chunk_0005,minimax,minimax-m2.7,4,4.4,3,3.7,False,False,False,"Core content captured but some imprecision: 'conceals' for subito rather than transforms, 'unoriginated' for ortgtnema is odd, 'enemy of malice' omits 'envious'."
full_chunk_0005,minimax-v2,minimax-m2.7,4,4.4,4,4.7,False,False,False,Translation cuts off mid-word at end; bracketed omissions mark damaged Latin passage
full_chunk_0005,minimax-v2,minimax-m2.7,3,3.5,4,4.7,False,False,False,"Translation ends abruptly mid-sentence, omitting final clause about rising above imagination"
full_chunk_0006,public-history,opus-pairwise-adopt,5,5.0,5,5.0,False,False,False,churro-hi adopted via Opus pairwise; faith carried from prior Sonnet 4.92 (pending GLM/Sonnet re-grade)
full_chunk_0006,minimax,minimax-m2.7,3,3.5,3,3.7,False,False,False,Text ends mid-word; 'cows' likely misread for cargas/burdens; 'chief action' unidiomatic
full_chunk_0006,minimax-v2,minimax-m2.7,4,4.4,3,3.7,False,False,False,Translation cuts off mid-word at end; minor inaccuracies in phrase rendering
full_chunk_0007,public-history,opus-pairwise-adopt,5,5.0,5,5.0,False,False,False,churro-hi adopted via Opus pairwise; faith carried from prior Sonnet 4.92 (pending GLM/Sonnet re-grade)
full_chunk_0007,minimax,minimax-m2.7,2,2.8,3,3.7,False,False,False,"Severe incompleteness: most content marked [unclear] or missing, covers fraction of source"
full_chunk_0007,minimax-v2,minimax-m2.7,3,3.5,3,3.7,False,False,False,Handles corrupted Latin reasonably but 'without burning contrition' may be mistranslation of 'compunctione'
full_chunk_0008,public-history,opus-pairwise-adopt,5,5.0,5,5.0,False,False,False,churro-hi adopted via Opus pairwise; faith carried from prior Sonnet 4.92 (pending GLM/Sonnet re-grade)
full_chunk_0008,minimax,minimax-m2.7,3,3.5,3,3.7,False,False,False,"Questionable readings: 'magia devotione' → 'magical devotion', 'cere' → 'wax' feels forced; 'rit' rendered as 'Here rests' is unclear."
full_chunk_0008,minimax-v2,minimax-m2.7,4,4.4,4,4.7,False,False,False,Generally accurate but interpolates 'among the condemned' from 'infertozibs'; adds 'kind of vanity' not in Latin
full_chunk_0009,public-history,opus-pairwise-adopt,5,5.0,5,5.0,False,False,False,churro-hi adopted via Opus pairwise; faith carried from prior Sonnet 4.92 (pending GLM/Sonnet re-grade)
full_chunk_0009,minimax,minimax-m2.7,1,1.7,4,4.7,True,False,False,"Massive truncation: Latin is 10+ paragraphs about martyrs, divine love, suffering for Christ; translation shows only 2 brief sentences about desire to be with God"
full_chunk_0009,minimax-v2,minimax-m2.7,3,3.5,3,3.7,True,False,False,Contains Chinese characters '炽热' not present in Latin; translation truncates mid-sentence at end
full_chunk_0009,opus-sweep,minimax-m2.7,3,3.5,3,3.7,False,False,False,Generally accurate but misses some Latin nuances; [unclear] markers appropriately mark difficult passages
full_chunk_0009,opus-sweep,minimax-m2.7,3,3.5,4,4.7,False,False,False,Reconstructed garbled OCR Latin reasonably; brackets show honest uncertainty on unparseable passages
full_chunk_0010,public-history,opus-pairwise-adopt,5,5.0,5,5.0,False,False,False,churro-hi adopted via Opus pairwise; faith carried from prior Sonnet 4.92 (pending GLM/Sonnet re-grade)
full_chunk_0010,minimax,minimax-m2.7,4,4.4,3,3.7,False,False,False,Good handling of OCR-corrupted Latin; some interpretive choices acceptable; ends abruptly matching source truncation
full_chunk_0010,minimax-v2,minimax-m2.7,3,3.5,3,3.7,False,False,False,Translation mostly accurate but 'eighth grade' for 'octauo' and 'hospitality' for 'anime' are questionable; text cuts off mid-sentence
full_chunk_0011,public-history,opus-pairwise-adopt,5,5.0,5,5.0,False,False,False,churro-hi adopted via Opus pairwise; faith carried from prior Sonnet 4.92 (pending GLM/Sonnet re-grade)
