record,translation_backend,grader,raw_faith,adj_faith,raw_fluent,adj_fluent,hallucinated,preamble,refusal,notes
full_chunk_0001,public-history,claude-opus-4-7,5,5.0,5,5.0,False,False,False,Accurate throughout; OCR gibberish flagged correctly; [unclear] used honestly; 1890 for MDCCCXC correct
full_chunk_0001,minimax,minimax-m2.7,5,4.3,5,4.5,False,False,False,Accurate translation of title pages and index; Latin abbreviations expanded correctly; table format appropriate.
full_chunk_0001,minimax,claude-opus-4-7,4,4.0,4,4.0,False,False,False,Accurate rendering; MDCCCIIC misread as 1803 (should be 1798); truncated mid-index but faithful to source.
full_chunk_0001,minimax-v2,minimax-m2.7,1,1.7,1,3.5,True,True,True,False claim: Latin is 'steganographia spirit-list' but it's clearly a title page and index for Trithemius's monastic exhortations.
full_chunk_0002,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate table of contents translation; [unclear] marker on ellipsis field is honest; fol. additions match Latin folio numbers
full_chunk_0002,minimax,minimax-m2.7,4,4.4,4,4.7,False,False,False,Accurate translation; minor issue with 'Sigeberti' rendered as 'Sigert' and truncated ending
full_chunk_0002,minimax-v2,minimax-m2.7,1,1.7,1,3.5,False,True,True,Refusal to translate; mischaracterizes Latin as cipher/spirit-list when it's a TOC and author biography
full_chunk_0003,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate throughout; 'cel.' correctly rendered as 'heaven' is a minor conjectural expansion but not hallucination
full_chunk_0003,minimax,minimax-m2.7,4,4.4,3,3.7,False,False,False,Translation cuts off mid-word at end; overall accurate but last sentence incomplete
full_chunk_0003,minimax-v2,minimax-m2.7,4,4.4,4,4.7,False,False,False,Generally accurate translation with natural English; slight imprecision in 'taedio affecti' (weariness vs boredom).
full_chunk_0004,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,"Complete and accurate; all names, dates, content faithfully rendered; no additions beyond the Latin."
full_chunk_0004,minimax,minimax-m2.7,4,4.4,4,4.7,False,False,False,Very accurate overall; minor interpretive expansion in final sentence with 'in much patience and humility' added
full_chunk_0004,minimax-v2,minimax-m2.7,5,4.3,5,4.5,False,False,False,"Excellent translation; theological terminology precise, rendering of 'infirma nostra portavit' and 'exinanivit' as 'infirmities' and 'emptied himself' is accurate"
full_chunk_0005,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,"Accurate and complete rendering; all key phrases, citations, and theological content faithfully translated"
full_chunk_0005,minimax,minimax-m2.7,4,4.4,5,4.5,False,False,False,Good overall; minor note: 'suis servis' rendered as 'his servants' loses the emphatic 'his own' possessive
full_chunk_0005,minimax-v2,minimax-m2.7,4,4.4,4,4.7,False,False,False,Generally accurate; 'reatibus' rendered narrowly as 'guilt'; ends mid-word 'praec' cut off in translation
full_chunk_0006,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate throughout; 'septennio' (7 yrs) correctly rendered; [unclear] markers honest; minor paraphrase within bounds
full_chunk_0006,minimax,minimax-m2.7,4,4.4,4,4.7,False,False,False,"Translation ends abruptly mid-sentence after 'Be always mindful, therefore, of what the rule commands you'"
full_chunk_0006,minimax-v2,minimax-m2.7,4,4.4,4,4.7,False,False,False,Accurate translation with 'indumentum' as 'garment' slightly atypical but defensible; minor awkwardness in 'nature of the Christian name' for 'ratio nominis christiani'.
full_chunk_0007,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,"Complete, accurate rendering; minor OCR variants (vetrorum/vestrum) correctly resolved; no additions or omissions"
full_chunk_0007,minimax,minimax-m2.7,4,4.4,4,4.7,False,False,False,Solid translation; chapter reference 'Mau. xg' reasonably supplied as 'Matthew 19'; minor u/v rendering differences
full_chunk_0007,minimax-v2,minimax-m2.7,4,4.4,4,4.7,False,False,False,Accurate translation; biblical citations properly rendered; minor spacing in Latin OCR does not affect meaning
full_chunk_0008,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Complete and accurate; 'absccondita' typo in Latin preserved correctly; 'Christophilus' retained without gloss
full_chunk_0008,minimax,minimax-m2.7,4,4.4,3,3.7,False,False,False,Mostly accurate; 'feathers of sloth' is an unusual but defensible metaphor for ignavia; minor awkwardness in 'nor does the office distinguish the vow'
full_chunk_0008,minimax-v2,minimax-m2.7,4,4.4,4,4.7,False,False,False,'professores' rendered as 'professors' reads awkwardly in monastic context; 'professors of' or 'those who profess' would be more natural
full_chunk_0009,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,"Complete, accurate translation; [unclear] at end is honest gap marker, not fabrication"
full_chunk_0009,minimax,minimax-m2.7,2,2.8,2,3.5,True,True,False,"Translation bloated with preamble, meta-commentary, and discussion section before actual text; ends mid-thought with 'genera' fragment"
full_chunk_0009,minimax-v2,minimax-m2.7,5,4.3,5,4.5,False,False,False,"Highly accurate translation with natural English phrasing; 'militia' rendered well as 'warfare', 'votis' as 'vow', 'armatura' as 'armor'"
full_chunk_0010,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,"Accurate rendering throughout; Homilia II heading/page num correctly treated as structural, not content"
full_chunk_0010,minimax,minimax-m2.7,4,4.4,4,4.7,False,False,False,Good overall translation; minor omissions like 'Evangelio' and incomplete ending are acceptable captures of source
full_chunk_0010,minimax-v2,minimax-m2.7,4,4.4,4,4.7,False,False,False,Solid translation; minor interpretive choices like 'submit myself' for suseptibilem iniuriarum are acceptable.
