record,translation_backend,grader,raw_faith,adj_faith,raw_fluent,adj_fluent,hallucinated,preamble,refusal,notes
full_chunk_0001,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Cipher/star-grid page; non-textual placeholder is appropriate and faithful.
full_chunk_0002,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate throughout; printer name bracketed as conjecture; gaps/illegible marked honestly; no invented content
full_chunk_0003,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate throughout; trailing [unclear] correctly marks truncated 'peruerse'; Philip/Bavaria titles precise
full_chunk_0004,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate throughout; [unclear] marks OCR gap at opening and Trinitarian lacuna; no invented content
full_chunk_0005,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,"Accurate throughout; spirit names, chapter heading, preface warnings all faithfully rendered; no invented content"
full_chunk_0006,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,"Accurate throughout; spirit-conjurations, German vernacular, and Latin prayer all faithfully rendered; [unclear] marker honest"
full_chunk_0007,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,Accurate throughout; minor gaps in conspectum/secreta clause (unclear markers honest); table and prayer rendered well
full_chunk_0008,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate and complete; [unclear] marks damaged gap honestly; conjurations transcribed faithfully
full_chunk_0009,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Faithful throughout; OCR artefacts handled with [unclear] markers; no hallucinated content.
full_chunk_0010,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,"Accurate throughout; table/cipher data, angel names, and conjuration phrase rendered as-is without invention."
full_chunk_0011,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,"Complete, accurate rendering; 'Sinesis' for 'Synesis' trivial variant; [unclear] gaps honest; A.M.D.I=1501 correctly inferred"
full_chunk_0012,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,"Non-textual placeholder for fully illegible OCR source; no claims made, no hallucination possible."
full_chunk_0013,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate throughout; 'traditiones castrorum' rendered 'surrender of camps' vs 'traditions/plans of camps' but defensible; all names/numbers match
full_chunk_0014,public-history,claude-opus-4-8,5,5.0,5,5.0,False,False,False,"Accurate; date 1520 correct, cipher/table preserved, unclear marks honest"
full_chunk_0015,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,Accurate overall; 'Arcifat' rendered 'Arcisat'; some OCR gaps handled with [unclear]; minor omissions in damaged text
full_chunk_0016,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,Solid throughout; 'rector' rendered 'ruler' fine; colophon date M.D.=1500 reasonable conjecture; minor omissions in counsel passage marked [unclear]
full_chunk_0017,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,"Accurate throughout; cipher lists, conjuration strings, and [unclear] gap markers handled correctly"
full_chunk_0018,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,Mostly accurate; 'elixior' left vague; 'consistima' rendered as 'chaste'; M.D. correctly read as 1500; minor gaps handled honestly
full_chunk_0019,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,"Accurate throughout; prose, chapter heading, table entries all faithfully rendered; 'Udiel' vs 'Vdiel' is orthographic only"
full_chunk_0020,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,Mostly accurate; 'Aroyz Basiel' split as two names; 'gloriojus' rendered 'more glorious'; minor gap in 'caue ne terrís' phrase marked [unclear]
full_chunk_0021,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,Accurate throughout; 'generous?' and '[unclear]' bracketed honestly; 'exhibeas' slightly softened but defensible; minor omissions in final clause
full_chunk_0022,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,Accurate throughout; 'dictit' left as [unclear]; minor omission 'aliꝰ ad principem' rendered loosely; ending 'destum' cut off faithfully
full_chunk_0023,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Latin is entirely unreadable OCR; English placeholder correctly identifies illegible source. No claims made.
full_chunk_0024,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate and complete throughout; 'metamici' rendered as 'friend of mine' is reasonable; no fabrications
full_chunk_0025,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate throughout; [unclear] markers honest; 'futuro-rum' omission noted; M.D. rendered as 1500 reasonable conjecture
full_chunk_0026,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,Mostly accurate; 'auflare'→[unclear] honest; 'Spanheim'→'Sponheim' minor; 'M.D.'→'1500' reasonable conjecture
full_chunk_0027,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,"Accurate throughout; cipher string, prose, and dedication letter all faithfully rendered; no invented content."
full_chunk_0028,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,Mostly accurate; 'quae nulli hominū sunt manifestanda in aeternum' rendered 'to be made manifest to no men forever' inverts meaning slightly; minor omissions tolerable
full_chunk_0029,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,"Accurate throughout; minor Latin contractions expanded cleanly; 'Spanheimensis'→'Sponheim' is standard Anglicisation, not hallucination"
full_chunk_0030,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate throughout; damaged/gap sections rendered as [unclear]; table and conjuration transcribed verbatim.
full_chunk_0031,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,Solid rendering; 'habeant' clause slightly loose; damaged/unclear page honestly flagged; no invented content
full_chunk_0032,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate throughout; conjecture flags on 'reuoluendi' render honestly; M.D.=1500 correctly expanded; cipher string preserved verbatim
full_chunk_0033,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,Accurate throughout; '600000000000' digits vary slightly vs Latin '600000oooooo'; 'circumcellionem' rendered 'vagabond' (loose but defensible)
full_chunk_0034,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Readable Latin faithfully rendered; illegible/faded blocks marked [unclear]; marginal note on R and generalis correctly translated
full_chunk_0035,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,"Accurate throughout; [unclear] and [1987?] are honest flags; date M.D.15.Cal.Apr.6 correctly rendered 1515, 6th before Kalends April"
full_chunk_0036,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,Accurate throughout; minor lacunae marked [unclear]; 'negligentissimum' passage garbled in Latin too; faithful rendering
full_chunk_0037,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,"Accurate throughout; [unclear] marker for illegible gap is appropriate; all names, numbers, conjurations faithfully rendered"
full_chunk_0038,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,[unclear] placeholders honest; '1S150' rendered literally (ambiguous in source); minor omissions in penitence passage but no fabrications
full_chunk_0039,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate throughout; [unclear] marks genuine lacuna in Latin 'Cum per istos principe operationem tuam'
full_chunk_0040,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,"Accurate throughout; cipher string, conjuration, secret example, and sermon passage all faithfully rendered; '?' block omitted as placeholder"
