record,translation_backend,grader,raw_faith,adj_faith,raw_fluent,adj_fluent,hallucinated,preamble,refusal,notes
full_chunk_0001,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Non-textual placeholder for illegible/OCR-damaged page; no assertion made.
full_chunk_0001,minimax,claude-opus-4-7,5,5.0,5,5.0,False,False,False,"Source is German licensing boilerplate, not Latin; correctly identified as out of scope."
full_chunk_0001,claude-cli,minimax-m2.7,4,4.4,4,4.7,False,False,False,Ends abruptly mid-sentence; HTML entity rendering is unconventional but not incorrect
full_chunk_0001,minimax-v2,minimax-m2.7,4,4.4,3,3.7,False,False,False,Garbled HTML tags and corrupted strings in source were reproduced as-is; final example truncated
full_chunk_0002,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,Title page & German chapter rendered accurately; ??? block → [unclear] honest; blank page silently omitted (non-textual)
full_chunk_0002,minimax,claude-opus-4-7,4,4.0,4,4.0,False,False,False,Minor distortion: 'absentibus aperiendi' (revealing to absent persons) rendered loosely; some elisions marked.
full_chunk_0002,claude-cli,minimax-m2.7,5,4.3,5,4.5,False,False,False,"Accurate translation of title page, reader's note, and Book I opening; handles OCR garbling well; correctly notes pages with no Latin text."
full_chunk_0002,minimax-v2,minimax-m2.7,1,1.7,1,3.5,False,True,True,No translation provided; model refuses and misidentifies pages 007-009 as spirit-name list when it's title/dedication/preface
full_chunk_0003,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,Prose faithfully rendered; number table & library stamp treated as non-textual; 'narraverunt' sensibly marked [unclear]; no invented content
full_chunk_0003,minimax,claude-opus-4-7,4,4.0,4,4.0,False,False,False,Mostly faithful paraphrase; some OCR-damaged passages smoothed over and a few clauses loosely rendered.
full_chunk_0003,claude-cli,minimax-m2.7,4,4.4,4,4.7,False,False,False,Translation is mostly faithful; handles unclear Latin well. Minor creative interpretations where source is corrupted.
full_chunk_0003,minimax-v2,minimax-m2.7,2,2.8,2,3.5,True,False,False,Many OCR garbles in source compound judgment; translation itself invents 'sagacious arrival' for 'errationum ferie' and 'art' for 'gentem'
full_chunk_0004,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,"'semper inuictissimi' rendered 'always my most unwilling [unclear]'—inuictissimus=unconquered, not unwilling; rest accurate"
full_chunk_0004,minimax,claude-opus-4-7,3,3.0,3,3.0,False,False,False,Captures general sense of Trithemius preface but distorts several clauses; OCR gaps handled by paraphrase rather than [unclear].
full_chunk_0004,claude-cli,minimax-m2.7,3,3.5,4,4.7,False,False,False,OCR damage in source complicates fidelity; translation largely accurate but some interpretive choices
full_chunk_0004,minimax-v2,minimax-m2.7,3,3.5,3,3.7,False,False,False,Source heavily OCR-damaged; translation captures gist but with paraphrase and some gaps in coverage
full_chunk_0005,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,Faithful rendering of a corrupted OCR passage; [unclear] markers honest; no invented content
full_chunk_0005,minimax,claude-opus-4-7,4,4.0,5,5.0,False,False,False,Minor distortion: 'credo' rendered as future 'I will believe'; 'obtusa ingenia vestra reprobate' slightly inverted.
full_chunk_0005,claude-cli,minimax-m2.7,2,2.8,3,3.7,True,False,False,Header 'WHOSE CLASS AND OPERATION IS GOVERNED BY THE CHIEF SPIRIT PAMER' is not in source and may be hallucinated; garbled OCR Latin transliterated rather than marked unclear
full_chunk_0005,minimax-v2,minimax-m2.7,4,4.4,5,4.5,False,False,False,"Solid translation; fluently rendered, handles OCR-corrupted source reasonably, technical terms like synthemata rendered as treatises appropriately"
full_chunk_0006,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,Mostly accurate; 'tantala be' rendered freely as 'so great a stain'; minor phrase-level gaps but no fabrications
full_chunk_0006,minimax,claude-opus-4-7,4,4.0,4,4.0,False,False,False,"Good rendering; skips German block as paraphrase, minor liberties in damaged prayer but no invented content."
full_chunk_0006,claude-cli,minimax-m2.7,4,4.4,4,4.7,False,False,False,Good overall accuracy; damaged German section handled appropriately with bracketed summary rather than fabricated text
full_chunk_0006,minimax-v2,minimax-m2.7,4,4.4,4,4.7,False,False,False,Accurately translates the Steganographia instructions; magical names preserved as-is from garbled source
full_chunk_0007,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Complete and accurate rendering; [unclear] markers at lacunae; spirit names/Latin terms preserved exactly
full_chunk_0007,minimax,claude-opus-4-7,4,4.0,4,4.0,False,False,False,"Minor distortions (e.g., 'spent Your Majesty through sin' for 'offended'); table partly collapsed but reasonable given OCR noise."
full_chunk_0007,claude-cli,minimax-m2.7,3,3.5,4,4.7,False,False,False,Table abruptly ends at South entry; opening prayer loses clear Jesus reference from Latin
full_chunk_0007,minimax-v2,minimax-m2.7,4,4.4,3,3.7,False,False,False,Translation captures sense well; OCR-riddled Latin handled competently; table content accurate
full_chunk_0008,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,"Accurate throughout; cipher strings, German vernacular, Latin prayer all rendered faithfully; [unclear] gap noted honestly"
full_chunk_0008,minimax,claude-opus-4-7,4,4.0,5,5.0,False,False,False,Translation cuts off mid-second-conjuration; final portion of chapter and closing remarks omitted.
full_chunk_0008,claude-cli,minimax-m2.7,4,4.4,4,4.7,False,False,False,"Text ends mid-sentence; translation cuts off before Latin concludes, but content is accurate throughout."
full_chunk_0008,minimax-v2,minimax-m2.7,3,3.5,4,4.7,False,False,False,OCR corruption in opening Latin left untranslated; translator derived meaning from later clearer text
full_chunk_0009,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate throughout; [unclear] for 'anolabunt' is honest; rubric note and truncation faithfully rendered
full_chunk_0009,minimax,claude-opus-4-7,4,4.0,4,4.0,False,False,False,Minor distortions: 'gloriosissime' rendered as 'most fierce Judge'; 'honestas viduarum' as 'comfort'; otherwise solid.
full_chunk_0009,claude-cli,minimax-m2.7,4,4.4,3,3.7,False,False,False,Translation captures the prayer's meaning well despite OCR corruption in source; minor awkwardness in some phrasing
full_chunk_0009,minimax-v2,minimax-m2.7,4,4.4,3,3.7,False,False,False,Appropriately marks damaged sections with [section damaged]; content faithfully conveyed where legible
full_chunk_0010,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,"Table and prose accurately rendered; minor spelling variants (Asyriel/Afyriel, Usiel/Vfiel) are standard OCR normalization"
full_chunk_0010,minimax,claude-opus-4-7,3,3.0,4,4.0,True,False,False,"Final lines invented (Turk/empire, 'reveal to him', closing aphorism); 'pauci' mistranslation; otherwise reasonable."
full_chunk_0010,claude-cli,minimax-m2.7,4,4.4,3,3.7,False,False,False,Generally accurate translation; 'videbatur' in angel table left untranslated as Latin; conjuration retained in original pseudo-Hebrew/Aramaic form
full_chunk_0010,minimax-v2,minimax-m2.7,3,3.5,3,3.7,False,False,False,Translation ends abruptly mid-sentence; tables noted as requiring specialist encoding; overall accurate but abbreviated
full_chunk_0011,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate throughout; 'subsolanum' correctly rendered as 'east'; all conjurations transcribed faithfully.
full_chunk_0011,minimax,claude-opus-4-7,4,4.0,4,4.0,False,False,False,"Solid rendering of noisy OCR; minor omissions/guesses near end (table, closing line) but no fabrications."
full_chunk_0011,claude-cli,minimax-m2.7,4,4.4,4,4.7,False,False,False,Reasonable handling of severely OCR-damaged Latin; translation is coherent though some readings are interpretive
full_chunk_0011,minimax-v2,minimax-m2.7,4,4.4,4,4.7,False,False,False,"Translation handles poor OCR well; mostly faithful to content, natural English prose throughout"
full_chunk_0012,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,"Accurate throughout; [unclear] markers at gaps, prayer rendered faithfully, OCR artifacts handled correctly"
full_chunk_0012,minimax,claude-opus-4-7,4,4.0,4,4.0,False,False,False,"Generally faithful; some Latin doxology left untranslated and minor distortions (e.g. 'ten/twenty' counts, 'Southeast' for Auster)."
full_chunk_0012,claude-cli,minimax-m2.7,4,4.4,4,4.7,False,False,False,Handles OCR damage well; marks unclear entries honestly; main text faithful but 'his innocent man' is interpretive given corrupted Latin
full_chunk_0012,minimax-v2,minimax-m2.7,3,3.5,3,3.7,False,False,False,Translation captures most content; minor interpretive choices (e.g. narrant as deliver) but largely accurate for difficult source
full_chunk_0013,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,"Accurate throughout; table, names, footnote on Noctar, and prose all faithfully rendered; [unclear] placeholders honest."
full_chunk_0013,minimax,claude-opus-4-7,4,4.0,4,4.0,False,False,False,Reasonable handling of heavy OCR noise; some spirit-name lists slightly reorganized but [unclear] used appropriately.
full_chunk_0013,claude-cli,minimax-m2.7,3,3.5,4,4.7,False,False,False,Table names are interpretive transliterations; text cuts off mid-sentence at end
full_chunk_0013,minimax-v2,minimax-m2.7,3,3.5,4,4.7,False,False,False,Reasonable handling of severely corrupted OCR text; interpretive guesses fill gaps but content matches source
full_chunk_0014,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,"Accurate throughout; conjuration string, Roth example, and final moral sentence all rendered faithfully. [unclear] flags appropriate."
full_chunk_0014,minimax,claude-opus-4-7,4,4.0,4,4.0,False,False,False,Generally faithful; minor distortions in moral passage and damaged sections paraphrased loosely; table abbreviated.
full_chunk_0014,claude-cli,minimax-m2.7,4,4.4,5,4.5,False,False,False,"Solid translation; acknowledges OCR damage honestly, renders Latin incantations appropriately, and paraphrases the moral passage fluently."
full_chunk_0014,minimax-v2,minimax-m2.7,1,1.7,4,4.7,False,False,True,"Model refused to translate, providing only metadata notes about content type"
full_chunk_0015,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,Minor variants: 'aproysy/burfon/casonti/lorfon' vs Latin 'aproyfy/burfon/cafonti/lorfon'; 'Afiel' vs 'Afeliel' once; otherwise complete and accurate
full_chunk_0015,minimax,claude-opus-4-7,4,4.0,4,4.0,False,False,False,Renders 'c et o' as 150 (mistaken expansion); otherwise solid with appropriate [unclear] markers for OCR noise.
