record,translation_backend,grader,raw_faith,adj_faith,raw_fluent,adj_fluent,hallucinated,preamble,refusal,notes
full_chunk_0001,public-history,opus-pairwise-adopt,5,5.0,5,5.0,False,False,False,churro-hi adopted via Opus pairwise; faith carried from prior Sonnet 4.95 (pending GLM/Sonnet re-grade)
full_chunk_0001,minimax,minimax-m2.7,4,4.4,3,3.7,False,False,False,Title/series page not translated; OCR text sometimes garbled but handled reasonably
full_chunk_0001,minimax-v2,minimax-m2.7,4,4.4,4,4.7,False,False,False,"Good translation; page 009 verse omitted due to poor OCR quality, which is reasonable"
full_chunk_0002,public-history,opus-pairwise-adopt,5,5.0,5,5.0,False,False,False,churro-hi adopted via Opus pairwise; faith carried from prior Sonnet 4.95 (pending GLM/Sonnet re-grade)
full_chunk_0002,minimax,minimax-m2.7,3,3.5,4,4.7,False,False,False,"Date 'M.D.L XXVII' rendered as 1557, should be 1577; OCR text causes some unclear passages"
full_chunk_0002,minimax-v2,minimax-m2.7,4,4.4,3,3.7,False,False,False,Generally accurate; minor awkwardness in 'laborare' and some archaic phrasing
full_chunk_0003,public-history,opus-pairwise-adopt,5,5.0,5,5.0,False,False,False,churro-hi adopted via Opus pairwise; faith carried from prior Sonnet 4.95 (pending GLM/Sonnet re-grade)
full_chunk_0003,minimax,minimax-m2.7,3,3.5,3,3.7,False,False,False,"Translation cuts off mid-word; 'conjugal unions' misinterprets 'caelestis contemplatio'; some awkward phrasing like 'One guardianship, keep your heart'"
full_chunk_0003,minimax-v2,minimax-m2.7,3,3.5,3,3.7,False,False,False,Translation captures gist but has awkward phrasing; 'A adulterer' should be 'An'; ends mid-sentence
full_chunk_0004,public-history,opus-pairwise-adopt,5,5.0,5,5.0,False,False,False,churro-hi adopted via Opus pairwise; faith carried from prior Sonnet 4.95 (pending GLM/Sonnet re-grade)
full_chunk_0004,minimax,minimax-m2.7,3,3.5,3,3.7,True,False,False,Translation cuts off mid-word ('desp') and adds content not in Latin like 'while it sees its own judges'
full_chunk_0004,minimax-v2,minimax-m2.7,4,4.4,4,4.7,False,False,False,"Generally accurate translation; ends mid-sentence, may be missing final Latin portion."
full_chunk_0005,public-history,opus-pairwise-adopt,5,5.0,5,5.0,False,False,False,churro-hi adopted via Opus pairwise; faith carried from prior Sonnet 4.95 (pending GLM/Sonnet re-grade)
full_chunk_0005,minimax,minimax-m2.7,3,3.5,4,4.7,False,False,False,Many lacunae marked with ellipsis in first section; unclear passages left as gaps rather than reconstructed
full_chunk_0005,minimax-v2,minimax-m2.7,4,4.4,3,3.7,False,False,False,Mostly accurate translation; minor awkward phrasing like 'sine ministerio famulae' rendered somewhat clumsily
full_chunk_0006,public-history,opus-pairwise-adopt,5,5.0,5,5.0,False,False,False,churro-hi adopted via Opus pairwise; faith carried from prior Sonnet 4.95 (pending GLM/Sonnet re-grade)
full_chunk_0006,minimax,minimax-m2.7,2,2.8,3,3.7,True,True,False,Extensive preamble instead of translation; summary commentary replaces actual Latin translation; 'altar with polluted hands' hallucinated
full_chunk_0006,minimax-v2,minimax-m2.7,3,3.5,3,3.7,False,False,False,Translation ends mid-word at 'Mea'; 'archidiaboli' rendered imprecisely as 'abyss'
full_chunk_0007,public-history,opus-pairwise-adopt,5,5.0,5,5.0,False,False,False,churro-hi adopted via Opus pairwise; faith carried from prior Sonnet 4.95 (pending GLM/Sonnet re-grade)
full_chunk_0007,minimax,minimax-m2.7,3,3.5,3,3.7,False,True,False,Translation ends abruptly mid-sentence at 'I cannot'; Latin also fragmentary ending with 'E. advel'
full_chunk_0007,minimax-v2,minimax-m2.7,3,3.5,3,3.7,False,False,False,Translation ends abruptly mid-word 'I wi'; 'carnalibus' and 'concupiscentiis' omitted; 'infantulos' mistranslated as 'infants'
full_chunk_0008,public-history,opus-pairwise-adopt,5,5.0,5,5.0,False,False,False,churro-hi adopted via Opus pairwise; faith carried from prior Sonnet 4.95 (pending GLM/Sonnet re-grade)
full_chunk_0008,minimax,minimax-m2.7,4,4.4,4,4.7,False,False,False,Good translation overall; adds 'in our weakness' not clearly in Latin but interpretively plausible
full_chunk_0008,minimax-v2,minimax-m2.7,3,3.5,4,4.7,True,False,False,'lioness' in Tutius est cohabitare appears unsupported by the Latin source text
full_chunk_0009,public-history,opus-pairwise-adopt,5,5.0,5,5.0,False,False,False,churro-hi adopted via Opus pairwise; faith carried from prior Sonnet 4.95 (pending GLM/Sonnet re-grade)
full_chunk_0009,minimax,minimax-m2.7,4,4.4,4,4.7,False,False,False,Ends abruptly mid-sentence; 'felicity' for 'eternam' is interpretive; overall accurate and readable
full_chunk_0009,minimax-v2,minimax-m2.7,3,3.5,4,4.7,False,False,False,Translation incomplete; 'exemplum' rendered as 'imitation' loses negative moral sense; OCR corruption makes assessment of some passages difficult
full_chunk_0010,public-history,opus-pairwise-adopt,5,5.0,5,5.0,False,False,False,churro-hi adopted via Opus pairwise; faith carried from prior Sonnet 4.95 (pending GLM/Sonnet re-grade)
full_chunk_0010,minimax-v2,minimax-m2.7,4,4.4,4,4.7,False,False,False,Generally accurate translation; ends incompletely at 'good will conquers the fles'.
full_chunk_0011,public-history,opus-pairwise-adopt,5,5.0,5,5.0,False,False,False,churro-hi adopted via Opus pairwise; faith carried from prior Sonnet 4.95 (pending GLM/Sonnet re-grade)
full_chunk_0011,minimax,minimax-m2.7,4,4.4,4,4.7,False,False,False,"Translation ends mid-sentence, missing final clause 'if we do not have the Scriptures'"
full_chunk_0011,minimax-v2,minimax-m2.7,2,2.8,4,4.7,False,False,True,Starts with '[unclear]' despite legible Latin; text cuts off mid-sentence at bottom of page 064
full_chunk_0012,public-history,opus-pairwise-adopt,5,5.0,5,5.0,False,False,False,churro-hi adopted via Opus pairwise; faith carried from prior Sonnet 4.95 (pending GLM/Sonnet re-grade)
full_chunk_0012,minimax,minimax-m2.7,4,4.4,4,4.7,False,False,False,One error: 'concubines instead of books' reverses Latin 'pro libris...pro studio concubinas amant'
full_chunk_0012,minimax-v2,minimax-m2.7,4,4.4,4,4.7,False,False,False,Generally faithful; minor gaps like 'populum Dei ad iustitiam non erudiunt' rendered as 'do not instruct' without 'in righteousness'
full_chunk_0013,public-history,opus-pairwise-adopt,5,5.0,5,5.0,False,False,False,churro-hi adopted via Opus pairwise; faith carried from prior Sonnet 4.95 (pending GLM/Sonnet re-grade)
full_chunk_0013,minimax,minimax-m2.7,3,3.5,4,4.7,False,False,False,Translation captures overall sense but some passages vague; 'in the dawn' for 'in aurea' unclear
full_chunk_0013,minimax-v2,minimax-m2.7,2,2.8,4,4.7,True,False,False,Translation contains fabricated biblical quotes not in Latin source; Psalmist citation and Matthew 4:4 attribution are incorrect
full_chunk_0014,public-history,opus-pairwise-adopt,5,5.0,5,5.0,False,False,False,churro-hi adopted via Opus pairwise; faith carried from prior Sonnet 4.95 (pending GLM/Sonnet re-grade)
full_chunk_0014,minimax,minimax-m2.7,3,3.5,3,3.7,False,False,False,Captures general meaning but OCR corruption in Latin obscures some passages; translation is interpretive in places
full_chunk_0014,minimax-v2,minimax-m2.7,3,3.5,3,3.7,False,False,False,mostly faithful but 'Titionis' likely OCR error; ends mid-sentence for 'despi'
full_chunk_0015,public-history,opus-pairwise-adopt,5,5.0,5,5.0,False,False,False,churro-hi adopted via Opus pairwise; faith carried from prior Sonnet 4.95 (pending GLM/Sonnet re-grade)
full_chunk_0015,minimax,minimax-m2.7,3,3.5,3,3.7,False,False,False,Covers main points but truncates near end; adds 'his members' which is inferential; some awkward phrasing
full_chunk_0015,minimax-v2,minimax-m2.7,4,4.4,3,3.7,False,False,False,Generally accurate but truncated ending leaves sentence incomplete; minor roughness in 'loose' vs 'loos' rendering
full_chunk_0016,public-history,opus-pairwise-adopt,5,5.0,5,5.0,False,False,False,churro-hi adopted via Opus pairwise; faith carried from prior Sonnet 4.95 (pending GLM/Sonnet re-grade)
