record,translation_backend,grader,raw_faith,adj_faith,raw_fluent,adj_fluent,hallucinated,preamble,refusal,notes
full_chunk_0001,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Title page with six-author block, subtitle, and 1612 imprint restored 2026-07-10 (was truncated to 'for ...'); English matches Latin title clause for clause. Book cover image note is non-textual placeholder.
full_chunk_0001,minimax,minimax-m2.7,1,1.7,2,3.5,True,False,False,Translation adds fabricated sigil descriptions and misattributes authorship to Trithemius as author rather than editor.
full_chunk_0001,minimax-v2,minimax-m2.7,1,1.7,1,3.5,True,False,True,Refuses to translate bibliographic metadata; invents 'steganographia spirit list' not present in Latin source
full_chunk_0001,codex-sweep,minimax-m2.7,1,1.7,1,3.5,False,False,True,"No translation provided; model refused, citing cipher/spirit-list content and requesting specialist handler"
full_chunk_0002,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Latin is fully unreadable (all ?); English [unclear] is the only honest response to illegible source.
full_chunk_0002,minimax,minimax-m2.7,3,3.5,4,4.7,False,False,False,Generally faithful but 'fanum' (temple) rendered as 'health'; minor OCR challenges handled reasonably
full_chunk_0002,minimax-v2,minimax-m2.7,4,4.4,4,4.7,False,False,False,Good translation of this magical text; handles lacunae and obscure readings reasonably.
full_chunk_0003,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,"Title page accurately rendered; blank/boilerplate pages correctly ignored; all names, attributions, and date 1612 match Latin."
full_chunk_0003,minimax,minimax-m2.7,4,4.4,3,3.7,False,False,False,Translation mostly faithful; 'communicabis' rendered as 'invisible' is interpretive but defensible; minor phrasing stiffness.
full_chunk_0003,minimax-v2,minimax-m2.7,4,4.4,4,4.7,False,False,False,Good translation overall; ends abruptly at 'A basi' (Latin also truncated) with no content missing from what precedes it
full_chunk_0004,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,"Accurate throughout; all talismans, stones, and virtues correctly rendered; 'Tras' abbreviation noted honestly"
full_chunk_0004,minimax,minimax-m2.7,4,4.4,3,3.7,False,False,False,Capricorn paragraph is truncated mid-sentence; pronoun inconsistency between 2nd/3rd person
full_chunk_0004,minimax-v2,minimax-m2.7,4,4.4,5,4.5,False,False,False,Accurate translation; minor ambiguity in 'other hand' clause where Latin is corrupted.
full_chunk_0005,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,"Complete, accurate rendering; all figures, materials, virtues, and framing text faithfully translated; ends mid-sentence matching Latin cutoff"
full_chunk_0005,minimax,minimax-m2.7,3,3.5,3,3.7,False,False,False,OCR corruption makes Latin difficult; first entry seems mismatched with 'dolphin' in translation
full_chunk_0005,minimax-v2,minimax-m2.7,2,2.8,3,3.7,False,False,False,Multiple [unclear] markers indicate substantial illegible text; ends abruptly mid-sentence
full_chunk_0006,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,Mostly accurate; 'efficit' gap rendered [unclear] honestly; minor omission of 'collo appendatur' nuance; no inventions
full_chunk_0006,minimax,minimax-m2.7,1,1.7,2,3.5,True,False,False,Completely mistranslates 'Icias virtutem habere' as 'you should know'; 'ranros' rendered as 'anchors' (likely 'ranunculos' frogs)
full_chunk_0006,minimax-v2,minimax-m2.7,3,3.5,3,3.7,False,False,False,Generally accurate translation but cuts off mid-sentence at end and has some rough phrasing
full_chunk_0007,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,Turturis marini=sea turtle is debatable (turtledove more likely) but rest is accurate; minor omissions tolerable
full_chunk_0007,minimax,minimax-m2.7,4,4.4,4,4.7,False,False,False,"Translation accurate throughout; 'sag' appears truncated, likely 'sagittario' for Sagittarius."
full_chunk_0007,minimax-v2,minimax-m2.7,4,4.4,3,3.7,False,False,False,Translation mostly accurate but 'nulli demone' rendered incorrectly as 'no demon'; ending appears truncated
full_chunk_0008,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate and complete; 'magnas facultates' rendered as 'great wealth' is slightly loose but defensible; page breaks handled well
full_chunk_0008,minimax,minimax-m2.7,4,4.4,3,3.7,False,False,False,"Translation accurate overall but some garbled OCR Latin (esp. 'faumillo', 'epilepiicas') may affect fidelity"
full_chunk_0008,minimax-v2,minimax-m2.7,4,4.4,3,3.7,False,False,False,Generally accurate; 'upupa' rendered as 'crow' is slightly off (hoopoe bird); some interpretive translations due to corrupt Latin
full_chunk_0009,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate throughout; 'men and beasts' slightly expands Latin homines/bestias but defensible; truncation at end mirrors Latin cutoff
full_chunk_0009,minimax,minimax-m2.7,4,4.4,3,3.7,False,False,False,One error: 'Mars on the left' should be 'Pisces on the left'; otherwise accurate
full_chunk_0009,minimax-v2,minimax-m2.7,4,4.4,3,3.7,False,False,False,'slender face' mistranslates cruribus (legs); 'frigidis' rendered as 'stiff' loses coldness
full_chunk_0010,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,"Accurate throughout; trailing [unclear] for 'cauarum farum' (garbled OCR) is honest flag, not hallucination"
full_chunk_0010,minimax,minimax-m2.7,3,3.5,4,4.7,False,False,False,Cephas should be Cepheus; Pegasus entry truncated mid-sentence; minor name/word variations from OCR source
full_chunk_0010,minimax-v2,minimax-m2.7,4,4.4,4,4.7,False,False,False,Minor name error: 'Cephei' (Cepheus) rendered as 'Cephas'; otherwise accurate
full_chunk_0011,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,Mostly accurate; 'Pangone' rendered 'pangonus' (untranslated); 'visum' as 'sight' is odd but defensible; minor omissions tolerable
full_chunk_0011,minimax,minimax-m2.7,3,3.5,5,4.5,False,False,False,Translation ends mid-sentence; Piscium section incomplete. Minor omissions in astrological specifics but faithful overall.
full_chunk_0011,minimax-v2,minimax-m2.7,4,4.4,3,3.7,False,False,False,"Translation ends prematurely; Aquarius entry incomplete, Pisces missing entirely"
full_chunk_0012,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,Mostly accurate; fiery triplicity omits 'dignitate' clause partially; 'Mars' at watery base correct per Latin; minor lacunae handled honestly
full_chunk_0012,minimax,minimax-m2.7,4,4.4,4,4.7,False,False,False,Accurate translation but only covers initial portion; rest of Latin text untranslated
full_chunk_0012,minimax-v2,minimax-m2.7,4,4.4,4,4.7,False,False,False,Generally accurate translation with minor stylistic choices; 'philosophical Magic' for 'Magicæ Philosophiæ' slightly loose
full_chunk_0013,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate throughout; [unclear] marks honest gaps; split page break handled correctly; no invented content
full_chunk_0013,minimax,minimax-m2.7,3,3.5,3,3.7,False,False,False,Translation captures general sense but many [uncertain] readings due to OCR corruption; ends mid-sentence
full_chunk_0013,minimax-v2,minimax-m2.7,3,3.5,3,3.7,False,False,False,Translation captures most content but 'suffer preparation' is wrong (should be 'undergo'); 'crudity' is awkward for ventriculi; 'memory-capsule' is a literal calque
full_chunk_0014,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,All 12 entries closely match Latin; 'Daemonia os' honestly flagged [unclear]; no omissions or additions.
full_chunk_0014,minimax,minimax-m2.7,2,2.8,3,3.7,True,True,False,"Translation adds '# Translation' and 'Page 061' headers not in source; 'philautist', 'teristics' are questionable; ends mid-sentence"
full_chunk_0014,minimax-v2,minimax-m2.7,4,4.4,3,3.7,False,False,False,Good overall accuracy; 'philautus' left untranslated; Latin OCR errors affect source fidelity
full_chunk_0015,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,Accurate throughout; minor: 'finistram' rendered as 'above' not 'above the left'; degree lists faithfully copied; Capricot- truncation preserved
