record,translation_backend,grader,raw_faith,adj_faith,raw_fluent,adj_fluent,hallucinated,preamble,refusal,notes
full_chunk_0001,public-history,opus-pairwise-adopt,5,5.0,5,5.0,False,False,False,churro-hi adopted via Opus pairwise; faith carried from prior Sonnet 4.62 (pending GLM/Sonnet re-grade)
full_chunk_0001,minimax,minimax-m2.7,3,3.5,4,4.7,True,True,False,"Geographic errors: Swabia for Burgundie, Limburg for Brabancie, Illyria not in Latin"
full_chunk_0001,minimax-v2,minimax-m2.7,1,1.7,3,3.7,True,False,True,Translation is a refusal claiming 'steganographia spirit-list' but source is actually Trithemius's 1515 Annales title pages
full_chunk_0001,opus-sweep,minimax-m2.7,1,1.7,1,3.5,False,False,False,Highly corrupted OCR text; model explains limitations instead of attempting translation
full_chunk_0001,opus-sweep,minimax-m2.7,1,1.7,1,3.5,True,True,True,Model refused to translate; added speculative claim about steganographia spirit-name list not evident in Latin
full_chunk_0002,public-history,opus-pairwise-adopt,5,5.0,5,5.0,False,False,False,churro-hi adopted via Opus pairwise; faith carried from prior Sonnet 4.62 (pending GLM/Sonnet re-grade)
full_chunk_0002,minimax,minimax-m2.7,2,2.8,3,3.7,False,False,False,"Translation massively truncated; covers only header/title, missing all body text of the Latin source"
full_chunk_0002,minimax-v2,minimax-m2.7,3,3.5,4,4.7,True,False,False,Translation adds substantial content beyond source Latin ending at 'eorum nepotes'; continues with paragraphs on kingdom division not present in source
full_chunk_0002,opus-sweep,minimax-m2.7,5,4.3,4,4.7,False,False,False,Excellent translation; marginal notes integrated naturally; all content from Latin rendered accurately
full_chunk_0002,opus-sweep,minimax-m2.7,5,4.3,5,4.5,False,False,False,"Excellent scholarly translation, handles OCR garble well, marginal notes included, numbers accurate"
full_chunk_0003,public-history,opus-pairwise-adopt,5,5.0,5,5.0,False,False,False,churro-hi adopted via Opus pairwise; faith carried from prior Sonnet 4.62 (pending GLM/Sonnet re-grade)
full_chunk_0003,minimax,minimax-m2.7,3,3.5,3,3.7,False,False,False,Translation ends prematurely at 'Frank' missing continuation; 'Lough' for 'Lofanum' is questionable; place names like Cauricians uncertain
full_chunk_0003,minimax-v2,minimax-m2.7,4,4.4,4,4.7,False,False,False,Solid translation; OCR placeholders [unclear] are appropriate given source corruption; ends mid-sentence due to chunk boundary.
full_chunk_0004,public-history,opus-pairwise-adopt,5,5.0,5,5.0,False,False,False,churro-hi adopted via Opus pairwise; faith carried from prior Sonnet 4.62 (pending GLM/Sonnet re-grade)
full_chunk_0004,minimax,minimax-m2.7,4,4.4,3,3.7,False,False,False,Translation ends abruptly before Latin's completion; 'Dennonio' rendered as 'Denis' loses specificity
full_chunk_0004,minimax-v2,minimax-m2.7,4,4.4,3,3.7,False,False,False,Translation ends mid-sentence; missing final number completing total years calculation
full_chunk_0005,public-history,opus-pairwise-adopt,5,5.0,5,5.0,False,False,False,churro-hi adopted via Opus pairwise; faith carried from prior Sonnet 4.62 (pending GLM/Sonnet re-grade)
full_chunk_0005,minimax,minimax-m2.7,3,3.5,3,3.7,False,False,False,Translation ends abruptly mid-sentence; 'turned his bac' is incomplete/corrupted
full_chunk_0005,minimax-v2,minimax-m2.7,4,4.4,3,3.7,False,False,False,Translation ends mid-sentence; minor numeral discrepancy (CCCC.LX vs 450); 'Cyncephali' not in Latin
full_chunk_0006,public-history,opus-pairwise-adopt,5,5.0,5,5.0,False,False,False,churro-hi adopted via Opus pairwise; faith carried from prior Sonnet 4.62 (pending GLM/Sonnet re-grade)
full_chunk_0006,minimax,minimax-m2.7,4,4.4,4,4.7,False,False,False,"Good translation; 'interpretatio' section truncated in source, translation stops mid-word"
full_chunk_0006,minimax-v2,minimax-m2.7,4,4.4,3,3.7,False,False,False,Generally faithful but truncated ending misses 'capiet' (will take); minor interpretive choices in 'natleo' as 'fly'
full_chunk_0007,public-history,opus-pairwise-adopt,5,5.0,5,5.0,False,False,False,churro-hi adopted via Opus pairwise; faith carried from prior Sonnet 4.62 (pending GLM/Sonnet re-grade)
full_chunk_0007,minimax,minimax-m2.7,3,3.5,3,3.7,True,False,False,"Mistranslates 'navigio' (by boat) as 'naval peoples'; 'Holland, are captured' is dubious; interpretive shifts throughout"
full_chunk_0007,minimax-v2,minimax-m2.7,4,4.4,4,4.7,False,False,False,Translation mostly faithful; 'patruus' rendered as 'patruus' rather than 'uncle'; 'fratres' for Saxons rendered as 'brothers' which is interpretive but defensible
full_chunk_0008,public-history,opus-pairwise-adopt,5,5.0,5,5.0,False,False,False,churro-hi adopted via Opus pairwise; faith carried from prior Sonnet 4.62 (pending GLM/Sonnet re-grade)
full_chunk_0008,minimax,minimax-m2.7,4,4.4,3,3.7,False,False,False,Mostly accurate; 'patruus' (paternal uncle) rendered as just 'uncle'; etymological explanation trails off mid-sentence
full_chunk_0008,minimax-v2,minimax-m2.7,3,3.5,3,3.7,True,False,False,Verdan' is a guess for garbled Latin; 'cultivation of forehead' is literal but unclear
full_chunk_0009,public-history,opus-pairwise-adopt,5,5.0,5,5.0,False,False,False,churro-hi adopted via Opus pairwise; faith carried from prior Sonnet 4.62 (pending GLM/Sonnet re-grade)
full_chunk_0009,minimax,minimax-m2.7,3,3.5,3,3.7,False,False,False,Numerals wrong (382 vs 374); 'Theocampus' should be 'Theoclamus'; trailing incomplete sentence at end.
full_chunk_0009,minimax-v2,minimax-m2.7,3,3.5,3,3.7,False,False,False,Name rendered as Theodontius but Latin has Theocalum; omits 'Iui' in aduenticij nominis Iui
full_chunk_0010,public-history,opus-pairwise-adopt,5,5.0,5,5.0,False,False,False,churro-hi adopted via Opus pairwise; faith carried from prior Sonnet 4.62 (pending GLM/Sonnet re-grade)
full_chunk_0010,minimax,minimax-m2.7,4,4.4,4,4.7,False,False,False,"Translation cuts off mid-sentence at end; minor number discrepancy (uiginti is twenty, not 'one hundred twenty')"
full_chunk_0010,minimax-v2,minimax-m2.7,2,2.8,3,3.7,False,False,False,"Translation ends abruptly mid-sentence; final portion about Diocles' reign, death, and four sons is entirely missing"
full_chunk_0011,public-history,opus-pairwise-adopt,5,5.0,5,5.0,False,False,False,churro-hi adopted via Opus pairwise; faith carried from prior Sonnet 4.62 (pending GLM/Sonnet re-grade)
full_chunk_0011,minimax,minimax-m2.7,3,3.5,3,3.7,False,False,False,Heavy ellipsis gaps leave many Latin passages untranslated; fragmented sentences hurt comprehension
full_chunk_0011,minimax-v2,minimax-m2.7,4,4.4,4,4.7,False,False,False,Mostly accurate translation; ending abruptly cuts off mid-word at 'forts and very st'
full_chunk_0012,public-history,opus-pairwise-adopt,5,5.0,5,5.0,False,False,False,churro-hi adopted via Opus pairwise; faith carried from prior Sonnet 4.62 (pending GLM/Sonnet re-grade)
full_chunk_0012,minimax,minimax-m2.7,4,4.4,4,4.7,False,False,False,Mostly accurate; slight interpretive drift in 'per hominem idolis deditum' passage
full_chunk_0012,minimax-v2,minimax-m2.7,3,3.5,4,4.7,False,False,False,Generally accurate; translation ends abruptly mid-word with 'bu'; minor interpretive choices like 'in the manner of a madman'
full_chunk_0013,public-history,opus-pairwise-adopt,5,5.0,5,5.0,False,False,False,churro-hi adopted via Opus pairwise; faith carried from prior Sonnet 4.62 (pending GLM/Sonnet re-grade)
full_chunk_0013,minimax,minimax-m2.7,3,3.5,3,3.7,False,False,False,"Translation cuts off mid-sentence at 'In the' - incomplete chunk, source Latin text also ends abruptly mid-word"
full_chunk_0013,minimax-v2,minimax-m2.7,3,3.5,4,4.7,False,False,False,Translation ends mid-sentence and appears truncated; handles corrupted Latin reasonably
full_chunk_0014,public-history,opus-pairwise-adopt,5,5.0,5,5.0,False,False,False,churro-hi adopted via Opus pairwise; faith carried from prior Sonnet 4.62 (pending GLM/Sonnet re-grade)
full_chunk_0014,minimax,minimax-m2.7,4,4.4,4,4.7,True,False,False,"Translation adds 'a few escaped safely' and elaborates campaign details not explicitly in the garbled Latin, but main narrative remains faithful."
full_chunk_0014,minimax-v2,minimax-m2.7,4,4.4,3,3.7,False,False,False,Translation is mostly accurate but truncated at end; some phrasing is awkward (e.g. 'no sooner than they had')
full_chunk_0015,public-history,opus-pairwise-adopt,5,5.0,5,5.0,False,False,False,churro-hi adopted via Opus pairwise; faith carried from prior Sonnet 4.62 (pending GLM/Sonnet re-grade)
full_chunk_0015,minimax,minimax-m2.7,3,3.5,4,4.7,False,False,False,Translation captures the narrative well but truncates at end; Latin source heavily corrupted affecting assessment
full_chunk_0015,minimax-v2,minimax-m2.7,3,3.5,3,3.7,True,False,False,Translation cuts off mid-sentence; 'Marcomer' rendered as 'Marcus' appears incorrect; many OCR garbled passages interpreted speculatively
full_chunk_0016,public-history,opus-pairwise-adopt,5,5.0,5,5.0,False,False,False,churro-hi adopted via Opus pairwise; faith carried from prior Sonnet 4.62 (pending GLM/Sonnet re-grade)
full_chunk_0016,minimax,minimax-m2.7,2,2.8,2,3.5,False,False,False,Extremely fragmented translation with many ellipses and incomplete sentences; 'post primum Clodomer' mistranslated as 'after the first king'
full_chunk_0016,minimax-v2,minimax-m2.7,3,3.5,4,4.7,False,False,False,Francici (Franks) consistently mistranslated as Sicambri; text truncated at end
full_chunk_0017,public-history,opus-pairwise-adopt,5,5.0,5,5.0,False,False,False,churro-hi adopted via Opus pairwise; faith carried from prior Sonnet 4.62 (pending GLM/Sonnet re-grade)
full_chunk_0017,minimax,minimax-m2.7,3,3.5,3,3.7,True,False,False,Misreads flumen ficambrorum as 'river Troy'; adds 'diminished' to hostibus; text cuts off mid-sentence
full_chunk_0017,minimax-v2,minimax-m2.7,3,3.5,3,3.7,True,False,False,Adds 'in which Flanders' not in source; Borbistares/Dorbista name inconsistency; ends mid-sentence
full_chunk_0017,opus-sweep,minimax-m2.7,4,4.4,4,4.7,False,False,False,"Accurate translation with honest [unclear] markers; minor name variants (Cassander, Arthar) are reasonable given manuscript state"
full_chunk_0017,opus-sweep,minimax-m2.7,3,3.5,4,4.7,False,False,False,Translation has many [unclear] markers; marginal annotations are editorial; footnote 'Cum unanimitate' missing.
full_chunk_0018,public-history,opus-pairwise-adopt,5,5.0,5,5.0,False,False,False,churro-hi adopted via Opus pairwise; faith carried from prior Sonnet 4.62 (pending GLM/Sonnet re-grade)
full_chunk_0018,minimax,minimax-m2.7,3,3.5,3,3.7,True,False,False,Translation ends mid-sentence; 'throughout the entire world' added; 'Francon' is interpretive
full_chunk_0018,minimax-v2,minimax-m2.7,3,3.5,4,4.7,False,False,False,Generally accurate but interpretive; 'treaties broken' added; odd 'dissolve senate' phrasing; text cuts off mid-word
full_chunk_0019,public-history,opus-pairwise-adopt,5,5.0,5,5.0,False,False,False,churro-hi adopted via Opus pairwise; faith carried from prior Sonnet 4.62 (pending GLM/Sonnet re-grade)
full_chunk_0019,minimax,minimax-m2.7,3,3.5,3,3.7,False,False,False,Translation mostly accurate but stumbles on corrupted Latin passages; some awkward phrasing like 'most free king'
full_chunk_0019,minimax-v2,minimax-m2.7,3,3.5,3,3.7,True,False,False,Vandalfrank appears in translation but not clearly in Latin; possible misreading of uafra[n]cam
full_chunk_0020,public-history,opus-pairwise-adopt,5,5.0,5,5.0,False,False,False,churro-hi adopted via Opus pairwise; faith carried from prior Sonnet 4.62 (pending GLM/Sonnet re-grade)
full_chunk_0020,minimax,minimax-m2.7,4,4.4,4,4.7,False,False,False,Accurate translation of fragmented Latin; minor interpretive choices in 'readiness' for 'facilitate'
