record,translation_backend,grader,raw_faith,adj_faith,raw_fluent,adj_fluent,hallucinated,preamble,refusal,notes
full_chunk_0001,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,Mostly accurate; 'Peapolitani' rendered as abbot title not place; 'Caesa/rem' split correctly resolved; ex libris name tentatively bracketed
full_chunk_0001,minimax,claude-opus-4-7,3,3.0,4,4.0,True,False,False,'BOOK SIX' misreads 'LIBRI SEX' (Six Books); omits final sentences about Maximilian's letter and the messenger.
full_chunk_0001,claude-cli,minimax-m2.7,5,4.3,5,4.5,False,False,False,Excellent translation; captures Renaissance Latin style and rhetorical flourishes accurately.
full_chunk_0001,minimax-v2,minimax-m2.7,2,2.8,4,4.7,True,False,False,"False imprint: Latin says Francofurti 1550, translation says Argentorati Rihelius 1519"
full_chunk_0002,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate throughout; all content present in Latin; no additions or omissions detected
full_chunk_0002,minimax,claude-opus-4-7,4,4.0,4,4.0,False,False,False,Date 1498 correct but year 1482 for birth wrong (should be 1462); '843rd' garbled; minor distortions.
full_chunk_0002,claude-cli,minimax-m2.7,4,4.4,4,4.7,False,False,False,"Solid translation of complex Renaissance Latin; handles OCR artifacts well, occasional slightly stiff phrasing"
full_chunk_0002,minimax-v2,minimax-m2.7,4,4.4,4,4.7,False,False,False,Good overall fidelity; 'N].D. V 111' rendered as '1498' but likely '1499'; minor truncation at end
full_chunk_0003,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,"Accurate throughout; dates, names, biography details all match; 'Herbipolensis'→Würzburg correct contextual rendering"
full_chunk_0003,minimax,claude-opus-4-7,4,4.0,5,5.0,False,False,False,"Minor distortions: 'three books' for Dalburg (Latin says one), 'Greek and Hebrew and Hebrew' duplication, 'forty-eight' vs 24."
full_chunk_0003,claude-cli,minimax-m2.7,4,4.4,3,3.7,False,False,False,"Translation ends abruptly with 'forty most' incomplete; Latin 'pulcherrimos' not rendered, sentence cut off"
full_chunk_0003,minimax-v2,minimax-m2.7,3,3.5,4,4.7,False,False,False,Translation stops mid-sentence; Latin continues listing many more works
full_chunk_0004,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,Accurate throughout; minor reordering near Wimpfeling entry; [unclear] markers honest; 'Monocollogion' rendered faithfully
full_chunk_0004,minimax,claude-opus-4-7,3,3.0,4,4.0,True,False,False,"Several errors: 'inter nos regnum' mistranslated, Marcomer date wrong (430 BC not 1399), 'rosarium' rendered as 'rosaries of birds'."
full_chunk_0004,claude-cli,minimax-m2.7,4,4.4,4,4.7,False,False,False,Faithful overall; 'unum' rendered as 'one book' throughout is stilted; 'imperitiusime' translated as 'most ignorantly' loses nuance.
full_chunk_0004,minimax-v2,minimax-m2.7,4,4.4,4,4.7,False,False,False,Good translation; slight roughness in 'peculio montalii' rendering. Text cuts off mid-sentence at end.
full_chunk_0005,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate throughout; 'ostiuꝰ Ostia Rheni' rendered as 'mouths of the Rhine' correctly; 'oclauum et nomū' read as '28th and 9th year' plausibly.
full_chunk_0005,minimax,claude-opus-4-7,4,4.0,4,4.0,True,False,False,'twentieth about holy Emma' misreads 'omnibus sanctis' (all saints); preface cuts off mid-sentence.
full_chunk_0005,claude-cli,minimax-m2.7,4,4.4,4,4.7,False,False,False,Scholarly handling of damaged 16th-c. OCR text; [unclear] used appropriately; structural headings not preamble.
full_chunk_0005,minimax-v2,minimax-m2.7,3,3.5,3,3.7,False,False,False,Ends mid-sentence; 'scribaminam' garbled in source; phrase 'multentibus' unclear; minor errors in Latin-to-English conversion
full_chunk_0006,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate throughout; [unclear] and [bacutii?/bacucei?] honestly flagged; omission at damaged gap correctly rendered as [unclear]
full_chunk_0006,minimax,claude-opus-4-7,4,4.0,3,3.0,False,False,False,"Generally faithful to noisy OCR; some terms (Crunius/Cledius, 'enchantment', 'wounded') misread but no invented content."
full_chunk_0006,claude-cli,minimax-m2.7,4,4.4,3,3.7,False,False,False,Mostly accurate but translation cuts off mid-sentence after 'astrology'; '[unclear]' labels appear where Latin is mostly legible
full_chunk_0006,minimax-v2,minimax-m2.7,2,2.8,3,3.7,True,False,False,Repeatedly mistranslates garbled OCR 'bubonum/bubones' as literal 'buboes' (lymph swelling); source text too corrupted to translate accurately
full_chunk_0007,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,Largely accurate; [unclear] markers honest for corrupt/cryptic Latin; 'grammarians' for Grammaticis slightly loose; no invented content
full_chunk_0007,minimax,claude-opus-4-7,4,4.0,5,5.0,False,False,False,Minor distortions: 'bubones' rendered as 'Boeotian sayings'; 'altera palmarum die' as 'second day of Palm Sunday'; otherwise solid.
full_chunk_0007,claude-cli,minimax-m2.7,3,3.5,4,4.7,False,False,False,Appropriately marked OCR corruption with [unclear]; coherent where Latin is legible; ending truncated
full_chunk_0007,minimax-v2,minimax-m2.7,4,4.4,3,3.7,False,False,False,Generally accurate; ends abruptly mid-word at 'Arno' for 'Arnoldo Boschio'; 'possessores' translation questionable
full_chunk_0008,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,'ninety-' bracket is honest conjecture; 'Sponheim' for 'Spanheim' minor; rest accurate
full_chunk_0008,minimax,claude-opus-4-7,5,5.0,5,5.0,False,False,False,Minor: 'arcana of the wise' slightly loosens 'bubonum arcana' (owls/night-birds metaphor).
