record,translation_backend,grader,raw_faith,adj_faith,raw_fluent,adj_fluent,hallucinated,preamble,refusal,notes
full_chunk_0001,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,"Title page accurately rendered; all names, titles, places match Latin source exactly."
full_chunk_0001,minimax,minimax-m2.7,3,3.5,2,3.5,False,False,False,Translation ends mid-sentence with 'worthy of'; content faithful but incomplete rendering
full_chunk_0001,minimax-v2,minimax-m2.7,1,1.7,4,4.7,False,True,True,Translation is a refusal/excuse rather than actual translation; model declines to translate library metadata and OCR garble.
full_chunk_0002,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,"Latin is almost entirely illegible gaps; English [unclear] is an honest placeholder, not a hallucination"
full_chunk_0002,minimax,minimax-m2.7,4,4.4,5,4.5,False,False,False,Skilled reconstruction of OCR-damaged Latin; translation is readable and captures the original meaning well.
full_chunk_0002,minimax-v2,minimax-m2.7,4,4.4,5,4.5,False,False,False,"Smooth, natural English; faithful flow despite heavily OCR-damaged Latin source"
full_chunk_0003,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,"Accurate throughout; [unclear] opener is honest placeholder for illegible OCR text, not hallucination"
full_chunk_0003,minimax,minimax-m2.7,3,3.5,3,3.7,False,False,False,Generally accurate but loses nuances; 'interrogare' rendered as 'answer' misses direction; minor awkward phrasing
full_chunk_0003,minimax-v2,minimax-m2.7,4,4.4,3,3.7,False,False,False,Double 'modest' in virtue list is likely error; some slightly awkward phrasing near end
full_chunk_0004,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,"Complete, accurate rendering; minor expansions ('without end', 'of the dying') are justified paraphrase, not invention."
full_chunk_0004,minimax,minimax-m2.7,2,2.8,3,3.7,False,False,False,"Major errors: 'nocturnii' wrongly rendered as 'night watch'; significant content omitted, especially near end; some passages paraphrased rather than translated"
full_chunk_0004,minimax-v2,minimax-m2.7,2,2.8,2,3.5,True,False,False,Adds 'not so much a brother as' not in Latin; 'bishop' inconsistently rendered as 'priest'
full_chunk_0004,opus-sweep,minimax-m2.7,4,4.4,4,4.7,False,False,False,Handles OCR'd Latin well; [unclear] markers appropriately mark corrupted passages; main themes accurately conveyed.
full_chunk_0004,opus-sweep,minimax-m2.7,3,3.5,4,4.7,False,False,False,Translation handles OCR-damaged Latin reasonably with [unclear] markers; some passages skipped or vaguely rendered due to corruption
full_chunk_0005,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate throughout; final truncation matched with [unclear]; 'alioꝝ' correctly rendered as 'others'; no additions
full_chunk_0005,minimax,minimax-m2.7,2,2.8,2,3.5,False,False,False,"Very rough draft translation with many lacunae marked as ellipses, broken English, and incomplete sentences throughout"
full_chunk_0005,minimax-v2,minimax-m2.7,4,4.4,4,4.7,False,False,False,Good handling of heavily corrupted source; fluent English with no hallucination or preamble
full_chunk_0006,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,Accurate throughout; minor omissions mid-text (corrupted lacunae rendered as [unclear]); no invented content
full_chunk_0006,minimax,minimax-m2.7,3,3.5,3,3.7,True,False,False,Translation interprets garbled Latin source freely; adds details about family scene and husband not clearly in Latin
full_chunk_0006,minimax-v2,minimax-m2.7,3,3.5,3,3.7,False,False,False,Handles corrupted OCR reasonably; some passages like spittle/genitals remain unclear.
full_chunk_0007,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,"Complete and accurate rendering; all content, scripture quote, Ovid ref, and Augustine anecdote faithfully reproduced"
full_chunk_0007,minimax,minimax-m2.7,3,3.5,3,3.7,False,False,False,Competent translation of corrupted OCR text; some passages unclear due to source damage; awkward phrasing in English in places.
full_chunk_0007,minimax-v2,minimax-m2.7,3,3.5,4,4.7,False,False,False,Translation is mostly accurate but interpolates several scriptural quotations not clearly marked as such in the Latin
