record,translation_backend,grader,raw_faith,adj_faith,raw_fluent,adj_fluent,hallucinated,preamble,refusal,notes
full_chunk_0001,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate and complete; [unclear] markers honest; 'liber lugubris' rendered 'mournful book' is defensible
full_chunk_0001,minimax,minimax-m2.7,5,4.3,4,4.7,False,False,False,"Accurate translation of dedication letter and treatise opening; minor bibliographic notes are metadata, not preamble"
full_chunk_0001,claude-cli,minimax-m2.7,4,4.4,5,4.5,False,False,False,Excellent translation; handles damaged text appropriately with [unclear]; text cuts off mid-word matching source
full_chunk_0001,minimax-v2,minimax-m2.7,3,3.5,4,4.7,True,True,False,Translation appears based on a cleaner source than the heavily OCR-corrupted Latin provided; content exceeds what source justifies.
full_chunk_0002,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate throughout; [unclear] markers used honestly for damaged text; Ch.2 heading and gospel quote correctly rendered
full_chunk_0002,minimax,minimax-m2.7,1,1.7,1,3.5,False,False,False,Highly fragmented translation with extensive ellipses due to damaged Latin source OCR
full_chunk_0002,claude-cli,minimax-m2.7,3,3.5,3,3.7,False,False,False,Many [unclear] markers due to garbled OCR; general sense conveyed but specifics approximated
full_chunk_0002,minimax-v2,minimax-m2.7,2,2.8,3,3.7,True,False,False,Heavy interpretive guessing due to corrupted OCR Latin; many phrases unsupported by source
full_chunk_0003,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate throughout; [unclear] markers at start/end are honest gaps; no added names/dates/content
full_chunk_0003,minimax,minimax-m2.7,3,3.5,3,3.7,False,False,False,Translation decent given OCR-corrupt Latin; ends abruptly mid-word 'undef'
full_chunk_0003,claude-cli,minimax-m2.7,3,3.5,3,3.7,False,False,False,Many [unclear] markers indicate rendering uncertain Latin; text cuts off mid-sentence
full_chunk_0003,minimax-v2,minimax-m2.7,4,4.4,3,3.7,False,False,False,Translation ends abruptly mid-word; some awkward phrasing around 'triple cord' and 'chronicles' passage
full_chunk_0004,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,Readable text faithfully rendered; [unclear] marks cover lacunae; 'cententos' archpresules untranslated but flagged; illegible block correctly omitted
full_chunk_0004,minimax,minimax-m2.7,3,3.5,4,4.7,False,False,False,Translation is interpretive on garbled OCR passages; captures general sense of monastic decline well
full_chunk_0004,claude-cli,minimax-m2.7,2,2.8,3,3.7,False,False,False,Excessive [unclear] markers from OCR corruption; general sense conveyed but significant passages missing.
