record,translation_backend,grader,raw_faith,adj_faith,raw_fluent,adj_fluent,hallucinated,preamble,refusal,notes
full_chunk_0001,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Non-textual/illegible page correctly flagged with honest placeholder; no claims made.
full_chunk_0001,minimax,minimax-m2.7,3,3.5,3,3.7,True,False,False,Bracketed passage about reformation appears not to correspond to visible Latin; translation ends mid-sentence
full_chunk_0001,minimax-v2,minimax-m2.7,4,4.4,4,4.7,False,False,False,Solid translation of legible content; OCR-damaged pages 002-005 correctly omitted
full_chunk_0002,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,"Table of contents (folio list) and preface text faithfully rendered; canonical refs, rubrics, and scripture citation all accurate"
full_chunk_0002,minimax,minimax-m2.7,3,3.5,3,3.7,False,False,False,"Translation captures general meaning but has garbled canon law refs, incomplete sentences, and unclear phrasing"
full_chunk_0002,minimax-v2,minimax-m2.7,3,3.5,3,3.7,False,False,False,Generally accurate but appears to paraphrase/summarize sections; ends mid-sentence at 'wit' matching source truncation
full_chunk_0003,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,"Accurate and complete; canonical refs, chapter headings, Cusa quote all faithfully rendered; [unclear] markers honest"
full_chunk_0003,minimax,minimax-m2.7,3,3.5,5,4.5,False,False,False,Heavy OCR corruption; translation interprets skillfully but some passages unverifiable
full_chunk_0003,minimax-v2,minimax-m2.7,3,3.5,4,4.7,False,False,False,"Translation is readable but source Latin is heavily corrupted/OCR-damaged, making full fidelity verification difficult"
full_chunk_0004,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,"Accurate throughout; all citations, quotes, and canonical references correctly rendered; [unclear] at end is honest flag"
full_chunk_0004,minimax,minimax-m2.7,4,4.4,4,4.7,False,False,False,Translation is accurate but abruptly truncated mid-sentence; 'That all may always' is incomplete
full_chunk_0004,minimax-v2,minimax-m2.7,3,3.5,4,4.7,False,False,False,Handles corrupted OCR Latin well; citations rendered accurately; oath text fully translated
full_chunk_0005,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate throughout; [unclear]/[Correction?] flags honest gaps; ??? page rendered as [unclear] appropriately
full_chunk_0005,minimax,minimax-m2.7,3,3.5,3,3.7,False,False,False,Translation struggles with heavily OCR-damaged Latin source; bracketed canon citations appear speculative or interpretive
full_chunk_0005,minimax-v2,minimax-m2.7,1,1.7,1,3.5,False,False,False,"Extremely incomplete; most source untranslated, Latin text left untranslated, only fragment rendered with many ellipses"
full_chunk_0006,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate throughout; canonical refs rendered correctly; [unclear] and [conjecture?] flags used appropriately; 'mother of virtues' slight expansion but defensible
full_chunk_0006,minimax,minimax-m2.7,4,4.4,3,3.7,True,False,False,Section heading 'with us' is interpretative addition; last sentence trails off incomplete
full_chunk_0006,minimax-v2,minimax-m2.7,4,4.4,3,3.7,False,False,False,Translation is mostly accurate but abrupt ending omits final clause about episcopal jurisdiction and burdening monasteries.
full_chunk_0007,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,"Accurate throughout; oath, canonical citations, ch.7 content all faithfully rendered; [unclear] flags honest gaps"
full_chunk_0007,minimax,minimax-m2.7,2,2.8,2,3.5,True,False,False,Rough draft with many '...' gaps; 'prytria' misread as 'parents' and 'mor afteru' as 'the dead'; incomplete ending
full_chunk_0007,minimax-v2,minimax-m2.7,5,4.3,5,4.5,False,False,False,Correctly identifies source as unreadable OCR; no speculative translation attempted.
full_chunk_0008,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,Solid overall; 'seculares' rendered 'laymen' (should be 'secular persons'); minor omissions in gap area; rest accurate
full_chunk_0008,minimax,minimax-m2.7,3,3.5,3,3.7,False,False,False,Translation is truncated mid-sentence; Latin continues but English stops abruptly at 'shall'
full_chunk_0008,minimax-v2,minimax-m2.7,4,4.4,3,3.7,False,False,False,Translation ends abruptly mid-sentence at 'held at C' — truncation or missing text
full_chunk_0009,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate and complete rendering of canonical text on visitation timing; all legal citations and arguments faithfully translated.
full_chunk_0009,minimax,minimax-m2.7,2,2.8,4,4.7,True,False,False,First section appears fabricated from biblical sources not evident in corrupted Latin; visitation section appears more faithful.
full_chunk_0009,minimax-v2,minimax-m2.7,2,2.8,3,3.7,False,False,False,Extensive [[unclear]] markers throughout; substantial content missing due to OCR degradation
full_chunk_0009,opus-sweep,minimax-m2.7,3,3.5,3,3.7,False,False,False,Translation covers main content but with many [unclear] markers where OCR/mnemonic Latin was difficult to parse; mixed fidelity
full_chunk_0009,opus-sweep,minimax-m2.7,3,3.5,3,3.7,False,False,False,Multiple [unclear] markers interrupt text; some technical terms imprecisely rendered
full_chunk_0010,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate throughout; 'visitatorum pacem' rendered 'peace of the visitors' is ambiguous but defensible; Herbipoli→Würzburg correct.
full_chunk_0010,minimax,minimax-m2.7,3,3.5,3,3.7,False,False,False,Loose translation of heavily OCR-damaged Latin; 'Gimilitere' rendered as 'Similarly' without clear basis
full_chunk_0010,minimax-v2,minimax-m2.7,3,3.5,3,3.7,False,False,False,Translation captures general sense but has rough spots; 'toftatutum fuit' rendered awkwardly; some questions abrupt
full_chunk_0011,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate throughout; damaged Ch.17 text rendered as [unclear]; Ch.18 speech formula faithfully rendered.
full_chunk_0011,minimax,minimax-m2.7,4,4.4,3,3.7,False,False,False,Generally faithful; some terms like deprivations/exposures are literal but acceptable translations of the Latin.
full_chunk_0011,minimax-v2,minimax-m2.7,3,3.5,3,3.7,False,False,False,"Repeated 'wasteful', Latin 'gravamina' left untranslated, text cuts off abruptly mid-sentence."
full_chunk_0012,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,"Accurate throughout; legal citations, psalm, prayers, rubrics, and procedural text all faithfully rendered; [unclear] used appropriately"
full_chunk_0012,minimax,minimax-m2.7,3,3.5,3,3.7,False,True,False,Reasonable reconstruction of severely OCR-damaged Latin; preamble marker present
full_chunk_0012,minimax-v2,minimax-m2.7,3,3.5,3,3.7,False,False,False,Core content translated but many lacunae left as '...' due to degraded Latin source
full_chunk_0013,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate throughout; oath/visitation ch.21 rendered faithfully; [unclear] at truncated catchword is honest.
full_chunk_0013,minimax,minimax-m2.7,4,4.4,3,3.7,False,False,False,Translation cuts off mid-sentence; translation is mostly accurate but has awkward constructions
full_chunk_0013,minimax-v2,minimax-m2.7,3,3.5,3,3.7,False,False,False,Text ends mid-sentence; some redundant phrasing about payment for expenses; archaic style acceptable given source
full_chunk_0014,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,Accurate throughout; repeated block (OCR duplicate) faithfully rendered twice; 'vestes sacerate' rendered 'consecrated'/'sacred' correctly
full_chunk_0014,minimax,minimax-m2.7,4,4.4,3,3.7,False,False,False,Translation ends mid-sentence; 'ouiplum' rendered as 'the double' awkwardly; text appears incomplete
full_chunk_0014,minimax-v2,minimax-m2.7,3,3.5,3,3.7,True,False,False,Translation ends abruptly mid-sentence; 'by canonical authority' appears added; minor interpretive insertions
full_chunk_0015,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate and complete; parenthetical Latin asides omitted but not misrepresented; 'abbots' for singular 'abbatis' is minor.
full_chunk_0015,minimax,minimax-m2.7,3,3.5,3,3.7,False,False,False,Translation is reasonable but Latin OCR errors make exact verification difficult; final line cuts off mid-sentence
full_chunk_0015,minimax-v2,minimax-m2.7,2,2.8,2,3.5,False,False,False,Many Latin passages left untranslated; mix of Latin/English creates incoherent output; OCR-like garbling not addressed
full_chunk_0016,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,"Accurate throughout; rubrics, liturgical formulas, legal citation (Extra de sta.mo.) all correctly rendered."
full_chunk_0016,minimax,minimax-m2.7,3,3.5,2,3.5,False,False,False,"Translation attempts garbled OCR Latin but leaves Latin in English sentences (perturbare pravos), incomplete ending"
full_chunk_0016,minimax-v2,minimax-m2.7,3,3.5,3,3.7,False,False,False,Translation captures general sense where legible; extensive [unclear] markers reflect source OCR corruption rather than translation failure
full_chunk_0017,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,Solid rendering; 'tribus imme se' left as [unclear]; final truncation matches ?-block; no invented content
full_chunk_0017,minimax,minimax-m2.7,3,3.5,3,3.7,False,False,False,Translation handles corrupted manuscript well with [unclear] markers for illegible passages; general sense preserved but many gaps remain
full_chunk_0017,minimax-v2,minimax-m2.7,3,3.5,3,3.7,False,False,False,Translation is generally accurate but paraphrastic; some technical terms like 'locatorium' are rendered adequately. Page break mid-sentence leaves text incomplete.
full_chunk_0018,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate throughout; damaged gaps rendered [unclear]; 'Lap̃.3' correctly as Ch.3; minor OCR noise handled well
full_chunk_0018,minimax,minimax-m2.7,3,3.5,3,3.7,False,False,False,Translation captures general sense but contains awkward phrasing like 'doubleteach' and ends mid-sentence
full_chunk_0018,minimax-v2,minimax-m2.7,4,4.4,3,3.7,False,False,False,Generally accurate but interpretive paraphrase in places; some phrases stilted but understandable
full_chunk_0019,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,"Accurate throughout; canonical law refs, etymologies, Jerome citation all correctly rendered."
full_chunk_0019,minimax,minimax-m2.7,3,3.5,3,3.7,False,False,False,Translation mostly captures meaning but ends mid-sentence; 'prudent messenger' and 'from one monastery' are interpretive guesses for damaged/abbreviated Latin.
full_chunk_0019,minimax-v2,minimax-m2.7,4,4.4,4,4.7,False,False,False,"Good overall fidelity, but Latin cuts off mid-sentence and English does not complete the thought."
full_chunk_0020,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,"Accurate throughout; canonical refs, Augustine quote, Apocalypse verse, Angelus/Astesanus all correctly rendered"
full_chunk_0020,minimax,minimax-m2.7,3,3.5,3,3.7,False,False,False,Translation handles corrupted OCR reasonably but ends abruptly mid-sentence; some passages are interpretive guesses.
full_chunk_0020,minimax-v2,minimax-m2.7,3,3.5,3,3.7,False,False,False,Several passages unclear/garbled; 'black monks' rendering questionable; some Latin terms poorly rendered
full_chunk_0021,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate throughout; canonical refs preserved; [unclear] marks legitimately unreadable OCR/cut-off; '?' page faithfully rendered as placeholder
full_chunk_0021,minimax,minimax-m2.7,3,3.5,3,3.7,False,False,False,Mostly accurate but interpretive; 'cut away any scruple' is loose for Latin; some awkward Latin-syntax-bound phrasing
full_chunk_0021,minimax-v2,minimax-m2.7,3,3.5,4,4.7,False,False,False,"Translation is cut off mid-sentence and omits the final portions of the Latin (triennial chapter rules, vacancies, etc.)"
full_chunk_0022,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,Accurate throughout; 'thesaurarij' rendering omits treasurer in heading title run; small gap lines faithfully marked [unclear]
full_chunk_0022,minimax,minimax-m2.7,3,3.5,3,3.7,False,False,False,"Translation appears incomplete, cutting off mid-sentence before Latin ends; some interpretive phrasings"
full_chunk_0022,minimax-v2,minimax-m2.7,2,2.8,2,3.5,False,False,False,"Severely corrupted manuscript; translation has numerous [unclear] markers and questionable terms like 'sibilings', 'aliens'"
full_chunk_0023,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,Solid rendering; 'ipsa mors' clause compressed/reordered; 'Mbas' gap handled as [unclear]; minor smoothing throughout
full_chunk_0023,minimax,minimax-m2.7,3,3.5,3,3.7,False,False,False,"Translation is cut off mid-sentence; substantial content from the Latin is missing including penalties, visitation procedures, and absolution requirements"
full_chunk_0023,minimax-v2,minimax-m2.7,3,3.5,3,3.7,True,False,False,Translation adds 'boni patres' not in source; minor omissions in key phrases like 'this monastery' vs 'other monasteries'
full_chunk_0024,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Complete and accurate rendering of RB ch.23 abbatial discipline + chapter liturgy + Lateran IV c.12 canon.
full_chunk_0024,minimax,minimax-m2.7,3,3.5,3,3.7,False,False,False,"Translation captures general sense of corrupted source including chapter procedures and prayers, but English ends abruptly at page break"
full_chunk_0024,minimax-v2,minimax-m2.7,4,4.4,4,4.7,False,False,False,Good coverage of monastic procedures and prayers; liturgical responses use standard English phrasing
full_chunk_0025,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate and complete; [unclear] markers at start/end are honest gaps; no content invented
full_chunk_0025,minimax,minimax-m2.7,3,3.5,3,3.7,True,True,False,Sponheim location appears not in visible Latin; preamble added; translation reads well but omits some Latin content
full_chunk_0025,minimax-v2,minimax-m2.7,3,3.5,3,3.7,False,False,False,Opening 'satisfied the good statutes' unclear; some passages reasonably accurate but others rough; legal phraseology adequately captured
full_chunk_0026,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,"Accurate, complete rendering of Boniface XII constitution on provincial chapters; all key provisions preserved"
full_chunk_0026,minimax,minimax-m2.7,1,1.7,3,3.7,True,True,False,"Model provides commentary instead of translation; invents structure, dates, and content not in Latin source"
full_chunk_0026,minimax-v2,minimax-m2.7,3,3.5,4,4.7,False,False,False,"Translation is generally faithful but omits some Latin passages near end (sefters, Benedict XII constitution details) and paraphrases in places where literal rendering would be more precise."
full_chunk_0027,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,"Closely follows Latin legal text; ablative absolutes, triennal clause, vacancy provisions rendered accurately; '[common?]' and '[unclear]' appropriately flag genuine lacunae"
full_chunk_0027,minimax,minimax-m2.7,3,3.5,3,3.7,False,True,False,Heavily OCR-damaged source; translation reasonable but speculative in places
full_chunk_0027,minimax-v2,minimax-m2.7,3,3.5,3,3.7,False,False,False,Generally accurate but awkward phrasing in places; cut off at end
full_chunk_0028,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate throughout; abbrev. expansions correct; [unclear] at cutoff is honest gap marker
full_chunk_0028,minimax,minimax-m2.7,3,3.5,3,3.7,False,False,False,"Translation cuts off mid-sentence at 'bou', leaving Latin unrendered; otherwise adequate"
full_chunk_0028,minimax-v2,minimax-m2.7,2,2.8,2,3.5,True,False,False,Heavy OCR corruption in Latin source; translation introduces nonsense like 'metas innagit' and 'precefferunt' left untranslated
full_chunk_0029,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,Accurate throughout; 'Loquamur nunc' continuation lost to illegible XML; minor omissions from damaged lines handled honestly
full_chunk_0029,minimax,minimax-m2.7,3,3.5,4,4.7,False,True,False,Minor inaccuracy: 'twelfth Pope' may be wrong - 'cedimo' likely means 'decimo tertio' (13th). Otherwise accurate.
full_chunk_0029,minimax-v2,minimax-m2.7,3,3.5,3,3.7,False,False,False,Abrupt ending with 'we have u' left incomplete; OCR garbling affects some term accuracy
full_chunk_0030,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,Accurate rendering of chapter-close liturgy; minor omissions in collect text but no inventions; [unclear] flags honest
full_chunk_0030,minimax,minimax-m2.7,3,3.5,3,3.7,False,False,False,OCR corruption makes source verification difficult; translation captures general sense but some details uncertain
full_chunk_0030,minimax-v2,minimax-m2.7,3,3.5,3,3.7,False,False,False,Translation mostly accurate but leaves gaps marked with ellipsis; 'honesty' for Latin modestia/decor is awkward; some untranslated Latin terms remain
full_chunk_0031,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,[having first been instructed?] bracket is honest conjecture; 'Optis' rendered as 'After' silently; overall rendering accurate
full_chunk_0031,minimax,minimax-m2.7,4,4.4,4,4.7,False,False,False,Accurate overall; minor amplification in 'order of wearing' and 'there is no question' where Latin is garbled
full_chunk_0031,minimax-v2,minimax-m2.7,3,3.5,3,3.7,False,False,False,Generally accurate but 'cowl of madness' is odd; some abbrev. remain unclear; phrasings awkward
full_chunk_0032,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate throughout; procedural Latin rendered precisely; [unclear] and N. placeholders honestly flagged
full_chunk_0032,minimax,minimax-m2.7,3,3.5,4,4.7,False,True,False,Preamble 'Here begins the particular statute' is interpretive addition not in Latin source
full_chunk_0032,minimax-v2,minimax-m2.7,3,3.5,3,3.7,False,False,False,Translation captures general sense but ends abruptly; some awkward phrasing in complex sentences about novices and nobility
full_chunk_0033,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate throughout; placeholder N. and A.B.C. preserved; [unclear] at cut-off is honest; ? block correctly not translated
full_chunk_0033,minimax,minimax-m2.7,2,2.8,3,3.7,True,False,False,"Repeated sections, editorial insertions like 'canon 27/28' and 'Refers to papal decrees', and cut-off ending at 'prior gene'"
full_chunk_0033,minimax-v2,minimax-m2.7,2,2.8,4,4.7,False,False,False,No translation attempted; provides honest assessment that source OCR is unreadable and too degraded for accurate translation
full_chunk_0033,opus-sweep,minimax-m2.7,3,3.5,3,3.7,False,False,False,OCR quality poor; many [unclear] markers; Article 29 has significant gaps; translation incomplete at end
full_chunk_0033,opus-sweep,minimax-m2.7,3,3.5,4,4.7,False,False,False,Multiple [unclear] markers in arts 29-31; quindecim rendered as 'fifteen [to] five days' seems erroneous
full_chunk_0034,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,"Accurate and complete rendering; liturgical formulas, procedural clauses, and Benedict XII citation all correctly translated."
full_chunk_0034,minimax,minimax-m2.7,3,3.5,4,4.7,False,False,False,Translation is interpretive paraphrase of corrupted OCR source; many abbreviations and damaged text present.
full_chunk_0034,minimax-v2,minimax-m2.7,2,2.8,3,3.7,True,False,False,Section numbers 58-62 added; explanatory editorial notes inserted; Latin ends mid-sentence but English continues
full_chunk_0035,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate throughout; Gap rendered as [unclear]; omitted nation name handled correctly
full_chunk_0035,minimax,minimax-m2.7,3,3.5,3,3.7,False,False,False,Mostly accurate; 'cenfura' rendered as 'censure' in heading but 'correction' in text; ends mid-sentence
full_chunk_0035,minimax-v2,minimax-m2.7,3,3.5,3,3.7,False,False,False,"Generally accurate translation of monastic visitation rules, but contains some unclear passages like 'substandards' and awkward phrasing throughout"
full_chunk_0036,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Complete and accurate rendering of the Council of Constance reform mandate; [unclear] at truncation is honest.
full_chunk_0036,minimax,minimax-m2.7,3,3.5,3,3.7,False,False,False,Translation captures main content but has rough spots: 'residing in the same house' misreads source; 'perform offices' for 'concelebrent' is imprecise; several awkward constructions like 'brothers infirm and guests are cared for'
full_chunk_0036,minimax-v2,minimax-m2.7,4,4.4,4,4.7,False,False,False,Accurate rendering of monastic rule; 'choir schedule' for original reading is interpretive but defensible
full_chunk_0037,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,'tractus' rendered as 'ringing' rather than duration/tolling; minor omissions in opening OCR gap; otherwise accurate
full_chunk_0037,minimax,minimax-m2.7,1,1.7,1,3.5,True,True,False,Not a translation; only discusses OCR problems and how to approach translating rather than providing the actual translation.
full_chunk_0037,minimax-v2,minimax-m2.7,3,3.5,3,3.7,False,False,False,Translation ends mid-sentence; OCR corruption in source makes precise faithfulness difficult to assess
full_chunk_0038,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate throughout; all articles rendered completely; [unclear] at truncation point is honest; no invented content.
