honest_tier,old_tier,cluster,n,faith_gpt,hall_pct,ge4_clean_pct,kept_public,revised,ambiguous,old_faith,old_hall,work_id,graded
S,,apologetic,32,4.91,0,100.0,,,,,,prdl-32287_e-rara_trithemius-sui-ipsius-vindex-sive,True
S,,crypto-occult,88,4.56,0,100.0,,,,,,prdl-24395_steganographia-hoc-est-ars-per-occultam-scripturam,True
S,,crypto-occult,132,4.55,0,100.0,,,,,,prdl-70281_clavis-generalis-triplex-in-libros-steganographicos,True
S,,crypto-occult,119,4.59,0,100.0,,,,,,prdl-70282_clavis-polygraphiae-ioannis-trithemii-abbatis-diui,True
S,,crypto-occult,124,4.69,0,100.0,,,,,,prdl-24389_polygraphiae-libri-sex-ioannis-trithemii-abbatis,True
S,,crypto-occult,136,4.74,0,100.0,,,,,,prdl-24391_polygraphiae-libri-vi,True
S,,crypto-occult,124,4.56,0,100.0,,,,,,prdl-24390_polygraphiae-libri-vi,True
S,,bibliographic,268,4.67,0,100.0,,,,,,prdl-70280_e-rara_de-scriptoribus-ecclesiasticis-johannes-trithemius,True
S,,bibliographic,291,4.59,0,100.0,,,,,,prdl-70287_joh-tritthemii-de-scriptoribus-ecclesiasticis-liber,True
S,,monastic-reform,21,4.71,0,100.0,,,,,,prdl-24362_de-laude-scriptorum-manualium,True
S,,monastic-reform,13,4.77,0,100.0,,,,,,prdl-24372_de-republica-ecclesiae-et-monachorum-ordinis,True
S,,monastic-reform,11,4.73,0,100.0,,,,,,prdl-24371_de-republica-ecclesiae-et-monachorum-ordinis,True
S,,sacerdotal,10,4.6,0,100.0,,,,,,prdl-24361_de-cura-pastorali,True
S,,monastic-reform,33,4.55,0,100.0,,,,,,prdl-24373_de-statu-et-ruina-monastici-ordinis,True
S,,monastic-reform,110,4.62,0,100.0,,,,,,prdl-24360_compendium-breviarium-primi-voluminis-annalium-historiarum-origine-regum,True
S,,marian-hagiographic,37,4.78,0,100.0,,,,,,prdl-24367_de-laudibus-sanctissimae-matris-annae-liptzk-1501,True
S,,marian-hagiographic,31,4.74,0,100.0,,,,,,prdl-24363_de-laudibus-ordinis-fratrum-carmelitarum,True
S,,marian-hagiographic,6,4.67,0,100.0,,,,,,prdl-70283_de-laudibus-sanctissimae-matris-annae-liptzk-1501-hab,True
S,,marian-hagiographic,36,4.58,0,100.0,,,,,,prdl-24365_de-laudibus-sanctissimae-matris-annae,True
S,,marian-hagiographic,35,4.51,0,100.0,,,,,,prdl-24366_de-laudibus-sanctissimae-matris-annae-liptzk-1497,True
S,,marian-hagiographic,4,4.5,0,100.0,,,,,,prdl-24364_de-laudibus-sanctissimae-matris-annae,True
S,,marian-hagiographic,4,4.5,0,100.0,,,,,,prdl-70284_de-laudibus-sanctissimae-matris-annae,True
S,,monastic-reform,129,4.74,0,100.0,,,,,,prdl-24386_liber-de-triplici-regione-claustralium-et,True
S,,monastic-reform,98,4.61,0,100.0,,,,,,prdl-24385_liber-de-triplici-regione-claustralium-et,True
S,,sacerdotal,24,4.79,0,100.0,,,,,,prdl-24378_institutio-vitae-sacerdotalis,True
S,,sacerdotal,31,4.74,0,100.0,,,,,,prdl-24379_institutio-vitae-sacerdotalis,True
S,,bibliographic,262,4.98,0,100.0,,,,,,prdl-24380_admonitiones-exhortationes-monachos,True
S,,bibliographic,38,4.89,0,100.0,,,,,,prdl-24381_octo-quaestionum-maximilianum-caesarem,True
S,,bibliographic,43,4.81,0,100.0,,,,,,prdl-24382_octo-quaestionum-maximilianum-caesarem,True
S,,bibliographic,18,4.67,0,100.0,,,,,,prdl-24383_septem-secundeis-intelligentiis-spiritibus-orbes-post-deum-moventibus,True
S,,bibliographic,556,4.5,0,100.0,,,,,,prdl-70289_opera-historica-part,True
S,,bibliographic,797,4.48,0,100.0,,,,,,prdl-70290_opera-historica-part-chronicon-hirsaugiense-sponheimense,True
S,,verse,3,5.0,0,100.0,,,,,,prdl-24376_ecloga-de-laude-calvorum-ad-carolum,True
S,,sacerdotal,23,4.96,0,100.0,,,,,,prdl-32285_de-sacerdotum-vita-instituenda-libellus,True
S,,devotional,16,4.94,0,100.0,,,,,,prdl-24368_de-operatione-divini-amoris,True
S,,crypto-occult,41,4.88,0,100.0,,,,,,prdl-32286_octo-quaestionum-maximilianum-caesarem,True
S,,monastic-reform,100,4.83,0,100.0,,,,,,prdl-70285_e-rara_de-triplici-regione-claustralium-et,True
S,,devotional,13,4.77,0,100.0,,,,,,prdl-24375_de-vera-conversione-mentis-ad-deum,True
S,,monastic-reform,94,4.72,0,100.0,,,,,,prdl-24357_abbreviatura-recessuum-capitularium-patrum-ordinis-divi,True
S,,crypto-occult,48,4.71,0,100.0,,,,,,prdl-70286_octo-quaestionum-maximilianum-caesarem,True
S,,monastic-reform,138,4.69,0,100.0,,,,,,prdl-24393_sermones-et-exhortationes-ad-monachos-joa,True
S,,monastic-reform,133,4.69,0,100.0,,,,,,prdl-24394_sermones-et-exhortationes-ad-monachos-joa,True
S,,crypto-occult,16,4.69,0,100.0,,,,,,prdl-70291_dilibri_veterum-sophorum-sigilla-et-imagines-magicae,True
S,,marian-hagiographic,12,4.67,0,100.0,,,,,,prdl-24369_de-purissima-et-immaculata-conceptione-virginis,True
S,,crypto-occult,20,4.65,0,100.0,,,,,,prdl-70292_e-rara_veterum-sophorum-sigilla-et-imagines,True
S,,marian-hagiographic,11,4.55,0,100.0,,,,,,prdl-24370_de-purissima-et-immaculata-conceptione-virginis,True
S,,devotional,24,4.5,0,100.0,,,,,,prdl-24374_de-vanitate-et-miseria-humanae-vitae,True
