record,translation_backend,grader,raw_faith,adj_faith,raw_fluent,adj_fluent,hallucinated,preamble,refusal,notes
full_chunk_0001,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Title page/metadata placeholder; English renders title accurately. No prose to translate.
full_chunk_0001,minimax,minimax-m2.7,4,4.4,3,3.7,False,False,False,Generally accurate but slightly stiff; 'wishes much salvation' reads awkwardly in English
full_chunk_0001,minimax-v2,minimax-m2.7,5,4.3,5,4.5,False,False,False,Accurate translation; 'de Lapide' is correct Latin form for the author's name.
full_chunk_0002,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,Faithful overall; duplicated passage rendered twice (OCR artifact) preserved; 'Ego diligitur' rendered as [unclear] honestly; minor paraphrase gaps
full_chunk_0002,minimax,minimax-m2.7,5,4.3,5,4.5,False,False,False,"Excellent translation; captures all content with natural, polished English prose."
full_chunk_0002,minimax,claude-opus-4-7,4,4.0,5,5.0,False,False,False,Accurate rendering of preface and catalog; minor numerical guesses in list marked [unclear] appropriately.
full_chunk_0002,minimax-v2,minimax-m2.7,4,4.4,4,4.7,False,False,False,Translation cuts off mid-sentence; 'you and the work' slightly awkward but overall accurate
full_chunk_0003,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Latin is fully illegible (all ?); English honestly flags unreadable source. No assertion to verify.
full_chunk_0003,minimax,minimax-m2.7,3,3.5,3,3.7,True,False,False,Benedictini misread as Bernardines Franciscans; Cyrinus is truncated form of Cyrillus
full_chunk_0003,minimax-v2,minimax-m2.7,3,3.5,3,3.7,False,False,False,Appropriate use of [unclear] for OCR damage; minor interpretive additions like 'bishop of Hippo' for Augustinus
full_chunk_0004,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate index translation; Roman numerals correctly expanded; abbreviated names/places properly resolved; no content added
full_chunk_0004,minimax,minimax-m2.7,4,4.4,5,4.5,False,False,False,Generally accurate; translator handled OCR quirks well; minor spacing issues in some entries with section numbers not consistently parsed.
full_chunk_0004,minimax-v2,minimax-m2.7,3,3.5,3,3.7,True,False,False,Translation cuts off mid-word; misreads 'Eckebertus clericus' as 'Eberhardus clerk'
full_chunk_0005,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,"Accurate index; page numbers, names, titles all match; [unclear] gaps and [?] conjectures properly flagged"
full_chunk_0005,minimax,minimax-m2.7,4,4.4,3,3.7,False,False,False,Translation preserves structure and most names correctly; frequent [unclear] due to OCR corruption; minor formatting choices (lowercase 'pope')
full_chunk_0005,minimax-v2,minimax-m2.7,2,2.8,2,3.5,True,True,False,"Translation buried under extensive meta-commentary about OCR, corrections, and editorial speculation not in source"
full_chunk_0006,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate index translation; bracketed [Cenus?] is honest conjecture; all page numbers match
full_chunk_0006,minimax,minimax-m2.7,4,4.4,4,4.7,False,False,False,"Minor: 'Scaevola' for 'cccf' unclear; some place names transliterated differently than standard (e.g. Calya, Bibera)"
full_chunk_0006,minimax-v2,minimax-m2.7,3,3.5,4,4.7,False,False,False,"Translation is accurate but incomplete, covering only first ~15 entries of many more Latin entries"
full_chunk_0007,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,Page refs for 'jij/jiz' correctly rendered as 112; 'j2z' as 122; minor OCR ambiguities handled with [unclear]; 'Luo' retained unexpanded
full_chunk_0007,minimax,minimax-m2.7,3,3.5,4,4.7,False,False,False,Missing section headers from pp.012-013; several [unclear] entries and inconsistent page numbers reduce faithfulness
full_chunk_0007,minimax-v2,minimax-m2.7,2,2.8,3,3.7,False,False,False,"Many names are guessed rather than accurately deciphered (e.g., Melk for Mellicen, Strasbourg for Argctinen, Badajoz for Pacen); page 308 rendered as 108"
full_chunk_0008,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,Excellent throughout; 'O Acharius' rendered 'Zacharias'—plausible Z/O OCR confusion but name differs; all j-numerals and abbrevs correct.
full_chunk_0008,minimax,minimax-m2.7,4,4.4,4,4.7,False,False,False,Generally accurate; [unclear] appropriately marks corrupted passages; ends mid-sentence fitting chunk boundaries
full_chunk_0008,minimax-v2,minimax-m2.7,4,4.4,4,4.7,False,False,False,Generally accurate translation; 'sword of your majesty' slightly misreads 'lamine maiestatis' as referring to the dedicatee rather than God.
full_chunk_0009,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,"Accurate index transcription; minor OCR variants resolved correctly (e.g. Rusinus→Rufinus, ll.→jurist). Bracketed [parthica?] is honest conjecture."
full_chunk_0009,minimax,minimax-m2.7,4,4.4,3,3.7,False,False,False,"Translation faithful overall but source contains many OCR corruptions affecting fidelity; 'patre' dropped, some clause blending occurs."
full_chunk_0009,minimax-v2,minimax-m2.7,4,4.4,4,4.7,False,False,False,Translation is accurate overall but 'lucubration' rendered as 'labor/modest labor' loses scholarly connotation; translation cuts off mid-sentence
full_chunk_0010,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,"Minor page-number misreads (j7→17, j6→16, j3→13); Dalricus→Udalricus? flagged; Zacharias/Acharias swap; conjectures bracketed"
