record,translation_backend,grader,raw_faith,adj_faith,raw_fluent,adj_fluent,hallucinated,preamble,refusal,notes
full_chunk_0001,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,Accurate throughout; minor omissions in final clause (animos vros in delio truncated); [unclear] flags honest
full_chunk_0001,minimax,minimax-m2.7,3,3.5,3,3.7,False,False,False,fere rendered as 'most' throughout instead of 'almost/nearly'; minor interpretive liberties in dedication
full_chunk_0001,minimax-v2,minimax-m2.7,4,4.4,4,4.7,False,False,False,Generally accurate translation of Trithemius dedication letter and treatise opening; some interpretive choices like 'Coutianus' for proper name
full_chunk_0002,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,"Accurate throughout; [unclear] markers appropriately flag OCR gaps (Greek τὸν ῥαψῳδόν, rhombos, damaged line-end); owl/blind-man, Veni Sancte Spiritus, Apollo's oracles all correct."
full_chunk_0002,minimax,minimax-m2.7,3,3.5,3,3.7,False,False,False,"Reasonable sense but many uncertain readings; 'potui' misparsed, 'exercitatio' mistranslated, antecedent for 'he' unclear"
full_chunk_0002,minimax-v2,minimax-m2.7,4,4.4,3,3.7,False,False,False,Translation handles difficult OCR text well; some passages unavoidably unclear due to source corruption
full_chunk_0003,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate throughout; bracketed [unclear] marks damaged/lacunose text honestly; Dionysius passage rendered faithfully
full_chunk_0003,minimax,minimax-m2.7,3,3.5,3,3.7,False,False,False,"Translation captures general sense but 'trembling foot' likely should be 'awesome [Lord]' (a tremendo); 'not hatred or love' probably 'not hatred, but love'; text cuts off mid-sentence"
full_chunk_0003,minimax-v2,minimax-m2.7,4,4.4,4,4.7,False,False,False,"Accurate translation of this difficult Latin text; apophatic negations well rendered, minor OCR artifacts remain"
full_chunk_0004,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate throughout; 'Mother [unclear]' honestly flags unclear OCR; minor omissions negligible
full_chunk_0004,minimax,minimax-m2.7,3,3.5,3,3.7,False,False,False,Mostly accurate but ends awkwardly with incomplete sentence; some phrases like 'For the heart of the world' are rough
full_chunk_0004,minimax-v2,minimax-m2.7,4,4.4,3,3.7,False,False,False,Generally accurate but ending trails off mid-sentence; some philosophical phrasing is slightly stiff
full_chunk_0005,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate and complete; all major content faithfully rendered; terminal [unclear] and opening [unclear] are honest lacunae markers
full_chunk_0005,minimax,minimax-m2.7,3,3.5,3,3.7,False,False,False,Good overall sense but some interpretive paraphrasing; last sentence incomplete; 'freed from obligations' is a guess
full_chunk_0005,minimax-v2,minimax-m2.7,3,3.5,3,3.7,False,False,False,"Translation cuts off mid-sentence; some interpretive choices weaken accuracy (e.g. 'charcoal-light', 'from nothing' for ex nihilo)"
full_chunk_0006,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,"Complete and accurate rendering; all content preserved including Empedocles sphere, mathematical analogy, and [unclear] terminal flag"
full_chunk_0006,minimax,minimax-m2.7,3,3.5,3,3.7,False,False,False,Source is severe OCR corruption; translation makes reasonable interpretive sense but cannot be fully verified against garbled Latin
full_chunk_0006,minimax-v2,minimax-m2.7,3,3.5,3,3.7,False,False,False,Translation interprets corrupted OCR Latin competently; captures theological content about soul's ascent to divine truth
full_chunk_0007,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate throughout; [unclear] markers and final truncation honest; no invented content
full_chunk_0007,minimax,minimax-m2.7,3,3.5,3,3.7,False,False,False,Translation attempts damaged OCR text but ends mid-sentence; some word choices uncertain due to source corruption
full_chunk_0007,minimax-v2,minimax-m2.7,3,3.5,4,4.7,False,False,False,Translation cuts off mid-sentence at end; some interpretive choices for corrupted passages like 'theatrical theology'
full_chunk_0008,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate and complete throughout; 'always [unclear]' honestly flags gap; Isaiah quote and theology rendered faithfully
full_chunk_0008,minimax,minimax-m2.7,2,2.8,3,3.7,True,False,False,Severe misreadings: 'panem' became 'bread'; 'mentis' became 'bone'; 'abyss' section garbled; significant content drift throughout
full_chunk_0008,minimax-v2,minimax-m2.7,1,1.7,2,3.5,True,False,False,Major errors: 'coz crit' (cross) invented from 'croz' scribal abbreviation; 'bread of time' fabricated; sentence structure garbled; missing 'ipse' emphasis; incomplete final sentence
full_chunk_0008,opus-sweep,minimax-m2.7,3,3.5,3,3.7,False,False,False,Handles corrupted OCR well but 'under no prince' for 'nontlliue eftpti' seems implausible
full_chunk_0009,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate throughout; [unclear] markers honest; 'diui anthonij'=Saint Anthony correctly named; minor paraphrases within acceptable range
full_chunk_0009,minimax,minimax-m2.7,2,2.8,3,3.7,False,False,False,Heavy corruption in source; 'sancti Pauli' misread as 'holy Paul'; 'anima' rendered as 'animal man'; key terms mistranslated like 'affectio' as 'affective essence'
full_chunk_0009,minimax-v2,minimax-m2.7,3,3.5,4,4.7,False,False,False,Mostly accurate but omits final sentence of chunk; some interpretive choices in 'leaps for joy' and 'mortified by cross'
full_chunk_0010,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate and complete throughout all three gradus; no additions or false assertions; filth/swine passage rendered faithfully
full_chunk_0010,minimax,minimax-m2.7,4,4.4,3,3.7,False,False,False,"Good overall meaning transfer, but 'marital religion' for temperantia/castitas is awkward and possibly incorrect"
full_chunk_0010,minimax-v2,minimax-m2.7,4,4.4,3,3.7,False,False,False,Archaic diction throughout; 'forts of vices' and 'reduced to beautiful form' are unclear renderings
full_chunk_0011,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,"Accurate and complete rendering; all steps, Ulysses allusion, Apostle quote, sculptor image faithfully conveyed."
full_chunk_0011,minimax,minimax-m2.7,3,3.5,3,3.7,False,False,False,Sixth degree passage garbled; 'perplex' appears mistranslated; ending cuts off mid-sentence
full_chunk_0011,minimax-v2,minimax-m2.7,2,2.8,2,3.5,False,False,False,Translation incomplete; ends mid-sentence. Several Latin phrases left untranslated. Many garbled passages suggest OCR/copy errors in source.
full_chunk_0012,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate throughout; colophon date M.D.=1500 correct; [granted?] is honest conjecture flag
full_chunk_0012,minimax,minimax-m2.7,4,4.4,3,3.7,False,False,False,Translation truncates mid-sentence; final clause of Latin omitted
full_chunk_0012,minimax-v2,minimax-m2.7,4,4.4,4,4.7,False,False,False,Translation ends mid-sentence; corrupted Latin source makes full evaluation difficult.
full_chunk_0013,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,[unclear] honestly flags lacunae (rhaeophagas/dicendi); rest accurate. Blank/ruler pages correctly non-translated.
full_chunk_0013,minimax,minimax-m2.7,3,3.5,3,3.7,False,False,False,'teger' (cover) rendered as 'burning'; 'Nirboctus' becomes 'ofnyborg' - unclear source for these choices
full_chunk_0013,minimax-v2,minimax-m2.7,4,4.4,4,4.7,False,False,False,Accurate rendering of dense Renaissance Latin prose; 'Wherefore' is slightly archaic for 'quare' but acceptable.
